"Comparison between Results_09_2024_Week_1 and Results_09_2024_Week_2",""
"Date Produced:","14-Sep-2024"
"Number of New Products:","137"
"Number of Retired Products:","0"

New Products:
"insurer","bank_name","product_type","product_name","insurance_type","discovered_place"
"Tokio Marine","-","Critical Illness, Disability","TM EarlyCover","Life Insurance","Insurer"
"Tokio Marine","-","Home","TM Flexi-Home Enhance","General Insurance","Insurer"
"Tokio Marine","-","Critical Illness, Disability","TM MultiCare","Life Insurance","Insurer"
"Tokio Marine","-","Critical Illness, Disability","TM Protect Cancer","Life Insurance","Insurer"
"Tokio Marine","-","Savings","TM Retirement GIO Plus (II)","Life Insurance","Insurer"
"Tokio Marine","-","H&P","TM365","General Insurance","Insurer"
"Tokio Marine","-","Travel","Travel Insurance (TM Xplora Plus)","General Insurance","Insurer"
"Sun Life","-","Life","SunBrilliance Whole Life","Life Insurance","Insurer"
"Sun Life","-","Life","SunBrilliance Indexed Universal Life","Life Insurance","Insurer"
"Raffles","-","Medical","Raffles Shield","Life Insurance","Insurer"
"Raffles","-","Critical Illness","Raffles Critical Illness Plan","Life Insurance","Insurer"
"China Life","-","Savings","China Life SaveForward Endowment Plan","Life Insurance","Insurer"
"China Life","-","Savings","China Life FlexiCash Growth","Life Insurance","Insurer"
"China Life","-","Savings","China Life Prosperous Retirement","Life Insurance","Insurer"
"China Life","-","Savings","China Life Harvest Income Plan (USD)","Life Insurance","Insurer"
"China Life","-","Savings","China Life Lifetime Income Plan","Life Insurance","Insurer"
"China Life","-","Savings","China Life Lifetime Income Supreme Plan","Life Insurance","Insurer"
"China Life","-","Savings","China Life Lifetime Income Plan (RMB)","Life Insurance","Insurer"
"China Life","-","Savings","China Life Harvest Income Supreme Plan (USD)","Life Insurance","Insurer"
"China Life","-","Legacy","China Life Eternal Wealth","Life Insurance","Insurer"
"China Life","-","Legacy","China Life Eternal Wealth (USD)","Life Insurance","Insurer"
"China Life","-","H&P","China Life Personal Accident Cashback Plan","Life Insurance","Insurer"
"China Life","-","Life","China Life Term Guardian","Life Insurance","Insurer"
"China Life","-","Life","China Life Whole Life Guardian","Life Insurance","Insurer"
"China Life","-","Medical","China Life MediCash Guardian","Life Insurance","Insurer"
"China Life","-","Life","DIRECT – China Life Term Plan","Life Insurance","Insurer"
"China Life","-","Life","DIRECT – China Life Whole Life Plan","Life Insurance","Insurer"
"China Life","-","Critical Illness","China Life Cancer Guardian","Life Insurance","Insurer"
"China Life","-","Life","China Life Multiplier Guardian Series","Life Insurance","Insurer"
"China Life","-","H&P","China Life Accident Guardian","Life Insurance","Insurer"
"China Life","-","Life","China Life Term Guardian Plus","Life Insurance","Insurer"
"China Life","-","Critical Illness","SOPHY","Life Insurance","Insurer"
"China Life","-","Critical Illness","China Life Critical Trio","Life Insurance","Insurer"
"China Life","-","Life","China Life Multiplier Guardian Supreme","Life Insurance","Insurer"
"China Life","-","Life","China Life Payer Benefit Rider","Life Insurance","Insurer"
"China Life","-","Life","China Life Premium Waiver Benefit Rider","Life Insurance","Insurer"
"China Life","-","Life","China Life Enhanced Payer Benefit Rider","Life Insurance","Insurer"
"China Life","-","Critical Illness","China Life Critical Care Rider/DIRECT-China Life Critical Care Rider","Life Insurance","Insurer"
"China Life","-","Critical Illness","China Life Early Critical Care Rider","Life Insurance","Insurer"
"Transamerica","-","Life","Universal Life Alpha Pro & Univesal Life Alpha Pro Century","Life Insurance","Insurer"
"Transamerica","-","Life","Genesis Indexed Universal Life","Life Insurance","Insurer"
"Transamerica","-","Life","Trendsetter Ultra","Life Insurance","Insurer"
