"product_type","product_name","product_description","insurance_type"
"Life","Wealth Creator","Gift of Love
Are creating wealth and achieving financial freedom your long-term goals in life? When you are too focused on wealth creation and accumulation, there might be an oversight on wealth protection. Any unforeseen circumstance might jeopardise your efforts overnight, leaving your loved ones in a worrying state.

We acknowledge your need for wealth creation, accumulation and distribution. Let Wealth Creator – our best legacy plan – protect you and your wealth throughout the entire wealth management journey. Leave the hard work to us to manage your wealth protection!

‍","Life Insurance"
"Life","Life 80","Life Protection with Optional Benefits
The risk of illnesses and death increases with age. Have peace of mind and ensure the financial protection of your loved ones so that your family will be taken care of when you are gone.","Life Insurance"
"Life","Secure Shield","Easy-Apply Protection Plan | Secure Shield
Secure Your Protection for Now and Future

‍

No matter what stage of life you are in, it is always important to safeguard yourself and your loved ones, to stay financially secure should unforeseen circumstances happen to you.

‍

Introducing Secure Shield, a specially designed insurance plan that assures guaranteed protection at a guaranteed premium. You do not have to worry about future inflation that may inflate your premium. We assure you that your premium will remain the same throughout the policy duration!

‍

Aside from death coverage due to all causes, Secure Shield provides double protection in the event of accidental death. Furthermore, it offers special benefits like no other - additional coverage for Death due to Vaccination Side Effects and Death during Hospitalisation in Isolation Ward.

‍

Not only do we focus on protection against major mishaps in life, Secure Shield also protects you against the little hiccups such as hospitalisation due to accident, by providing you with daily allowance to support your living expenses, so you can focus on your recovery.

‍

Sign up for Secure Shield now! Enjoy hassle-free enrolment, without the need of going through medical check-up.","Life Insurance"
"Life","Wealth Protect Assure 2","Protection & Investment in One Plan
Our priorities in life will change according to different life stages and this has an impact on our financial needs. Save and protect your future by ensuring that you meet the financial requirements at each stage of your life, against any unforeseen circumstances and events.","Life Insurance"
"Life","eLife Protector+","Online life protection plan, up to RM500,000 coverage to protect your family and home
The future is unpredictable. No one knows what it holds for us. It's important to stay prepared and protected for any unforeseen circumstances, especially if you have children, dependents or own assets.

‍

Generali eLife Protector+ safeguards you and your loved ones from unexpected events and protects their financial future. It provides insurance coverage and financial protection up to RM500,000 in the event of Death, Accidental Death, and Total Permanent Disability (TPD).

‍

Sign up for eLife Protector+ from as low as RM15/month*.

*Price based on female non-smoker, aged 25, with Sum Insured RM150,000.

‍

‍

eCombo Complete Protection Campaign

Sign up for Generali's eCombo online insurance package (Medical + Life + Critical Illness) before 31 August 2024 and get up to RM90 Big Pharmacy e-voucher. Plus, a chance to win up to RM1,000 Touch ‘n Go eWallet credit!","Life Insurance"
"Life","eSaver","Online insurance savings plan, up to 8% guaranteed cash payments and insurance protection
Your financial stability can be threatened by an unexpected event that wipes out your savings.

‍

Start planning for your future with Generali eSaver - an online insurance savings plan that provides guaranteed returns and protection. You will need to pay for only 4 years for 5 years' yearly returns and financial protection.

‍

With this short-term commitment saving plan, you will receive yearly guaranteed cash payments up to 8% of annual premium and up to 105% of total premium paid upon your policy maturity. In the event of death, your family will receive up to 108% of total premium paid.

‍

Start saving from as low as RM500/year.","Life Insurance"
"Travel","Oversea Travel Insurance","Travel insurance that gives you a world of protection
Get immediate protection, comprehensive coverage and 24-hour emergency assistance wherever you are in the world.","General Insurance"
"Travel","Domestic Travel Insurance","Travel locally with peace of mind
Protect yourself and your family against accidents and unexpected events while travelling within Malaysia.","General Insurance"
"Travel","SmartBusiness Traveller","Protect you and your employees on business travels around the world
SmartBusiness Traveller is a group travel PA designed for Business Owners/SMEs to provide insurance coverage for themselves and their employees while on business trips around the world.","General Insurance"
"Travel","SmartCare VIP","Personal Accident Plan With High Cash Payout

With SmartCare VIP, you can create an immediate emergency fund to protect you and your family 24 hours a day, anywhere in the world.

‍

Enjoy VIP protection with a high lump sum cash payout from RM1,000,000 in the event of accidental death or permanent disablement.","General Insurance"
"Travel","SmartPA Enhanced","Protect Against the Unexpected
Plan ahead with SmartPA Enhanced. It secures you and your family with a wide range of coverage and benefits to ensure you have comprehensive protection against the unexpected 24/7 anywhere in the world.","General Insurance"
"Travel","The Gladiator Enhanced","Greater Coverage, Higher Limits and Renewal Bonus – indeed a larger than life shield for you and your family.

Accidents are unpredictable no matter how careful you are. You should enjoy every moment of your life and be assured that you have a comprehensive personal accident policy shielding you. With The Gladiator Enhanced, you are ready to face the adversity accidents throws at you.
‍

‍

The benefit(s) payable under eligible product is protected by PIDM up to limits. Please refer to PIDM’s TIPS Brochure or contact Generali Insurance Malaysia Berhad or PIDM (visit www.pidm.gov.my)","General Insurance"
"Travel","Multi PA Protector","Life is full of uncertainties. No one knows when an accident can happen, and this is why a comprehensive accident insurance plan is essential for you to fall back on.

The ""Multi PA-Protector"" protects you from death or permanent disablement and medical expenses incurred as a result of an accident. A comprehensive personal accident plan that gives you maximum 24 hours worldwide protection with minimum cost, Multi PA-Protector offers you four (4) affordable plans to meet your budget.

In addition, the policy also includes renewal bonus, bereavement allowance, repatriation allowance, recuperative allowance and hospital income in the event of being hospitalized for more than 5 days consecutively. If you are NOT hospitalized but unable to attend work with a valid MC, you are entitled to a weekly allowance. Plus, we would pay your outstanding financial obligations on your housing and motor loan up to six months repayment sum and also the outstanding balance on your credit card(s) at the time of the accident!

When you and your spouse sign up for Multi PA-Protector, you may choose to insure your children for RM 15 only.

‍

‍

‍The benefit(s) payable under eligible product is protected by PIDM up to limits. Please refer to PIDM’s TIPS Brochure or contact Generali Insurance Malaysia Berhad or PIDM (visit www.pidm.gov.my)","General Insurance"
"Travel","Multi Lucky","Life can be unpredictable. No one knows when an accident can happen. Nasty events can cause serious changes in your life. The lifestyle and comfort you and your spouse are now enjoying may be suddenly disrupted by an accident. Overnight, things could look very different. That is why a comprehensive accident policy is essential for you to fall back on.

BUT now, you can be assured of a reliable help in time of need with Multi Lucky Personal Accident at minimal cost.

This policy's unique features include:

TOTAL PARALYSIS CARE‍In the event of an accidental permanent total paralysis, a lump sum of 200% of your Capital Sum Insured will be made payable based on the plan was selected.
FINANCIAL OBLIGATION BENEFITIn the event of an accidental death or permanent disability, we would settle your outstanding financial obligation on your housing loan and/or motor loan up to six (6) months repayment sum and/or the outstanding balance on your Credit Card(s) at the time of the accident. The amount payable depends on the plan selected.
‍
KIDNAP BENEFITA lump sum of RM 5,000 for necessary expenses incurred by the Insured's family and we also offer a sum of reward, depending on the plan selected, for information leading to the recovery of the Insured. In addition, the Capital Sum Insured will be paid in full if the kidnapped Insured is not recovered after a period of one (1) year from the day of the kidnap.

‍

‍
The benefit(s) payable under eligible product is protected by PIDM up to limits. Please refer to PIDM’s TIPS Brochure or contact Generali Insurance Malaysia Berhad or PIDM (visit www.pidm.gov.my)","General Insurance"
"H&P","110 CI Assure","Comprehensive Critical Illness Plan from Early Stages
Critical illnesses can strike at any time and often catch us off guard. With 110 CI Assure, you will have access to the funds you need to seek early treatment for better chance of recovery and to cope with unexpected changes in your lifestyle, both financially and emotionally.","TBD"
"H&P","360 Cancer Assure","Comprehensive Cancer Plan That Protects From Prevention, Treatment to Recovery
Cancer treatment and recovery is a continuous journey. It can bring a great deal of financial and emotional distress. The good news is you need not face it alone. By being prepared financially, emotionally and mentally, you can continue to live a quality life even when the unexpected happens.","TBD"
"H&P","CritiCover","Comprehensive critical illness plan that provides coverage for 194 conditions
Critical illness insurance is one of the insurance products that completes a person’s holistic insurance protection planning. Introducing CritiCover, a comprehensive critical illness plan for you that protects against almost all and any future illnesses¹. With this critical illness plan, your critical illness protection is complete!

‍

¹Only available for Supreme plan.","TBD"
"H&P","InternationalExclusive","Enjoy easy access to the best medical treatments overseas
In life, we always want the best for ourselves and our loved ones. Sometimes, getting the best medical care and treatment may require us to seek treatment in overseas facilities.

With our international health insurance - InternationalExclusive plan, you can enjoy high medical coverage and access to quality medical care anywhere in the world. With entry age up to 80, it provides a range of options to suit your diverse needs.","TBD"
"H&P","OneMedic Elite","One medical plan that helps you make the right decision
Every day you are presented with options and we want to make sure the choices that you make help you become better every day. One of the important choices is buying medical insurance for yourself and your family.

‍

There are many medical insurance products available in the market and we are here to help you make the right choice by offering OneMedic Elite, the one medical plan that provides you and your family peace of mind with comprehensive medical coverage.

‍

OneMedic Elite also comes with value-added features that allow you to enjoy more savings from lower insurance charges with the Deductible option and No-Claim Bonus.","TBD"
"H&P","OneMedic Lite","One medical plan that balances your medical protection needs and affordability
Every day you are presented with options and we want to make sure the choices that you make help you become better every day. One of the important choices is buying medical insurance for yourself and your family.

‍

There are many medical insurance products available in the market and we are here to help you make the right choice by offering OneMedic Lite, the one medical plan that provides you and your family peace of mind and at the same time fits your budget.

‍

OneMedic Lite features 4 key benefits that will fulfil yours and your family’s medical protection needs.","TBD"
"H&P","SmartCancer Cash","Cancer Protection with Double Payout for Gender-Specific Cancer
SmartCancer Cash gives you lump sum cash payout upon diagnosis of cancer, and also 30% upfront payment from diagnosis of early stage cancer.","TBD"
"H&P","eCritical Early Care","Online critical illness plan, up to RM250,000 coverage for 50 Early and Advanced critical illness conditions
Critical illnesses can strike anyone unexpectedly. It's essential to be financially prepared for your family.

‍

Generali eCritical Early Care is a comprehensive critical illness protection plan that covers most of the common critical illnesses in Malaysia – lung cancer, stroke, Alzheimer's disease, heart attack, kidney failure, and more. Protect against these illnesses now and in the future.

‍

You will receive a lump sum payment of up to RM250,000 upon diagnosed with any covered critical illness as financial support for your living expenses, as well as better options for treatment and recuperation.

‍

Sign up for eCritical Early Care from as low as RM16/month*. 5% discount for annual payment.‍

*Price based on male, age 18, non-smoker with Sum Insured of RM250,000.

‍

‍

eCombo Complete Protection Campaign

Sign up for Generali's eCombo online insurance package (Medical + Life + Critical Illness) before 31 August 2024 and get up to RM90 Big Pharmacy e-voucher. Plus, a chance to win up to RM1,000 Touch ‘n Go eWallet credit!","TBD"
"Scraped at",":","2024-07-12 23:20 +08",""
