"product_type","product_category","product_name","product_description"
"Wealth Protection","WEALTH & LEGACY PLANNING","A-Life Wealth Builder","Provides high coverage amount and rewards you up to 6 times with Wealth Rewards and Wealth Booster."
"Wealth Protection","WEALTH & LEGACY PLANNING","A-Life Legasi Beyond","A regular contribution investment-linked takaful plan that provides up to 6 times the protection amount."
"Wealth Protection","WEALTH & LEGACY PLANNING","A-Life Wealth Venture","A non-participating high protection plan with an eased onboarding journey to protect your venture and secure your legacy."
"Wealth Protection","CHILD'S SAVINGS PLANNING","A-Life Wealth Treasure","Supports you in nurturing a better financial future for your little one."
"Wealth Protection","WEALTH & LEGACY PLANNING","A-Life Sejuta Makna","A family takaful plan that provides a meaningful protection for every precious moment."
"Wealth Protection","WEALTH & LEGACY PLANNING","A-Life Wealth Premier","Helps you build a strong financial safety net to safeguard your loved ones when you are no longer around."
"Wealth Protection","INVESTMENT & SAVINGS","A-Enrich Rezeki","A savings plan that offers Takaful coverage as well as potential investment growth
Maximise the return on your investment (ROI)."
"Wealth Protection","INVESTMENT & SAVINGS","A-EnrichGold","A short-pay savings plan that offers guaranteed cash payments and potential investment gains."
"Wealth Protection","INVESTMENT & SAVINGS","A-EnrichGold-i","A short-pay savings plan that provides takaful coverage and potential growth in investments.
Allow you to maximise the return on your money."
"Wealth Protection","INVESTMENT & SAVINGS","A-Enrich Wealth","A short-pay savings plan to maximise returns with protection and investment.
Up to 16 AIA Investment Funds (local and foreign) of varying risk profiles are available for your selection."
"Wealth Protection","INVESTMENT & SAVINGS","A-InvestLink","A flexible plan that helps you maximise your investment returns."
"Wealth Protection","WEALTH & LEGACY PLANNING","A-Life Infinite","A premier investment-linked plan with a minimum coverage amount of RM5 million, one of the highest available in the market."
"Wealth Protection","INVESTMENT & SAVINGS","A-Enrich20","A savings plan that guarantees cash payments and increases your insurance cover."
"Wealth Protection","CHILD'S SAVINGS PLANNING","A-EduAchieve 2","Combines savings, protection and investment to boost your child's education fund."
"Wealth Protection","WEALTH & LEGACY PLANNING","A-Plus Infaq","A term plan that donates to charity on your behalf if you pass away or suffer from TPD."
"Accident Protection","COMPREHENSIVE PERSONAL ACCIDENT","AIA Travel PA Plus","AIA Travel PA Plus is a travel protection plan that provides comprehensive coverage.
Covers against injury, disability or death caused by an accident that occur during an insured's journey.
Covers medical expenses incurred due to an accident or illness and travel difficulties that occur during the insured trip."
"Accident Protection","COMPREHENSIVE PERSONAL ACCIDENT","AIA Travel PA Plus","AIA Travel PA Plus is a travel protection plan that provides comprehensive coverage.
Covers against injury, disability or death caused by an accident that occur during an insured's journey.
Covers medical expenses incurred due to an accident or illness and travel difficulties that occur during the insured trip."
"Accident Protection","COMPREHENSIVE PERSONAL ACCIDENT","Xtra Guard PA","Xtra Guard PA is a personal accident plan that takes care of your family.
Provides a financial safety net in the event of a serious injury, disability, or death due to accident."
"Accident Protection","COMPREHENSIVE PERSONAL ACCIDENT","Xtra Guard Booster","It boosts your medical coverage in the event of an accident and provides death coverage due to Dengue viral fever."
"Accident Protection","COMPREHENSIVE PERSONAL ACCIDENT","Flex PA","A complete personal accident plan.
Customisable to your needs.
Comes with 5 optional riders."
"Accident Protection","COMPREHENSIVE PERSONAL ACCIDENT","Medical Enhancer","Medical Enhancer boosts your medical coverage.
It provides an array of medical coverage.
Better treatments for faster recovery."
"Accident Protection","COMPREHENSIVE PERSONAL ACCIDENT","Living Protector","Living Protector provides financial support after an accident.
It provides 25% of the weekly benefit for up to a year.
You will receive an annual allowance for up to 10 years."
"Accident Protection","COMPREHENSIVE PERSONAL ACCIDENT","Crime Guard","Crime Guard protects you against losses and injuries from acts of crime.
It provides financial assitance during difficult times.
You are also reimbursed for the ransom payment if ransom demand is made."
"Accident Protection","COMPREHENSIVE PERSONAL ACCIDENT","Family Shield","Family Shield provides financial safety.
It also provides a yearly income to help ease your family's financial burden."
"Accident Protection","COMPREHENSIVE PERSONAL ACCIDENT","Child Plus","Child Plus protects your children and their education.
Ransom payment will be reimbursed if the ransom demand is made.
You will be rewarded for information leading to your child's recovery, while alive."
"Accident Protection","COMPREHENSIVE PERSONAL ACCIDENT","Easy Cover PA","Easy Cover Personal Accident provides a simple plan with amazing living benefits.
Ensuring continuous income flow after experiencing serious accidental loss."
"Accident Protection","GROUP PERSONAL ACCIDENT","AIA Student Accident Shield","Personal accident plan for students.
For medical, accidental death, disabilities.
24-hour worldwide protection."
"Accident Protection","GROUP PERSONAL ACCIDENT","Group Flexible Personal Accident","Group Flexible Accidental plan.
Wide range of protection options.
For calamities, diseases and dengue."
"Accident Protection","ACCIDENT PROTECTION","SafeTrip","Offers compensation in the event of travel inconvenience, sickness, injury, accidental disability or death during your trip.
Optional benefits available for International Plan to cover adventurous & winter sports, home contents and pet.
Available for both international and domestic trips, with coverage of up to 90 consecutive days."
"Accident Protection","ACCIDENT PROTECTION","WalletSafe","Covers unauthorised transactions from TNG eWallet & death due to accident (additional payout for road traffic accident or in public conveyance).
Covers loss of personal belongings and unauthorised debit or credit card spending as a result of theft."
"Accident Protection","ACCIDENT PROTECTION","A-Plus Total AccidentShield","Provides benefits for death or injuries resulting from an accident."
"Accident Protection","ACCIDENT PROTECTION","A-Life Pelindung","A regular contribution family takaful plan that provides accidental coverage for 20 years or up to age 85."
"Accident Protection","ACCIDENT PROTECTION","A-Plus Accident ShieldExtra-i","Provide protection against any unfortunate events as a result of an accident up to age 70."
"Home Protection","HOME PROTECTION","SafeHome","Basic fire insurance to protect your home and/or its contents against losses or damages caused by fire and lightning. Add-on coverages are available.
Provides cash relief and medical coverage in the event of mishaps resulting from insured perils."
"Home Protection","HOME PROTECTION","A-Essential Home","Covers your home and its contents against losses or damages."
"Home Protection","HOME PROTECTION","AIA Fixed Rate Mortgage","A fixed-rate home financing solution for new purchases and refinancing of existing properties."
"Motor Insurance","MOTOR INSURANCE","Family Drive","Provides protection to not only you and your car, but also your family who is travelling with you."
"Motor Insurance","MOTOR INSURANCE","Comprehensive Private Car Insurance","Offers coverage for your car as well as coverage for others that includes loss, damage, injury and death."
"Motor Insurance","MOTOR INSURANCE","Comprehensive Commercial Vehicle Insurance","Provides protection against damages to other vehicles and injuries that the drivers or passengers may sustain.
Covers you and other named drivers for any loss or damage to your vehicle, including any injury caused by an accident."
