"product_type","product_name","product_description"
"Personal Accident","Allianz Lifestyle Protect","Smart device protection
Online purchase protection
Credit card and loan indemnity

 "
"Personal Accident","ATM Shield","Covers loss of cash withdrawn from ATM
Covers loss of or damage to personal effects
Covers death and permanent disablement
 "
"Personal Accident","Premier PA Plus","Coverage includes locally and abroad
Additional 300% payout of sum assured in the event of accidental death
Up to additional 400% payout of sum assured"
"Personal Accident","Allianz Shield Plus
 ","Renewal bonus up to 100%
Double indemnity in the event of death or permanent disablement
Cashless hospital admission and discharge
 "
"Personal Accident","Allianz Motorcyclist Personal Accident","Covers accidental death
Covers permanent disablement
 
Bereavement allowance


"
"Personal Accident","Allianz Student Personal Accident","Covers accidental death and permanent disablement
Medical expenses
Government or private hospital cash allowance"
"Personal Accident","Personal Accident
 ","Covers accidental death and permanent disablement
Medical and surgical treatment
 "
"Personal Accident","Special Occupation Personal Accident","Covers accidental death
Covers permanent disablement
Medical expenses
 "
"Personal Accident","Drive Smart Shield
 ","Covers death or permanent disablement
Covers medical expenses benefit
Renewal bonus up to 50%
 "
"Personal Accident","PerlindunganKu Allianz4All","An affordable insurance plan based on the Universal Values that are in line with Islamic Financial principles to meet your needs
 
Death or permanent disablement due to Accident up to RM50,000 coverage"
"Savings, Investments & Waivers","Allianz PayorCover","Diagnosis with any of the specified 36 critical illnesses
 
 "
"Savings, Investments & Waivers","WealthCover
 ","Maximise your savings and investment
Affordable payments from as low as RM20 
Attachment of WealthCover with no additional charge"
"Savings, Investments & Waivers","Allianz SecureCover / SecureCover Plus","Covers your child premium
Pays an amount equivalent to the premium amount in the event of the death, total and permanent disability or diagnosis of the 36 critical illnesses"
"Savings, Investments & Waivers","Prime Income
 ","Short premium payment term of 8 years
Guaranteed Cash Payment starting from the 8th policy year
Enjoy extra payout"
"Home","Smart Home Cover
 ","Freedom to choose and customise
Consisting of five components namely HouseOwner (Building), HouseHolder (Content), Mortgage Loan Installment Protection, HomeFix and Landlord Insurance
Potential help save more on premiums"
"Home","HouseOwner & HouseHolder Insurance","Covers fire, lightning and domestic explosion
Covers damages caused by aircraft and impact by vehicles or animals
Covers bursting or overflowing of water tanks or pipes
 "
"Home","Allianz KampungKu
 ","Covers building and / or household contents against fire and lightning
Pays Emergency Relief Benefit 
Covers personal accident for death, permanent disablement and funeral expenses of the insured or one immediate family member"
"Home","Homeguard","Full Theft Coverage
Covers Accidental Death & Permanent Disablement
Domestic Medical Assistance Programme"
"Car & Motorcycle","Car & Motor Comprehensive Cover","Covers losses or damages to your car due to accident, fire and theft
Covers Third Party death and bodily injuries
Covers Third Party property losses or damages"
"Car & Motorcycle","Car & Motor Third Party
Cover
","Covers Third Party death and bodily injuries
Covers Third Party property losses or damages
 
 "
"Car & Motorcycle","Car & Motor Third Party, Fire & Theft Cover","Covers losses or damages to your car due to fire or theft
Covers Third Party death and bodily injuries
Covers Third Party property losses or damages"
"Car & Motorcycle","Allianz Motorcycle Plus","Covers against liabilities to other parties for death or bodily injuries
Covers against loss or damage to other parties' property
Only applicable for motorcycles 250cc and below"
"Car & Motorcycle","e-Hailing Add On","Covers legal liability to fare paying passengers
Covers legal liability of fare paying passenger for negligent act
Covers losses or damages to your car due to fire or theft"
"Roadside Assistance","Road Warrior ","Covers personal accident for you and your passengers
Covers accidental death and permanent disablement
Allianz 24-Hour Car Assistance Program including towing service, minor roadside repair etc"
"Roadside Assistance","Bike Warrior ","Covers personal accident for you and your pillion rider
24-hour Bike Assistance Program
Compassionate Care in the event of total loss or theft of your superbike
 "
"Travel Insurance","Allianz Travel Insurance","Covers you and your family when you travel domestically or overseas
Covers accidental death and permanent disablement
Medical expenses
 "
"Living","Domestic Servant Insurance Scheme","Covers Accidental Death and Permanent Disablement
Covers medical expenses
Covers repatriation expenses
 "
"Living","Golf Master
 ","Covers public liability
Covers Personal Accident up to RM25,000
Covers losses and damages to golf clubs, equipment and personal belongings due to fire and theft"
"Living","Allianz Lifestyle Protect
 ","Smart device protection
Online purchase protection
Credit card and loan indemnity

 "
"Living","Device Protection","We'll take care of your appliances in event of breakdowns or accidents - our experts are one call away and ready to help"
