"company","product_type","product_name","product_description","insurance_type","discovered_place"
"AIA","Medical","A-Plus Recover-i","A plan that provides coverage for severe illnesses that results in prolonged hospitalization.","Family Takaful","Insurer"
"AIA","H&P","A-Plus Total AccidentShield","Provides benefits for death or injuries resulting from an accident.","Life Insurance","Insurer"
"AIA","Critical Illness","AIA Critical Illness Cover","Covers you for 39 critical illnesses at an affordable price.","Life Insurance","Insurer"
"AIA","Home","AIA Fixed Rate Mortgage","A fixed-rate home financing solution for new purchases and refinancing of existing properties.","General Insurance","Insurer"
"AIA","Medical","AIA Med Basic","An affordable medical plan that covers the cost of your medical treatment and hospitalisation.","Life Insurance","Insurer"
"AIA","Life","AIA One Plan","An affordable life insurance that covers death as well as total and permanent disability (TPD).","Life Insurance","Insurer"
"AIA","Life","AIA Starter Plan","An affordable insurance plan with death coverage, from RM0.09/day (*Depending on your gender, smoker status and health condition.)
Suitable if you are new to life insurance or looking for a basic insurance coverage.
This plan is only open to Malaysian citizens residing in Malaysia.","Life Insurance","Insurer"
"AIA","H&P","AIA Student Accident Shield","Personal accident plan for students.
For medical, accidental death, disabilities.
24-hour worldwide protection.","General Insurance","Insurer"
"AIA","H&P","AIA Travel PA Plus","AIA Travel PA Plus is a travel protection plan that provides comprehensive coverage.
Covers against injury, disability or death caused by an accident that occur during an insured's journey.
Covers medical expenses incurred due to an accident or illness and travel difficulties that occur during the insured trip.","General Insurance","Insurer"
"AIA","Critical Illness","AIA i-Critical Illness Cover","An affordable takaful Critical Illness plan that covers you for 39 critical illnesses.
Coverage from as low as RM0.08 per day.","Family Takaful","Insurer"
"AIA","Medical","AIA i-Med Basic","An affordable takaful medical plan that covers the cost of your medical treatment and hospitalisation.","Family Takaful","Insurer"
"AIA","Life","AIA i-One Plan","An affordable takaful life plan that covers death as well as total and permanent disability (TPD).","Family Takaful","Insurer"
"AIA","Life","AIA i-Starter Plan","Most affordable takaful plan.
An affordable takaful plan with death coverage, from RM0.11/day* (*Depending on your gender, smoker status and health condition.).
Suitable if you are new to takaful plans or looking for basic coverage.","Family Takaful","Insurer"
"AIA","H&P","Child Plus","Child Plus protects your children and their education.
Ransom payment will be reimbursed if the ransom demand is made.
You will be rewarded for information leading to your child's recovery, while alive.","General Insurance","Insurer"
"AIA","Motor","Comprehensive Commercial Vehicle Insurance","Provides protection against damages to other vehicles and injuries that the drivers or passengers may sustain.
Covers you and other named drivers for any loss or damage to your vehicle, including any injury caused by an accident.","General Insurance","Insurer"
"AIA","Motor","Comprehensive Private Car Insurance","Offers coverage for your car as well as coverage for others that includes loss, damage, injury and death.","General Insurance","Insurer"
"AIA","H&P","Crime Guard","Crime Guard protects you against losses and injuries from acts of crime.
It provides financial assitance during difficult times.
You are also reimbursed for the ransom payment if ransom demand is made.","General Insurance","Insurer"
"AIA","H&P","Easy Cover PA","Easy Cover Personal Accident provides a simple plan with amazing living benefits.
Ensuring continuous income flow after experiencing serious accidental loss.","General Insurance","Insurer"
"AIA","Motor","Family Drive","Provides protection to not only you and your car, but also your family who is travelling with you.","General Insurance","Insurer"
"AIA","H&P","Family Shield","Family Shield provides financial safety.
It also provides a yearly income to help ease your family's financial burden.","General Insurance","Insurer"
"AIA","H&P","Flex PA","A complete personal accident plan.
Customisable to your needs.
Comes with 6 optional riders.","General Insurance","Insurer"
"AIA","H&P","Group Flexible Personal Accident","Group Flexible Accidental plan.
Wide range of protection options.
For calamities, diseases and dengue.","General Insurance","Insurer"
"AIA","Life (credit-related)","Hire Purchase Decreasing Term Assurance","The plan that offers more than just protection","Life Insurance","Bank"
"AIA","Critical Illness","Insure360 (Critical Illness)","Covers 5 critical illnesses in advanced stage.
Provides monthly cash allowance for home nursing care, hospice care, palliative care and home cleaning services upon diagnosis.","Life Insurance","Insurer"
"AIA","Medical","Insure360 (Medical)","Covers medical treatment and hospitalisation costs as an in-patient. No medical examinations required.
A selection of flexible deductible amounts to meet your personal needs and budget.","Life Insurance","Insurer"
"AIA","H&P","Living Care","Living Care provides financial support after an accident.
It provides 25% of the weekly benefit for up to a year.
You will receive an annual allowance for up to 10 years.","General Insurance","Insurer"
"AIA","H&P","Medi Guard","Medi Guard boosts your medical coverage.
It provides an array of medical coverage.
Better treatments for faster recovery.","General Insurance","Insurer"
"AIA","Life (credit-related)","Mortgage Decreasing Term Assurance 2.0 / Overdraft Level Term Assurance","May your dream house be your home forever","Life Insurance","Bank"
"AIA","Investment","PB Alpha Edu","Brighter future for your little one starts here.","Life Insurance","Bank"
"AIA","TBD (Telemarketing)","PB CI Care","PB CI Care helps you prepare financially should the unexpected happen so that you can focus on what truly matters: your recovery.","Life Insurance","Bank"
"AIA","TBD (Telemarketing)","PB CI Protector","PB CI Protector covers you against any one of the 39 critical illnesses as well as selected complications arising from diabetes.","Life Insurance","Bank"
"AIA","Critical Illness","PB Cancer Complete","The Plan that Covers All Stages of Cancer","Life Insurance","Bank"
"AIA","TBD (Telemarketing)","PB Cancer Guard","PB Cancer Guard relieves you from the long-term financial burden of cancer by covering you against cancer right from the start.","Life Insurance","Bank"
"AIA","TBD (Telemarketing)","PB Care PA","Protect your family from the unexpected and AIA will take care of your needs for 24 Hours & 365 Days when you need it most.","Life Insurance","Bank"
"AIA","TBD (Telemarketing)","PB Care Plus","PB Care Plus provides financial support for you and your family should any unfortunate events happen.","Life Insurance","Bank"
"AIA","Investment","PB Elite Signature","Privileged Access To Wealth Management Expertise.","Life Insurance","Bank"
"AIA","TBD (Telemarketing)","PB Global PA","Keep you protected at all times from the unexpected and ease you from the financial burden arising from an accident.","Life Insurance","Bank"
"AIA","TBD (Telemarketing)","PB Golden Care","Keep you protected at all times from the unexpected and ease you from the financial burden arising from an accident.","Life Insurance","Bank"
"AIA","TBD (Telemarketing)","PB Life Plus","Protects you against unexpected events up to 600% of sum assured while securing your premium.","Life Insurance","Bank"
"AIA","TBD (Telemarketing)","PB Lifestyle PA","PB Lifestyle PA provides compensation for you and your spouse should the unfortunate happen.","Life Insurance","Bank"
"AIA","Critical Illness","PB Major Illness Care","Future Proof Your Safety Net For Major Illnesses","Life Insurance","Bank"
"AIA","Savings","PB Max Advantage","Rewarding you for the steps you take towards your dreams.","Life Insurance","Bank"
"AIA","Savings","PB Pro Saver","Every Big Dream Begins with a Small Step","Life Insurance","Bank"
"AIA","TBD (online)","PB Protect CI","Get your critical illness protection at your fingertips","Life Insurance","Bank"
"AIA","TBD (online)","PB Protect Term","Protect yourself at your fingertips","Life Insurance","Bank"
"AIA","Investment","PB Signature Legacy","Privileged Access To Wealth Management Expertise.","Life Insurance","Bank"
"AIA","Investment","PB Smart Elite","Accumulate wealth with personal protection.","Life Insurance","Bank"
"AIA","Investment","PB Smart Link","Enhance your investment opportunities with personal protection.","Life Insurance","Bank"
"AIA","Life (credit-related)","PB Term CI","PB Term CI is designed to provide you with financial assistance in relation to your loan if you suffer from any of the 39 critical illnesses, so that you can focus on your recovery.","Life Insurance","Bank"
"AIA","Investment","PB Venture Shield","Securing your venture and loved ones, when you need it the most","Life Insurance","Bank"
"AIA","Investment","PB WealthElite Xtra 2","For the life we live today and the legacy we leave tomorrow.","Life Insurance","Bank"
"AIA","Home","SafeHome","Basic fire insurance to protect your home and/or its contents against losses or damages caused by fire and lightning. Add-on coverages are available.
Provides cash relief and medical coverage in the event of mishaps resulting from insured perils.","General Insurance","Insurer"
"AIA","H&P","SafeTrip","Offers compensation in the event of travel inconvenience, sickness, injury, accidental disability or death during your trip.
Optional benefits available for International Plan to cover adventurous & winter sports, home contents and pet.
Available for both international and domestic trips, with coverage of up to 90 consecutive days.","General Insurance","Insurer"
"AIA","H&P","Senior Care","Provide medical and recovery support to you during your recovery journey after an accident.","General Insurance","Insurer"
"AIA","H&P","WalletSafe","Covers unauthorised transactions from TNG eWallet & death due to accident (additional payout for road traffic accident or in public conveyance).
Covers loss of personal belongings and unauthorised debit or credit card spending as a result of theft.","General Insurance","Insurer"
"AIA","H&P","Xtra Guard Booster","It boosts your medical coverage in the event of an accident and provides death coverage due to Dengue viral fever.","General Insurance","Insurer"
"AIA","H&P","Xtra Guard PA","Xtra Guard PA is a personal accident plan that takes care of your family.
Provides a financial safety net in the event of a serious injury, disability, or death due to accident.","General Insurance","Insurer"
"AIA","Investment","empower 2","Putting you in control of your life.","Life Insurance","Bank"
"Allianz","H&P","ATM Shield","Covers loss of cash withdrawn from ATM
Covers loss of or damage to personal effects
Covers death and permanent disablement
 ","Life Insurance","Insurer"
"Allianz","Life","Allianz Ability Life","Premium from as low as RM50
Guaranteed renewal
Lump sum payment upon death","Life Insurance","Insurer"
"Allianz","Medical","Allianz Diabetic Essential","A choice of 4 medical plans
Annual health screening benefits
Enjoy annual premium discount","Life Insurance","Insurer"
"Allianz","Life","Allianz EverLink Plus","A plan with high coverage
Death or Total and Permanent Disability (TPD)* benefits
Ensure financial stability with flexible coverage terms","Life Insurance","Insurer"
"Allianz","Life","Allianz EverLink Signature","High coverage with short commitment period & flexible coverage terms
Boost your investment with a Loyalty Bonus
Personalise your coverage with additional riders","Life Insurance","Insurer"
"Allianz","Home","Allianz KampungKu","Covers building and / or household contents against fire and lightning
Pays Emergency Relief Benefit 
Covers personal accident for death, permanent disablement and funeral expenses of the insured or one immediate family member","General Insurance","Insurer"
"Allianz","Life","Allianz Kasih4All","Coverage for Death Due to Accidental or Non-Accidental Causes, up to RM30,000
Affordable premiums to suit your financial situation
Coverage term up to the Life Assured attaining 71 years old nearest birthday","Life Insurance","Insurer"
"Allianz","Life","Allianz Legacy Plus","Increasing Insured Amount to protect your legacy against inflation
Guaranteed Maturity Benefit to preserve your wealth for your future generation
High Non-Medical Limit of up to RM 4,000,000","Life Insurance","Insurer"
"Allianz","H&P, Misc.","Allianz Lifestyle Protect","Smart device protection
Online purchase protection
Credit card and loan indemnity

 ","Life Insurance","Insurer"
"Allianz","Medical","Allianz MediCure","A choice of 5 medical plans
5 optional deductible plans
Coverage available to both individual and multiple insured persons","Life Insurance","Insurer"
"Allianz","Motor","Allianz Motorcycle Plus","Covers against liabilities to other parties for death or bodily injuries
Covers against loss or damage to other parties' property
Only applicable for motorcycles 250cc and below","General Insurance","Insurer"
"Allianz","H&P","Allianz Motorcyclist Personal Accident","Covers accidental death
Covers permanent disablement
 
Bereavement allowance


","Life Insurance","Insurer"
"Allianz","Savings/Investment","Allianz PayorCover","Diagnosis with any of the specified 36 critical illnesses
 
 ","Life Insurance","Insurer"
"Allianz","Savings/Investment","Allianz SecureCover / SecureCover Plus","Covers your child premium
Pays an amount equivalent to the premium amount in the event of the death, total and permanent disability or diagnosis of the 36 critical illnesses","Life Insurance","Insurer"
"Allianz","H&P","Allianz Shield Plus","Renewal bonus up to 100%
Double indemnity in the event of death or permanent disablement
Cashless hospital admission and discharge
 ","Life Insurance","Insurer"
"Allianz","H&P","Allianz Student Personal Accident","Covers accidental death and permanent disablement
Medical expenses
Government or private hospital cash allowance","Life Insurance","Insurer"
"Allianz","Travel","Allianz Travel Insurance","Covers you and your family when you travel domestically or overseas
Covers accidental death and permanent disablement
Medical expenses
 ","General Insurance","Insurer"
"Allianz","Life","Allianz UltimateLink","Protection and investment in one plan
Insurance protection up to age 100
Comprehensive range of optional benefits","Life Insurance","Insurer"
"Allianz","Critical Illness","Allianz i-Cancer Care","Early or advanced stage cancer coverage
3 plans to suit different levels of cancer protection needs
Lump sum health care allowance","Life Insurance","Insurer"
"Allianz","Life","Allianz i-EssentialCover","Coverage up to RM500,000
Guaranteed yearly premium
Fast, hassle free enrolment","Life Insurance","Insurer"
"Allianz","Medical","Allianz i-HospitalCash","Daily cash benefit upon hospitalisation
Double cash benefit for overseas hospitalisation
No Claims Bonus at maturity","Life Insurance","Insurer"
"Allianz","Motor","Bike Warrior","Covers personal accident for you and your pillion rider
24-hour Bike Assistance Program
Compassionate Care in the event of total loss or theft of your superbike
 ","General Insurance","Insurer"
"Allianz","Motor","Car & Motor Comprehensive Cover","Covers losses or damages to your car due to accident, fire and theft
Covers Third Party death and bodily injuries
Covers Third Party property losses or damages","General Insurance","Insurer"
"Allianz","Motor","Car & Motor Third Party, Fire & Theft Cover","Covers losses or damages to your car due to fire or theft
Covers Third Party death and bodily injuries
Covers Third Party property losses or damages","General Insurance","Insurer"
"Allianz","Motor","Car & Motor Third PartyCover","Covers Third Party death and bodily injuries
Covers Third Party property losses or damages
 
 ","General Insurance","Insurer"
"Allianz","Misc.","Device Protection","We'll take care of your appliances in event of breakdowns or accidents - our experts are one call away and ready to help","General Insurance","Insurer"
"Allianz","Misc.","Domestic Servant Insurance Scheme","Covers Accidental Death and Permanent Disablement
Covers medical expenses
Covers repatriation expenses
 ","General Insurance","Insurer"
"Allianz","H&P","Drive Smart Shield","Covers death or permanent disablement
Covers medical expenses benefit
Renewal bonus up to 50%
 ","Life Insurance","Insurer"
"Allianz","Misc.","Golf Master","Covers public liability
Covers Personal Accident up to RM25,000
Covers losses and damages to golf clubs, equipment and personal belongings due to fire and theft","General Insurance","Insurer"
"Allianz","Critical Illness","HealthCover","Coverage on 36 critical illnesses
Coverage up to age 100
 


","Life Insurance","Insurer"
"Allianz","Critical Illness","HealthCover Enhancer","Provides additional medical insurance coverage upon the first diagnosis of Carcinoma-in-Situ / pre-cancerous lesions
Provides financial protection upon the first diagnosis of Carcinoma-in-Situ / pre-cancerous lesions","Life Insurance","Insurer"
"Allianz","Critical Illness","HealthCover Plus","Coverage on 70 critical illnesses
Protection against 7 additional critical illnesses for those below the age of 19
Coverage up to age 100
 ","Life Insurance","Insurer"
"Allianz","Medical","HealthInsured","No Overall Lifetime Limit
High Overall Annual Limit
Flexible deductible option","Life Insurance","Insurer"
"Allianz","Home","Homeguard","Full Theft Coverage
Covers Accidental Death & Permanent Disablement
Domestic Medical Assistance Programme","General Insurance","Insurer"
"Allianz","Home","HouseOwner & HouseHolder Insurance","Covers fire, lightning and domestic explosion
Covers damages caused by aircraft and impact by vehicles or animals
Covers bursting or overflowing of water tanks or pipes
 ","General Insurance","Insurer"
"Allianz","Critical Illness","Lady Guard","Coverage for female-related cancers
Coverage for female-related illnesses","Life Insurance","Insurer"
"Allianz","Medical","MediAdvantage","Overseas Medical Treatment Benefit
Second medical opinion
Seamless experience","Life Insurance","Insurer"
"Allianz","H&P","PerlindunganKu Allianz4All","An affordable insurance plan based on the Universal Values that are in line with Islamic Financial principles to meet your needs
 
Death or permanent disablement due to Accident up to RM50,000 coverage","Life Insurance","Insurer"
"Allianz","H&P","Personal Accident","Covers accidental death and permanent disablement
Medical and surgical treatment
 ","Life Insurance","Insurer"
"Allianz","Life","Power Shield","Affordable term life insurance coverage
Flexible coverage term
Option to purchase a permanent plan","Life Insurance","Insurer"
"Allianz","Critical Illness","PreciousCover and BabyCover","Mental Health Coverage for mothers
Child Development Disorder Benefit
Prenatal and Postnatal Benefit
 ","Life Insurance","Insurer"
"Allianz","H&P","Premier PA Plus","Coverage includes locally and abroad
Additional 300% payout of sum assured in the event of accidental death
Up to additional 400% payout of sum assured","Life Insurance","Insurer"
"Allianz","Critical Illness","Prime Care+","Coverage on more than 150 critical illnesses
Diabetes and Cancer Recovery Benefit
 ","Life Insurance","Insurer"
"Allianz","Savings/Investment","Prime Income","Short premium payment term of 8 years
Guaranteed Cash Payment starting from the 8th policy year
Enjoy extra payout","Life Insurance","Insurer"
"Allianz","Motor","Road Warrior","Covers personal accident for you and your passengers
Covers accidental death and permanent disablement
Allianz 24-Hour Car Assistance Program including towing service, minor roadside repair etc","General Insurance","Insurer"
"Allianz","Home","Smart Home Cover","Freedom to choose and customise
Consisting of five components namely HouseOwner (Building), HouseHolder (Content), Mortgage Loan Installment Protection, HomeFix and Landlord Insurance
Potential help save more on premiums","General Insurance","Insurer"
"Allianz","H&P","Special Occupation Personal Accident","Covers accidental death
Covers permanent disablement
Medical expenses
 ","Life Insurance","Insurer"
"Allianz","Savings/Investment","WealthCover","Maximise your savings and investment
Affordable payments from as low as RM20 
Attachment of WealthCover with no additional charge","Life Insurance","Insurer"
"Allianz","Motor","e-Hailing Add On","Covers legal liability to fare paying passengers
Covers legal liability of fare paying passenger for negligent act
Covers losses or damages to your car due to fire or theft","General Insurance","Insurer"
"AmMetLife","Medical","HealthCare Choice + HCC BoostUp","HealthCare Choice + HCC BoostUp is an affordable medical protection plan that offers essential coverage for not only standard hospitalisation, surgery and post-care treatment, but also advanced medical procedure such as genomics test for cancer.","Life Insurance","Bank"
"AmMetLife","Property","Mortgage Level Term Assurance","You finally own the house of your dreams. Your next thought would be to perfect your home and provide your loved ones with the financial security they deserve. With Mortgage Level Term Assurance by AmMetLife, you can now safeguard your family with a home complete with protection and comfort to give you peace of mind.","Life Insurance","Bank"
"AmMetLife","Property","Mortgage Reducing Term Assurance (MRTA)","MRTA comes with the following attractive benefits & features:","Life Insurance","Bank"
"AmMetLife","Investment","ProtectSecure","Secure your future with ProtectSecure, a plan designed to bring together the best of protection and investment benefits. So even if unexpected circumstances such as death, Total and Permanent Disability (TPD) or critical illnesses happen, rest assured that you and your loved ones will still be well taken care of.","Life Insurance","Bank"
"AmMetLife","Life","ProtectSecure Prime","With ProtectSecure Prime, a traditional non-participating limited premium payment whole life plan, we protect you with 2x the coverage from policy year 11 to the end of policy year of age 61 (next birthday) to ensure that you and your family are financially secured should an unfortunate event happen.","Life Insurance","Bank"
"AmMetLife","Life","Reducing Term Assurance Plus","Reducing Term Assurance Plus, a traditional single premium non-participating reducing term assurance plan, where the reducing sum assured will be payable to offset the outstanding balances that you may have on your business loan in the event of death or TPD.","Life Insurance","Bank"
"AmMetLife","Investment","WealthEnrich","WealthEnrich is designed to give you a head start in crafting your personalised legacy plan. The investment-linked insurance plan provides protection against death and Total & Permanent Disability (TPD) with only a short 3-year premium payment term while rewarding you with loyalty bonuses and allowing you the flexibility of switching between funds.","Life Insurance","Bank"
"AmMetLife","Life","WealthInspire","Let time do the work for you in saving up for your life goals, all while you enjoy life protection. With 15 years of coverage for Death and Total & Permanent Disability (TPD), WealthInspire offers you Guaranteed Cash Payment of up to 12% p.a. of Initial Sum Assured as well as an increasing Guaranteed Cash Payment Booster at the end of every three years. In addition, WealthInspire comes with a hassle-free enrolment that just needs a 3-year premium payment term.","Life Insurance","Bank"
"AmMetLife","Life","WealthSecure Max","You now have the power to secure your future the hassle-free way with WealthSecure Max. This affordable non-participating plan comes with limited premium. It is an endowment plan with guaranteed cash payment designed. It is specially designed to provide protection and help you save for a brighter future.","Life Insurance","Bank"
"AmMetLife","Life","WealthSecure Smart","WealthSecure Smart is a non-participating limited premium payment endowment plan that helps you build your wealth while protecting you from the financial hardship of unforeseen events.","Life Insurance","Bank"
"AmMetLife","Life","i.Am Wealth Achiever","i.Am Wealth Achiever is designed to empower you to realize your life aspirations. With 20 years exceptional coverage against Death and Total and Permanent Disability (TPD), i.Am Wealth Achiever provides increasing Loyalty Rewards of up to 28% every 5 policy years until the 15th policy year, Maturity Benefit of 688% of your Basic Sum Assured, and a potential upside of Booster Fund. In addition, i.Am Wealth Achiever comes with guaranteed acceptance requiring only a 5-year premium payment term.","Life Insurance","Bank"
"Berjaya Sompo","Property","Home Safe Plus","Gain peace of mind with coverage on your residential building, contents and personal effects.","General Insurance","Bank"
"Berjaya Sompo","Property","Houseowner / Householder","Coverage for your building and its contents due to unforeseen events or other perils.","General Insurance","Bank"
"Berjaya Sompo","Motor","Purchase Price GAP","With PPG Insurance, your car's value will remain the same for up to 5 years in the event of total loss due to accidental damage, fire and/or theft.","General Insurance","Bank"
"Berjaya Sompo","Property","Secure Home","Most home owners have insurance to cover the building that they live in, however, they often overlook the need to cover the contents in their home.

Secure Home is an insurance plan that covers your household goods and personal effects against loss or damage by all risks, including fire, flood, lightning, theft or accidents. In addition, it also offers full theft cover.

Note : Click on ‘GET A QUOTE ONLINE’ to direct you to Berjaya Sompo Insurance Berhad website. Thereafter, CIMB Group Privacy Policy will cease to apply.
","General Insurance","Bank"
"Berjaya Sompo","Motor","Secure Motor","Enjoy comprehensive coverage for your private vehicles with enhanced coverage such as special perils for natural disaster, and many more!

 

 Note : Click on ‘GET A QUOTE ONLINE’ to direct you to Berjaya Sompo Insurance Berhad website. Thereafter, CIMB Group Privacy Policy will cease to apply.","General Insurance","Bank"
"Berjaya Sompo","Travel","Secure TravelSafe","Travel to domestic or international locations with peace of mind with COVID-19 coverage and a fully-enhanced plan from as low as RM13.


Note : Click on ‘GET A QUOTE ONLINE’ to direct you to Berjaya Sompo Insurance Berhad website. Thereafter, CIMB Group Privacy Policy will cease to apply.","General Insurance","Bank"
"Berjaya Sompo","Motor","Secure Warranty","Provides coverage against unforeseen mechanical & electrical component failures of your used vehicle.","General Insurance","Bank"
"Berjaya Sompo","H&P","Snatch Guard Plus","Snatch Guard Plus provides compensation for the loss of or damage to Personal Effects, cash loss as a result of Snatch Theft or Attempted Snatch Theft occurring within 24 hours of ATM withdrawal, hospitalisation income and bodily injury caused during the Snatch Theft or Attempted Snatch Theft.","General Insurance","Bank"
