"product_type","product_name","product_description","insurance_type"
"H&P","HealthCare Choice II Rider + HCC BoostUp II Rider","Let HealthCare Choice II Rider + HCC BoostUp II Rider protect you from unanticipated medical costs","Life Insurance"
"H&P","HealthCare Daily Cash","*No description found","Life Insurance"
"Critical Illness","HealthCare Secure","Providing up to double payout & multiple claims for added protection.","Life Insurance"
"TBD","HomeSecure-i","A single contribution reducing term takaful financing for your home loan.

Coverage up to age 60

Protects your family from eviction

Ensures your family has a home forever
","Family Takaful"
"Life, Savings/Investment","LegacySecure-i Link","A regular contribution investment-linked plan

Greater protection with additional coverage for accidental death

Gain loyalty bonus to boost coverage

No medical check-up is required up to RM 4 mil

Planning your legacy through Hibah
","Family Takaful"
"Life (credit-related)","Level Term Assurance","Pays your outstanding business loan based on level sum insured in the event of death or disability.","Life Insurance"
"Life (credit-related)","Mortgage Level Term Assurance","Give your family a peace of mind with a home complete with protection.","Life Insurance"
"Life (credit-related)","Mortgage Reducing Term Assurance","Protect your home in the event of death or Total and Permanent Disability.","Life Insurance"
"Life, Savings/Investment","Protect-i Budi","A regular family takaful plan 

Customised based on your needs

Great way to save for Hajj or Umrah needs

Perform good deeds through Waqaf

Opportunity to nominate your beneficiary through Hibah

Flexibility to make partial withdrawal
","Family Takaful"
"Life","Protect20","Protect the best years of your life with a traditional non-participating Regular Premium Term Plan.","Life Insurance"
"Life","ProtectEase","Introducing the easiest plan for you to live in total ease.","Life Insurance"
"Life","ProtectElite II","Enjoy better coverage for a secure future.","Life Insurance"
"H&P","ProtectIncome","Ease your financial burden with our hospital income plan.","Life Insurance"
"Life","ProtectLink","A plan that safeguards you and your future.","Life Insurance"
"Life","ProtectPlus","A simple protection plan that fits seamlessly to give you even more security.","Life Insurance"
"Critical Illness","ProtectPrime39","Get a financial support during treatments with this critical illness plan.","Life Insurance"
"Life","ProtectSecure","Secure your future with a plan designed to bring together the best of protection and investment benefits.","Life Insurance"
"Life","ProtectSecure Prime","Protect your family financially during your prime years should the unfortunate happen.","Life Insurance"
"Life, Savings/Investment","ProtectSecure-i Murni","A regular contribution family plan

Simplified underwriting

Great way to save for Hajj or Umrah financial needs

Perform good deeds through waqaf

Protection with financial savings

Flexibility to make partial withdrawal
","Family Takaful"
"Life (credit-related)","Reducing Term Assurance","Pays your outstanding business loan based on reducing sum insured in the event of death or disability.","Life Insurance"
"Life (credit-related)","Reducing Term Assurance Plus","Get a financial protection plan to offset against the outstanding balances that you may have on you business loan in the event of death or TPD.","Life Insurance"
"Savings/Investment","WealthEnrich","WealthEnrich is designed to give you a head start in crafting your personalised legacy plan.","Life Insurance"
"Savings/Investment","WealthInspire","Save easily towards your goals and enjoy Guaranteed Cash Payment of up to 12% p.a. of Initial Sum Assured --- available limited time only.","Life Insurance"
"Savings/Investment","WealthSecure Max","Secure your future and be protected with an endowment plan designed with guaranteed cash payment.","Life Insurance"
"Savings/Investment","WealthSecure Smart","Build your wealth while protecting yourself from financial hardship in unforeseen events with this limited premium payment endowment plan.","Life Insurance"
"Life","i-Am Protect","A pure protection term family takaful plan

Simplified underwriting

Affordable contribution

One year coverage
","Family Takaful"
"Life","i-Am Shield","A pure protection critical illness plan.

Provide protection against any one of 36 critical illnesses.

Simplified underwriting.

No medical underwriting.

Coverage up to age 55 years old.
","Family Takaful"
"Savings/Investment","i.Am Wealth Achiever","A 5-year short premium payment term savings plan that empowers you to fulfill your life aspirations while securing exceptional 20 years of protection and reaping fantastic rewards.","Life Insurance"
"Savings/Investment","i.Am Wealth Builder","i.Am Wealth Builder can assist you to build wealth, leaving a financial legacy for your loved one and protect what matters most.","Life Insurance"
"Savings/Investment","i.Am Wealth Creator","Tailored to create a lasting legacy for generations to come, this plan offers high protection to ensure financial security for your loved ones. ","Life Insurance"
"Scraped at",":","2024-08-31 16:56 +08",""
