"insurer","bank_name","product_type","product_name","insurance_type","discovered_place","status","date_discovered","date_retired"
"AIA","-","Savings","A-EnrichGold-i","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Savings","A-Enrich Wealth","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Investment","A-InvestLink","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Investment","A-Life Infinite","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Savings","A-Enrich20","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Life, Savings, Investment","A-EduAchieve 2","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Savings","A-Plus Infaq","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","H&P","AIA Travel PA Plus","General Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","H&P","Xtra Guard PA","General Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","H&P","Xtra Guard Booster","General Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","H&P","Flex PA","General Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Medical","Medi Guard","General Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","H&P","Living Care","General Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","H&P","Crime Guard","General Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","H&P","Family Shield","General Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","H&P","Child Plus","General Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","H&P","Easy Cover PA","General Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","H&P","AIA Student Accident Shield","General Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","H&P","Group Flexible Personal Accident","General Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Travel","SafeTrip","General Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","H&P","WalletSafe","General Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","H&P","A-Plus Total AccidentShield","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","H&P","A-Life Pelindung","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","H&P","A-Plus Accident ShieldExtra-i","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Home","SafeHome","General Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Home","A-Essential Home","General Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Home","AIA Fixed Rate Mortgage","General Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Motor","Family Drive","General Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Motor","Comprehensive Private Car Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Motor","Comprehensive Commercial Vehicle Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Life","Allianz UltimateLink","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Life","Allianz EverLink Signature","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Life","Allianz EverLink Plus","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Life","Power Shield","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Life","Allianz Ability Life","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Life","Allianz Kasih4All","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Life","Allianz Legacy Plus","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Life","Allianz i-EssentialCover","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Medical","Allianz Diabetic Essential","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Medical","HealthInsured","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Medical","MediAdvantage","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Medical","Allianz i-HospitalCash","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Medical","Allianz MediCure","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Critical Illness","HealthCover","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Critical Illness","HealthCover Plus","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Critical Illness","HealthCover Enhancer","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Critical Illness","Allianz i-Cancer Care","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Critical Illness","Prime Care+","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Critical Illness","PreciousCover and BabyCover","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Critical Illness","Lady Guard","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","H&P","Allianz Lifestyle Protect","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","H&P","ATM Shield","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","H&P","Premier PA Plus","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","H&P","Allianz Shield Plus","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","H&P","Allianz Motorcyclist Personal Accident","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","H&P","Allianz Student Personal Accident","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","H&P","Personal Accident","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","H&P","Special Occupation Personal Accident","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","H&P","Drive Smart Shield","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","H&P","PerlindunganKu Allianz4All","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Critical Illness","Allianz PayorCover","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Investment","WealthCover","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Life, Critical Illness","Allianz SecureCover / SecureCover Plus","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Savings","Prime Income","Life Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Home","Smart Home Cover","General Insurance","Insurer","Existing","29-May-24","-"
"Allianz","HSBC","Home","Smart Home Cover","General Insurance","Bank","Existing","29-May-24","-"
"Allianz","-","Home","HouseOwner & HouseHolder Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Home","Allianz KampungKu","General Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Home","Homeguard","General Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Motor","Car & Motor Comprehensive Cover","General Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Motor","Car & Motor Third Party Cover","General Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Motor","Car & Motor Third Party, Fire & Theft Cover","General Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Motor","Allianz Motorcycle Plus","General Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Motor","e-Hailing Add On","General Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Motor","Road Warrior","General Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Motor","Bike Warrior","General Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Travel","Allianz Travel Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Misc.","Domestic Servant Insurance Scheme","General Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Misc.","Golf Master","General Insurance","Insurer","Existing","29-May-24","-"
"Allianz","-","Misc.","Device Protection","General Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","Life","ProtectEase","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","Life","ProtectElite II","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","Life","ProtectSecure","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","AmBank","Life","ProtectSecure","Life Insurance","Bank","Existing","29-May-24","-"
"AmMetLife","-","Life","ProtectLink","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","Life","ProtectPlus","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","Life","Protect20","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","Life","ProtectSecure Prime","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","AmBank","Life","ProtectSecure Prime","Life Insurance","Bank","Existing","29-May-24","-"
"AmMetLife","-","Life (credit-related)","Level Term Assurance","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","Life (credit-related)","Reducing Term Assurance","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","Life (credit-related)","Reducing Term Assurance Plus","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","AmBank","Life","Reducing Term Assurance Plus","Life Insurance","Bank","Existing","29-May-24","-"
"AmMetLife","-","Life (credit-related)","Mortgage Level Term Assurance","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","AmBank","Property","Mortgage Level Term Assurance","Life Insurance","Bank","Existing","29-May-24","-"
"AmMetLife","-","Life (credit-related)","AmMetLife AutoLife","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","Life (credit-related)","Mortgage Reducing Term Assurance","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","H&P","Health Smart Rider","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","Medical","HCC BoostUp + HealthCare Choice (Stand-Alone Medical Plan)","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","Medical","ProtectIncome","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","Medical","HCC BoostUp Rider + HealthCare Choice Rider","Life Insurance","Insurer","Retired","29-May-24","11-Jun-24"
"AmMetLife","-","H&P","HealthCare Choice + HCC BoostUp","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","AmBank","Medical","HealthCare Choice + HCC BoostUp","Life Insurance","Bank","Existing","29-May-24","-"
"AmMetLife","-","Medical","HealthCare Choice II Rider + HCC BoostUp II Rider","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","Medical","HealthCare Daily Cash","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","Critical Illness","CriticalEase","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","Critical Illness","ProtectPrime39","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","Critical Illness","HealthCare Secure","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","Savings/Investment","i.Am Wealth Achiever","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","AmBank","Life","i.Am Wealth Achiever","Life Insurance","Bank","Existing","29-May-24","-"
"AmMetLife","-","Investment","i.Am Wealth Builder","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","Savings/Investment","WealthInspire","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","AmBank","Life","WealthInspire","Life Insurance","Bank","Existing","29-May-24","-"
"AmMetLife","-","Savings/Investment","WealthEnrich","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","AmBank","Life","WealthEnrich","Life Insurance","Bank","Existing","29-May-24","-"
"AmMetLife","-","Investment","AmCapital","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","-","Savings/Investment","WealthSecure Smart","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","AmBank","Life","WealthSecure Smart","Life Insurance","Bank","Existing","29-May-24","-"
"AmMetLife","-","Savings/Investment","WealthSecure Max","Life Insurance","Insurer","Existing","29-May-24","-"
"AmMetLife","AmBank","Life","WealthSecure Max","Life Insurance","Bank","Existing","29-May-24","-"
"AmMetLife","-","Life","Flexi TermLife","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Motor","Motor Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Motor","Motorcycle Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Motor","FREE EV Home Charger Coverage Campaign","General Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Motor","EV Home Charger Coverage","General Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Travel","TripCare 360 Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Travel","Travel Ezy Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Home","Houseowner and Householder Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Home","MyRumah Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Home","Etiqa Home Secure Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Misc.","PAWer Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Life","Etiqa Term Plus","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Life","i-Care OKU","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Life","Etiqa Term Secure Insurance","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Life","Ezy-Life Secure Insurance","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Life","Ezy-Secure Insurance","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Life","Etiqa Life Secure Insurance","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Life","Enrich Life Plan Insurance","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Savings","Aatifa","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Savings","Triple Growth Insurance","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Savings","Aspire Insurance","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Investment","SecureLink Insurance","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Investment","MaxiPro Insurance","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Investment","MegaPlus Insurance","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","H&P","RAHMAH PA Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","H&P","OTO 360 Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","H&P","Buddy PA Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","H&P","RiderCare PA Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","H&P","Car Accident Protection Special Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","H&P","Flexi PA Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","H&P","Mega PA Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","H&P","Cash Care PA Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Savings","Madani","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Critical Illness","Etiqa Critical Care Plus","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Medical","OneMedical","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Medical","EasyMedic","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Critical Illness","Etiqa Critical Care Insurance","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Medical","e-CancerCare Insurance","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Medical","Medical Plus Insurance","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Medical","IL Medical Plus Insurance","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Critical Illness","IL CI Plus Insurance","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Medical","IL Cancer Shield Insurance","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Critical Illness","IL Female Essential Insurance","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Life","Mortgage Reducing Term Assurance (MRTA)","Life Insurance","Insurer","Existing","29-May-24","-"
"Etiqa","-","Fire","Long Term Fire Insurance (LTFI)","General Insurance","Insurer","Existing","29-May-24","-"
"FWD","BSN","Home","BSN Home Assure","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","BSN","Life","BSN RTA","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","-","Critical Illness","Cancer Cover+","Life Insurance","Insurer","Retired","29-May-24","7-Jun-24"
"FWD","-","Savings","Cash Booster","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","-","Life","Commute Cover+","Life Insurance","Insurer","Retired","29-May-24","13-Jul-24"
"FWD","-","Life","Dengue Cover+","Life Insurance","Insurer","Retired","29-May-24","13-Jul-24"
"FWD","-","Critical Illness","FWD CI Intense Shield","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","-","Critical Illness","FWD IL CI (Accelerated)","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","-","Medical","FWD IL Hospitalisation Income Benefit","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","-","Critical Illness","FWD IL Living Extra (WOP)","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","-","Life","FWD IL PA","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","-","Life","FWD IL WOP","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","-","Critical Illness","FWD Living Extra (Premium Waiver)","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","-","Savings","FWD Max Wealth","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","-","Medical","FWD Medi First","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","-","Life","FWD Payor Enhanced (Premium Waiver)","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","-","Life, Investment","FWD WealthLink","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","-","Life, Investment","FWD WealthLink Pro","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","-","Life","GoSecure & GoSecure+","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","-","Life","PA Cover+","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","BSN","Life","Qaseh","Life Insurance","Insurer, Bank","Existing","29-May-24","-"
"FWD","BSN","H&P","Qaseh Bakti Plus","Life Insurance","Insurer, Bank","Existing","29-May-24","-"
"FWD","BSN","Investment","QasehLink Pintar","Life Insurance","Insurer, Bank","Existing","29-May-24","-"
"FWD","-","Life","i-Care","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","-","Life","i-FlexCover","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","-","Medical","i-Med","Life Insurance","Insurer","Existing","29-May-24","-"
"FWD","-","Critical Illness","i-Protect & i-Protect Plus","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Life","Great Early VantageCare 2","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Life","Great Generation Care","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Life","Great MaxiProtector","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Life","GREAT Term Direct","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Life","GREAT Treasure Gift","Life Insurance","Insurer","Retired","29-May-24","2-Aug-24"
"Great Eastern","-","Life","Great VantageCare 2","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Life","SmartProtect Junior","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Life","SmartProtect Sure","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Life","SmartProtect Wealth Max","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Life","SmartProtect Wealth Plus","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Life","SmartProtect You","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Critical Illness","GREAT Critical Care Direct","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Critical Illness","GREAT Critical Care Relief","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Medical","GREAT Health Direct","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Medical","GREAT Medic Shield 2 + GREAT Medic Million Extender 2","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Medical","GREAT Multi Cancer Care","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Baby","Smart Baby Shield Plus","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Critical Illness","Smart Critical Relief ","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Critical Illness","Smart Early Payout CriticalCare","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Medical","SmartMedic Shield + SmartMedic Shield Plus","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Critical Illness","Smart Multi Critical Care","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Savings","Great Flexi Plus","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Savings","Great Flexi Wealth","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Investment","GREAT Multi-Gen Wealth 2","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Investment","GREAT Wealth Enhancer","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Investment","SmartInvest Growth","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Investment","SmartInvest Premier","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","H&P","GreatShield Active","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","H&P","Platinum PA","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","H&P","Lady Protector","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","H&P","MOS Shield","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","H&P","Easi Shield","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","H&P","Easi-Protector","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","H&P","Junior Protector","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","H&P","Classic PA","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","H&P","Great Shield Special","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Travel","Travel For More","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Travel","Great Voyager","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Motor","Motor Insurance","General Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Home","Great Shield Home","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Home","Easi-Home","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","Home","Houseowner / Household Insurance","Life Insurance","Insurer","Existing","29-May-24","-"
"Great Eastern","-","H&P","EasiMed Major","Life Insurance","Insurer","Existing","29-May-24","-"
