"insurer","bank_name","product_type","product_name","product_description","insurance_type"
"AIA","-","H&P","AIA Platinum AccidentCare","Enjoy optimal worldwide accident coverage so you can continue enjoying the lifestyle you have built., Receive optimal worldwide coverage that offers high payouts when accidents happen, so you can continue enjoying the lifestyle you have built.","Life Insurance"
"AIA","-","Legacy","AIA Platinum Generations (II)","Protect, preserve, and grow your wealth across not just one, but up to three generations.","Life Insurance"
"AIA","-","Savings","AIA Platinum Gift for Life Series","Enjoy and pass on the fruits of your success with AIA Platinum Gift for Life series (AIA Platinum Gift for Life Plus and AIA Platinum Gift for Life Plus (II)) that are specially designed to supplement the lives of three generations.","Life Insurance"
"AIA","-","H&P, Medical","AIA Platinum Health","​​Safeguard your health and assets with a comprehensive medical insurance plan​ ​that covers​ hospitalisation and ​surgery​ ​for life​., As a jet-setting professional, you can enjoy comprehensive hospitalisation and surgical coverage anytime, anywhere.","Life Insurance"
"AIA","-","Legacy","AIA Platinum Heritage Wealth (II)","​Protect everything you've worked for with a​ whole life plan ​that generates​ stable wealth growth​ to create your own lasting legacy.​​","Life Insurance"
"AIA","-","Legacy","AIA Platinum Indexed Legacy","Experience stability & unlock higher growth with a fixed account & internationally recognized index.","Life Insurance"
"AIA","-","Savings","AIA Platinum Infinite Wealth","Your wealth is a powerful legacy. Grow and share it across generations with infinite possibilities through flexibility.","Life Insurance"
"AIA","-","Legacy","AIA Platinum Legacy (IX)","Enhance your financial assets and transfer your estate the way you wish with a legacy plan that empowers your children to build on your success","Life Insurance"
"AIA","-","Investment, Savings","AIA Platinum Retirement Elite","A retirement plan expertly crafted for you.","Life Insurance"
"AIA","-","Investment, Legacy","AIA Platinum Wealth Elite","A first-in-market, bespoke wealth solution that lets you tap on world-class institutional asset managers to help achieve your wealth creation goals., A bespoke wealth solution that lets you tap on world-class institutional asset managers to help achieve your wealth creation goals.","Life Insurance"
"AIA","-","Investment, Legacy","AIA Platinum Wealth Legacy","​​Enjoy​ the ideal balance ​of​ wealth accumulation and guaranteed long-term security for ​​​your ​family regardless of ​how the markets perform​.","Life Insurance"
"AIA","-","Investment, Savings","AIA Platinum Wealth Venture","Stay agile with regular dividends as you grow your wealth","Life Insurance"
"AIA","-","Disability","AIA Premier Disability Cover","Secure your family's finances with a disability insurance that ensures an ongoing income if you ever become unable to work. ​","Life Insurance"
"AIA","-","H&P","AIA Prime Assured","​​With worldwide personal accident insurance, you can enjoy your golden years with the peace of mind you deserve​​.​","Life Insurance"
"AIA","-","Critical Illness","AIA Prime Critical Cover","​​​Get ​easy access to affordable and comprehensive ​critical illness ​insurance ​coverage ​up to age 100​.","Life Insurance"
"AIA","-","Investment","AIA Pro Achiever 3.0","Achieve higher growth with regular bonuses and 100% of your premiums invested from day one.​","Life Insurance"
"AIA","-","Life, Investment","AIA Pro Lifetime Protector (II)","Get a protection and investment plan shaped to your family's needs, with coverage against death, disability and multi-stage critical illnesses.","Life Insurance"
"AIA","-","Savings","AIA Retirement Saver (IV)","Take charge of retirement planning with a retirement insurance plan that helps you live your desired lifestyle with no medical check-up required.","Life Insurance"
"AIA","-","Life","AIA Secure Flexi Term","Safeguard your loved ones' future with an affordable and flexible term life insurance plan that's just right for your needs.","Life Insurance"
"AIA","-","Savings","AIA Smart Flexi Growth","​​Set​ aside a fixed amount regularly​ and enjoy flexible premium and coverage period options with a smart savings plan that builds towards the future you have in mind.","Life Insurance"
"AIA","-","Savings","AIA Smart Flexi Rewards (II)","​​Build a flexible​ ​savings ​plan according to ​your preferred savings timeline,​ payment and coverage period,​ with the option to withdraw or accumulate the yearly guaranteed coupon.​","Life Insurance"
"AIA","-","Savings","AIA Smart Goal 10","Enjoy competitive potential returns for 10 years with only 3 years of premium payments, so you can accelerate your savings.","Life Insurance"
"AIA","-","Savings","AIA Smart Wealth Builder Series","​​​​Tap into a​ series of savings plan​s​ ​​​aimed at wealth accumulation,​ ​​​with​ the flexibility to withdraw ​​funds to support your goals.","Life Insurance"
"AIA","-","H&P","AIA Solitaire PA (II)","Enjoy 24/7 worldwide coverage for personal accidents, dengue fever, medical and TCM treatment costs, food poisoning and more from as low as S$0.62 a day.","Life Insurance"
"AIA","-","H&P","AIA Star Protector Plus","Give your child worldwide protection against accidental injuries and burns, as well as coverage for 16 common diseases.","Life Insurance"
"AIA","-","Critical Illness","AIA Ultimate Critical Cover","Stay resilient with unlimited critical illness claims and 100% coverage reset to recover financially.","Life Insurance"
"AIA","-","Life","DIRECT - AIA Term Cover","​​Secure cost-effective protection for your family with a Direct Purchase term life insurance plan that offers high coverage at low premiums.​​ ​","Life Insurance"
"AIA","-","Life","DIRECT - AIA Whole Life Cover (II)","​​Protect yourself with an affordable whole life insurance plan that provides coverage​ up to the age of 100 ​with ​stable long-term returns​.​","Life Insurance"
"","","Scraped at",":","2024-09-01 17:10 +08",""
