"product_type","product_name","product_description","insurance_type"
"H&P","LifeSecure ","Key benefits
Choices of plan types that suit your medical needs and budget
Cover up to 95% † of your hospitalisation bills for life
Minimise financial outlay for your recovery with post-hospitalisation treatment coverage
Be protected with comprehensive cancer coverage across our plans
Enjoy Health Connect benefits as a GREAT SupremeHealth customer Key benefits
Supplement up to 75% of your income with monthly benefits1
Receive partial monthly benefits5upon returning to work
Peace of mind with additional rehabilitation expenses6 support","Life Insurance"
"H&P","PA Supreme ","Safeguard your child against accidents wherever they are Tailor-made personal accident protection","Life Insurance"
"H&P","Pay Assure ","Critical illness coverage that continues over and over again Prestige Global Health Options","Life Insurance"
"H&P","Prestige Global Health Options ","Key benefits
100% payout for every critical illness claim
Coverage continues over and over again, even after the first critical illness claim
Flexibility in choice of coverage Key benefits
Global access for your medical needs
Create your plan in 4 easy steps
Rely on our experience to deliver quality Secure your investment potential with versatility on fund choices Key benefits
Enjoy up to S$3.5 million coverage against accidents
Medical Expense Reimbursement up to S$20,000 for each & every Accident
Assurance of 24-hour emergency assistance1, worldwide
Worldwide protection that covers terrorism3
Enjoy guaranteed renewability and 5% renewal discount","Life Insurance"
"Life","Prestige Harvest ","Key benefits
High lifetime protection of up to 20 times2
Flexibility to enjoy potential returns of your investment
Luxury of customisable solution
Non-lapse privilege4 Be covered over and over against critical illness Key benefits
One-time commitment for a lifetime of payouts and a lasting legacy
Enjoy early payouts in your choice of currency
Your choice for a potentially higher inheritance amount
Support your changing financial needs Your guardian in life’s unpredictable moments","Life Insurance"
"Life","Prestige Legacy Advantage ","Secure your future with up to a lifetime of coverage Key benefits
Lifetime coverage that increases as you age
Multiply your coverage to suit your protection needs
Choice of premium terms to align to your financial needs
Receive more cash payouts for critical illnesses and medical conditions Grow the value of your legacy beyond the ordinary Key benefits
Enhance your wealth
Distribute your wealth according to your wishes
Protect your business
Flexibility to meet your needs","Life Insurance"
"Life","Prestige Life Gold (SGD/USD) ","Leave a lasting legacy. Enjoy your golden years. Key benefits
Enjoy high protection with certainty
Make the best choices at the right time
Maintain liquidity and financial flexibility Leave a lasting legacy. Enjoy your golden years. Key benefits
Enjoy high protection with certainty
Make the best choices at the right time
Maintain liquidity and financial flexibility","Life Insurance"
"Investment","Prestige Life Rewards Series ","Live out your retirement dream with a guaranteed income stream Key benefits
Receive multiplied returns of up to 8X or more1 of the total premiums paid
Build your legacy to support future generations
Enjoy the financial flexibility to fund life’s milestones
Get more out of your retirement planning with the SRS Key benefits
High lifetime protection of up to 20 times2
Flexibility to enjoy potential returns of your investment
Luxury of customisable solution
Non-lapse privilege4 Prestige Global Health Options","Life Insurance"
"H&P","Prestige PACare ","Key benefits
Up to 300% payout and up to S$200 daily hospital cash benefit
Comprehensive post-accident benefits
Payouts of up to S$25,000 for fractures, dislocations or burns
Get 25% off premiums on 2nd life assured Key benefits
Enjoy up to S$3.5 million coverage against accidents
Medical Expense Reimbursement up to S$20,000 for each & every Accident
Assurance of 24-hour emergency assistance1, worldwide
Worldwide protection that covers terrorism3
Enjoy guaranteed renewability and 5% renewal discount Key benefits
Achieve wealth accumulation goals with a versatile plan
Adjust your portfolio according to your changing needs
Invest in a future of potentially greater returns Protection for a lifetime, a legacy for generations","Life Insurance"
"Investment","Prestige Portfolio ","Exclusively for selected customers with maturity proceeds, you can now enjoy returns every month on your savings* Key benefits
Invest with cash or funds from your CPFIS or SRS the way you want
No lock-ins, cashflow is under your control
Customise your investment portfolio anytime Build a lasting legacy of generational wealth Key benefits
Global access for your medical needs
Create your plan in 4 easy steps
Rely on our experience to deliver quality","Life Insurance"
"Travel","TravelSmart Premier ","Greater assurance with extended coverage for COVID-19 Key benefits
Extended coverage for travel inconveniences due to COVID-19
Comprehensive worldwide protection with extensive medical coverage
Protect against unexpected travel cancellation and inconveniences
Complimentary benefits at no extra premium2","General Insurance"
"Scraped at",":","2024-08-18 17:08 +08",""
