"company","product_type","product_name","status","date_discovered","date_retired"
"AIA","CRITICAL ILLNESS PROTECTION","Insure360 (Critical Illness)","New","29-May-2024","-"
"AIA","MEDICAL PROTECTION","Insure360 (Medical)","New","29-May-2024","-"
"AIA","CRITICAL ILLNESS PROTECTION","A-Plus Beyond Critical Shield & A-Plus Beyond Early Critical Shield","New","29-May-2024","-"
"AIA","CRITICAL ILLNESS PROTECTION","A-Plus Beyond Critical Shield-i & A-Plus Beyond Early Critical Shield-i","New","29-May-2024","-"
"AIA","CRITICAL ILLNESS PROTECTION","A-Plus CriticalCare","New","29-May-2024","-"
"AIA","CRITICAL ILLNESS PROTECTION","A-Plus CriticalCare-i","New","29-May-2024","-"
"AIA","MEDICAL PROTECTION","A-Plus Recover","New","29-May-2024","-"
"AIA","CRITICAL ILLNESS PROTECTION","A-Plus Multi CriticalCare","New","29-May-2024","-"
"AIA","MEDICAL PROTECTION","A-Plus Recover-i","New","29-May-2024","-"
"AIA","LIFE PROTECTION","A-Plus ParentCare Xtra","New","29-May-2024","-"
"AIA","LIFE PROTECTION","A-Plus ParentCare Xtra-i","New","29-May-2024","-"
"AIA","MEDICAL PROTECTION","A-Plus BabyCare Xtra","New","29-May-2024","-"
"AIA","MEDICAL PROTECTION","A-Plus BabyCare Xtra-i","New","29-May-2024","-"
"AIA","CRITICAL ILLNESS PROTECTION","A-Plus Critical Shield-i","New","29-May-2024","-"
"AIA","MEDICAL PROTECTION","A-Plus MedCare","New","29-May-2024","-"
"AIA","CRITICAL ILLNESS PROTECTION","A-Plus Beyond Advance Care","New","29-May-2024","-"
"AIA","WEALTH & LEGACY PLANNING","A-Life Wealth Builder","New","29-May-2024","-"
"AIA","WEALTH & LEGACY PLANNING","A-Life Legasi Beyond","New","29-May-2024","-"
"AIA","WEALTH & LEGACY PLANNING","A-Life Wealth Venture","New","29-May-2024","-"
"AIA","CHILD'S SAVINGS PLANNING","A-Life Wealth Treasure","New","29-May-2024","-"
"AIA","WEALTH & LEGACY PLANNING","A-Life Sejuta Makna","New","29-May-2024","-"
"AIA","WEALTH & LEGACY PLANNING","A-Life Wealth Premier","New","29-May-2024","-"
"AIA","INVESTMENT & SAVINGS","A-Enrich Rezeki","New","29-May-2024","-"
"AIA","INVESTMENT & SAVINGS","A-EnrichGold","New","29-May-2024","-"
"AIA","INVESTMENT & SAVINGS","A-EnrichGold-i","New","29-May-2024","-"
"AIA","INVESTMENT & SAVINGS","A-Enrich Wealth","New","29-May-2024","-"
"AIA","INVESTMENT & SAVINGS","A-InvestLink","New","29-May-2024","-"
"AIA","WEALTH & LEGACY PLANNING","A-Life Infinite","New","29-May-2024","-"
"AIA","INVESTMENT & SAVINGS","A-Enrich20","New","29-May-2024","-"
"AIA","CHILD'S SAVINGS PLANNING","A-EduAchieve 2","New","29-May-2024","-"
"AIA","WEALTH & LEGACY PLANNING","A-Plus Infaq","New","29-May-2024","-"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","AIA Travel PA Plus","New","29-May-2024","-"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","Xtra Guard PA","New","29-May-2024","-"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","Xtra Guard Booster","New","29-May-2024","-"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","Flex PA","New","29-May-2024","-"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","Medical Enhancer","New","29-May-2024","-"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","Living Protector","New","29-May-2024","-"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","Crime Guard","New","29-May-2024","-"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","Family Shield","New","29-May-2024","-"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","Child Plus","New","29-May-2024","-"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","Easy Cover PA","New","29-May-2024","-"
"AIA","GROUP PERSONAL ACCIDENT","AIA Student Accident Shield","New","29-May-2024","-"
"AIA","GROUP PERSONAL ACCIDENT","Group Flexible Personal Accident","New","29-May-2024","-"
"AIA","ACCIDENT PROTECTION","SafeTrip","New","29-May-2024","-"
"AIA","ACCIDENT PROTECTION","WalletSafe","New","29-May-2024","-"
"AIA","ACCIDENT PROTECTION","A-Plus Total AccidentShield","New","29-May-2024","-"
"AIA","ACCIDENT PROTECTION","A-Life Pelindung","New","29-May-2024","-"
"AIA","ACCIDENT PROTECTION","A-Plus Accident ShieldExtra-i","New","29-May-2024","-"
"AIA","HOME PROTECTION","SafeHome","New","29-May-2024","-"
"AIA","HOME PROTECTION","A-Essential Home","New","29-May-2024","-"
"AIA","HOME PROTECTION","AIA Fixed Rate Mortgage","New","29-May-2024","-"
"AIA","MOTOR INSURANCE","Family Drive","New","29-May-2024","-"
"AIA","MOTOR INSURANCE","Comprehensive Private Car Insurance","New","29-May-2024","-"
"AIA","MOTOR INSURANCE","Comprehensive Commercial Vehicle Insurance","New","29-May-2024","-"
"Allianz","Life Protection","Allianz UltimateLink","New","29-May-2024","-"
"Allianz","Life Protection","Allianz EverLink Signature","New","29-May-2024","-"
"Allianz","Life Protection","Allianz EverLink Plus","New","29-May-2024","-"
"Allianz","Life Protection","Power Shield","New","29-May-2024","-"
"Allianz","Life Protection","Allianz Ability Life","New","29-May-2024","-"
"Allianz","Life Protection","Allianz Kasih4All","New","29-May-2024","-"
"Allianz","Life Protection","Allianz Legacy Plus","New","29-May-2024","-"
"Allianz","Life Protection","Allianz i-EssentialCover","New","29-May-2024","-"
"Allianz","Medical & Hospitalisation","Allianz Diabetic Essential","New","29-May-2024","-"
"Allianz","Medical & Hospitalisation","HealthInsured","New","29-May-2024","-"
"Allianz","Medical & Hospitalisation","MediAdvantage","New","29-May-2024","-"
"Allianz","Medical & Hospitalisation","Allianz i-HospitalCash","New","29-May-2024","-"
"Allianz","Medical & Hospitalisation","Allianz MediCure","New","29-May-2024","-"
"Allianz","Critical Illness","HealthCover","New","29-May-2024","-"
"Allianz","Critical Illness","HealthCover Plus","New","29-May-2024","-"
"Allianz","Critical Illness","HealthCover Enhancer","New","29-May-2024","-"
"Allianz","Critical Illness","Allianz i-Cancer Care","New","29-May-2024","-"
"Allianz","Critical Illness","Prime Care+
","New","29-May-2024","-"
"Allianz","Critical Illness","PreciousCover and BabyCover","New","29-May-2024","-"
"Allianz","Critical Illness","Lady Guard","New","29-May-2024","-"
"Allianz","Personal Accident","Allianz Lifestyle Protect","New","29-May-2024","-"
"Allianz","Personal Accident","ATM Shield","New","29-May-2024","-"
"Allianz","Personal Accident","Premier PA Plus","New","29-May-2024","-"
"Allianz","Personal Accident","Allianz Shield Plus
 ","New","29-May-2024","-"
"Allianz","Personal Accident","Allianz Motorcyclist Personal Accident","New","29-May-2024","-"
"Allianz","Personal Accident","Allianz Student Personal Accident","New","29-May-2024","-"
"Allianz","Personal Accident","Personal Accident
 ","New","29-May-2024","-"
"Allianz","Personal Accident","Special Occupation Personal Accident","New","29-May-2024","-"
"Allianz","Personal Accident","Drive Smart Shield
 ","New","29-May-2024","-"
"Allianz","Personal Accident","PerlindunganKu Allianz4All","New","29-May-2024","-"
"Allianz","Savings, Investments & Waivers","Allianz PayorCover","New","29-May-2024","-"
"Allianz","Savings, Investments & Waivers","WealthCover
 ","New","29-May-2024","-"
"Allianz","Savings, Investments & Waivers","Allianz SecureCover / SecureCover Plus","New","29-May-2024","-"
"Allianz","Savings, Investments & Waivers","Prime Income
 ","New","29-May-2024","-"
"Allianz","Home","Smart Home Cover
 ","New","29-May-2024","-"
"Allianz","Home","HouseOwner & HouseHolder Insurance","New","29-May-2024","-"
"Allianz","Home","Allianz KampungKu
 ","New","29-May-2024","-"
"Allianz","Home","Homeguard","New","29-May-2024","-"
"Allianz","Car & Motorcycle","Car & Motor Comprehensive Cover","New","29-May-2024","-"
"Allianz","Car & Motorcycle","Car & Motor Third Party
Cover
","New","29-May-2024","-"
"Allianz","Car & Motorcycle","Car & Motor Third Party, Fire & Theft Cover","New","29-May-2024","-"
"Allianz","Car & Motorcycle","Allianz Motorcycle Plus","New","29-May-2024","-"
"Allianz","Car & Motorcycle","e-Hailing Add On","New","29-May-2024","-"
"Allianz","Roadside Assistance","Road Warrior ","New","29-May-2024","-"
"Allianz","Roadside Assistance","Bike Warrior ","New","29-May-2024","-"
"Allianz","Travel Insurance","Allianz Travel Insurance","New","29-May-2024","-"
"Allianz","Living","Domestic Servant Insurance Scheme","New","29-May-2024","-"
"Allianz","Living","Golf Master
 ","New","29-May-2024","-"
"Allianz","Living","Allianz Lifestyle Protect
 ","New","29-May-2024","-"
"Allianz","Living","Device Protection","New","29-May-2024","-"
"AmMetLife","Family, Protection","ProtectEase","New","29-May-2024","-"
"AmMetLife","Family, Protection","ProtectElite II","New","29-May-2024","-"
"AmMetLife","Family, Protection","ProtectSecure","New","29-May-2024","-"
"AmMetLife","Family, Protection","ProtectLink","New","29-May-2024","-"
"AmMetLife","Family, Protection","ProtectPlus","New","29-May-2024","-"
"AmMetLife","Family, Protection","Protect20","New","29-May-2024","-"
"AmMetLife","Family, Protection","ProtectSecure Prime","New","29-May-2024","-"
"AmMetLife","Family, Credit-related","Level Term Assurance","New","29-May-2024","-"
"AmMetLife","Family, Credit-related","Reducing Term Assurance","New","29-May-2024","-"
"AmMetLife","Family, Credit-related","Reducing Term Assurance Plus","New","29-May-2024","-"
"AmMetLife","Family, Credit-related","Mortgage Level Term Assurance","New","29-May-2024","-"
"AmMetLife","Family, Credit-related","AmMetLife AutoLife","New","29-May-2024","-"
"AmMetLife","Family, Credit-related","Mortgage Reducing Term Assurance","New","29-May-2024","-"
"AmMetLife","Health, Hospitalisation (Agency)","Health Smart Rider","New","29-May-2024","-"
"AmMetLife","Health, Hospitalisation (Agency)","HCC BoostUp + HealthCare Choice (Stand-Alone Medical Plan)","New","29-May-2024","-"
"AmMetLife","Health, Hospitalisation (Agency)","ProtectIncome","New","29-May-2024","-"
"AmMetLife","Health, Hospitalisation (Agency)","HCC BoostUp Rider + HealthCare Choice Rider","New","29-May-2024","-"
"AmMetLife","Health, Hospitalisation (Banca)","HealthCare Choice + HCC BoostUp","New","29-May-2024","-"
"AmMetLife","Health, Hospitalisation (Banca)","HealthCare Choice II Rider + HCC BoostUp II Rider","New","29-May-2024","-"
"AmMetLife","Health, Hospitalisation (Banca)","HealthCare Daily Cash","New","29-May-2024","-"
"AmMetLife","Health, Critical Illness","CriticalEase","New","29-May-2024","-"
"AmMetLife","Health, Critical Illness","ProtectPrime39","New","29-May-2024","-"
"AmMetLife","Health, Critical Illness","HealthCare Secure","New","29-May-2024","-"
"AmMetLife","Future, Wealth","i.Am Wealth Achiever","New","29-May-2024","-"
"AmMetLife","Future, Wealth","i.Am Wealth Builder","New","29-May-2024","-"
"AmMetLife","Future, Wealth","WealthInspire","New","29-May-2024","-"
"AmMetLife","Future, Wealth","WealthEnrich","New","29-May-2024","-"
"AmMetLife","Future, Wealth","AmCapital","New","29-May-2024","-"
"AmMetLife","Future, Wealth","WealthSecure Smart","New","29-May-2024","-"
"AmMetLife","Future, Wealth","WealthSecure Max","New","29-May-2024","-"
"AmMetLife","Future, Others","Flexi TermLife","New","29-May-2024","-"
"Etiqa","Car","Motor Insurance","New","29-May-2024","-"
"Etiqa","Motorcycle","Motorcycle Insurance","New","29-May-2024","-"
"Etiqa","Car EV","FREE EV Home Charger Coverage Campaign","New","29-May-2024","-"
"Etiqa","Car EV","EV Home Charger Coverage","New","29-May-2024","-"
"Etiqa","Travel","TripCare 360 Insurance","New","29-May-2024","-"
"Etiqa","Travel","Travel Ezy Insurance","New","29-May-2024","-"
"Etiqa","Home","Houseowner and Householder Insurance","New","29-May-2024","-"
"Etiqa","Home","MyRumah Insurance","New","29-May-2024","-"
"Etiqa","Home","Etiqa Home Secure Insurance","New","29-May-2024","-"
"Etiqa","Pets","PAWer Insurance","New","29-May-2024","-"
"Etiqa","Life and Family","Etiqa Term Plus","New","29-May-2024","-"
"Etiqa","Life and Family","i-Care OKU","New","29-May-2024","-"
"Etiqa","Life and Family","Etiqa Term Secure Insurance","New","29-May-2024","-"
"Etiqa","Life and Family","Ezy-Life Secure Insurance","New","29-May-2024","-"
"Etiqa","Life and Family","Ezy-Secure Insurance","New","29-May-2024","-"
"Etiqa","Life and Family","Etiqa Life Secure Insurance","New","29-May-2024","-"
"Etiqa","Life and Family","Enrich Life Plan Insurance","New","29-May-2024","-"
"Etiqa","Savings","Aatifa","New","29-May-2024","-"
"Etiqa","Savings","Triple Growth Insurance","New","29-May-2024","-"
"Etiqa","Savings","Aspire Insurance","New","29-May-2024","-"
"Etiqa","Investment","SecureLink Insurance","New","29-May-2024","-"
"Etiqa","Investment","MaxiPro Insurance","New","29-May-2024","-"
"Etiqa","Investment","MegaPlus Insurance","New","29-May-2024","-"
"Etiqa","Personal Accident","RAHMAH PA Insurance","New","29-May-2024","-"
"Etiqa","Personal Accident","OTO 360 Insurance","New","29-May-2024","-"
"Etiqa","Personal Accident","Buddy PA Insurance","New","29-May-2024","-"
"Etiqa","Personal Accident","RiderCare PA Insurance","New","29-May-2024","-"
"Etiqa","Personal Accident","Car Accident Protection Special Insurance","New","29-May-2024","-"
"Etiqa","Personal Accident","Flexi PA Insurance","New","29-May-2024","-"
"Etiqa","Personal Accident","Mega PA Insurance","New","29-May-2024","-"
"Etiqa","Personal Accident","Cash Care PA Insurance","New","29-May-2024","-"
"Etiqa","Education","Aspire Insurance","New","29-May-2024","-"
"Etiqa","Education","Madani","New","29-May-2024","-"
"Etiqa","Health","Etiqa Critical Care Plus","New","29-May-2024","-"
"Etiqa","Health","OneMedical","New","29-May-2024","-"
"Etiqa","Health","EasyMedic","New","29-May-2024","-"
"Etiqa","Health","Etiqa Critical Care Insurance","New","29-May-2024","-"
"Etiqa","Health","e-CancerCare Insurance","New","29-May-2024","-"
"Etiqa","Health","Medical Plus Insurance","New","29-May-2024","-"
"Etiqa","Health","IL Medical Plus Insurance","New","29-May-2024","-"
"Etiqa","Health","IL CI Plus Insurance","New","29-May-2024","-"
"Etiqa","Health","IL Cancer Shield Insurance","New","29-May-2024","-"
"Etiqa","Health","IL Female Essential Insurance","New","29-May-2024","-"
"Etiqa","Public Servants","Mortgage Reducing Term Assurance (MRTA)","New","29-May-2024","-"
"Etiqa","Public Servants","Long Term Fire Insurance (LTFI)","New","29-May-2024","-"
"FWD","Distribution Partners","BSN Home Assure","New","29-May-2024","-"
"FWD","Distribution Partners","BSN RTA","New","29-May-2024","-"
"FWD","Critical Illness","Cancer Cover+","New","29-May-2024","-"
"FWD","Savings & Investment","Cash Booster","New","29-May-2024","-"
"FWD","Distribution Partners","Commute Cover+","New","29-May-2024","-"
"FWD","Distribution Partners","Dengue Cover+","New","29-May-2024","-"
"FWD","Critical Illness","FWD CI Intense Shield","New","29-May-2024","-"
"FWD","Critical Illness","FWD IL CI (Accelerated)","New","29-May-2024","-"
"FWD","Medical Insurance","FWD IL Hospitalisation Income Benefit","New","29-May-2024","-"
"FWD","Critical Illness","FWD IL Living Extra (WOP)","New","29-May-2024","-"
"FWD","Life Insurance","FWD IL PA","New","29-May-2024","-"
"FWD","Life Insurance","FWD IL WOP","New","29-May-2024","-"
"FWD","Critical Illness","FWD Living Extra (Premium Waiver)","New","29-May-2024","-"
"FWD","Savings & Investment","FWD Max Wealth Campaign","New","29-May-2024","-"
"FWD","Medical Insurance","FWD Medi First","New","29-May-2024","-"
"FWD","Life Insurance","FWD Payor Enhanced (Premium Waiver)","New","29-May-2024","-"
"FWD","Life Insurance, Savings & Investment","FWD WealthLink","New","29-May-2024","-"
"FWD","Life Insurance, Savings & Investment","FWD WealthLink Pro","New","29-May-2024","-"
"FWD","Life Insurance","GoSecure & GoSecure+","New","29-May-2024","-"
"FWD","Life Insurance","PA Cover+","New","29-May-2024","-"
"FWD","Distribution Partners","Qaseh","New","29-May-2024","-"
"FWD","Distribution Partners","Qaseh Bakti Plus","New","29-May-2024","-"
"FWD","Distribution Partners","QasehLink Pintar","New","29-May-2024","-"
"FWD","Life Insurance","i-Care","New","29-May-2024","-"
"FWD","Life Insurance","i-FlexCover","New","29-May-2024","-"
"FWD","Medical Insurance","i-Med","New","29-May-2024","-"
"FWD","Critical Illness","i-Protect & i-Protect Plus","New","29-May-2024","-"
"Great Eastern","Life Insurance","Great Early VantageCare 2","New","29-May-2024","-"
"Great Eastern","Life Insurance","Great Generation Care","New","29-May-2024","-"
"Great Eastern","Life Insurance","Great MaxiProtector","New","29-May-2024","-"
"Great Eastern","Life Insurance","GREAT Term Direct","New","29-May-2024","-"
"Great Eastern","Life Insurance","GREAT Treasure Gift","New","29-May-2024","-"
"Great Eastern","Life Insurance","Great VantageCare 2","New","29-May-2024","-"
"Great Eastern","Life Insurance","SmartProtect Junior","New","29-May-2024","-"
"Great Eastern","Life Insurance","SmartProtect Sure","New","29-May-2024","-"
"Great Eastern","Life Insurance","SmartProtect Wealth Max","New","29-May-2024","-"
"Great Eastern","Life Insurance","SmartProtect Wealth Plus","New","29-May-2024","-"
"Great Eastern","Life Insurance","SmartProtect You","New","29-May-2024","-"
"Great Eastern","Health Insurance","GREAT Critical Care Direct","New","29-May-2024","-"
"Great Eastern","Health Insurance","GREAT Critical Care Relief","New","29-May-2024","-"
"Great Eastern","Health Insurance","GREAT Health Direct","New","29-May-2024","-"
"Great Eastern","Health Insurance","GREAT Medic Shield 2 + GREAT Medic Million Extender 2","New","29-May-2024","-"
"Great Eastern","Health Insurance","GREAT Multi Cancer Care","New","29-May-2024","-"
"Great Eastern","Health Insurance","Smart Baby Shield Plus","New","29-May-2024","-"
"Great Eastern","Health Insurance","Smart Critical Relief ","New","29-May-2024","-"
"Great Eastern","Health Insurance","Smart Early Payout CriticalCare","New","29-May-2024","-"
"Great Eastern","Health Insurance","SmartMedic Shield + SmartMedic Shield Plus","New","29-May-2024","-"
"Great Eastern","Health Insurance","Smart Multi Critical Care","New","29-May-2024","-"
"Great Eastern","Wealth Accumulation","Great Flexi Plus","New","29-May-2024","-"
"Great Eastern","Wealth Accumulation","Great Flexi Wealth","New","29-May-2024","-"
"Great Eastern","Wealth Accumulation","GREAT Multi-Gen Wealth 2","New","29-May-2024","-"
"Great Eastern","Wealth Accumulation","GREAT Wealth Enhancer","New","29-May-2024","-"
"Great Eastern","Wealth Accumulation","SmartInvest Growth","New","29-May-2024","-"
"Great Eastern","Wealth Accumulation","SmartInvest Premier","New","29-May-2024","-"
"Great Eastern","Personal Accident Insurance","GreatShield Active","New","29-May-2024","-"
"Great Eastern","Personal Accident Insurance","Platinum PA","New","29-May-2024","-"
"Great Eastern","Personal Accident Insurance","Lady Protector","New","29-May-2024","-"
"Great Eastern","Personal Accident Insurance","MOS Shield","New","29-May-2024","-"
"Great Eastern","Personal Accident Insurance","Easi Shield","New","29-May-2024","-"
"Great Eastern","Personal Accident Insurance","Easi-Protector","New","29-May-2024","-"
"Great Eastern","Personal Accident Insurance","Junior Protector","New","29-May-2024","-"
"Great Eastern","Personal Accident Insurance","Classic PA","New","29-May-2024","-"
"Great Eastern","Personal Accident Insurance","Great Shield Special","New","29-May-2024","-"
"Great Eastern","Travel Insurance","Travel For More","New","29-May-2024","-"
"Great Eastern","Travel Insurance","Great Voyager","New","29-May-2024","-"
"Great Eastern","Motor Insurance","Motor Insurance","New","29-May-2024","-"
"Great Eastern","Home Insurance","Great Shield Home","New","29-May-2024","-"
"Great Eastern","Home Insurance","Easi-Home","New","29-May-2024","-"
"Great Eastern","Home Insurance","Houseowner / Household Insurance","New","29-May-2024","-"
"Great Eastern","Hospital & Surgical Insurance","EasiMed Major","New","29-May-2024","-"
"Great Eastern","Hospital & Surgical Insurance","Easi HealthCare","New","29-May-2024","-"
"Great Eastern","Hospital & Surgical Insurance","EasiMed Active","New","29-May-2024","-"
"Great Eastern","Sports Insurance","Easi-Golf","New","29-May-2024","-"
"Great Eastern","Other Insurance","Food Stall Insurance","New","29-May-2024","-"
"Generali","Health insurance","Medic Essential Rider","New","29-May-2024","-"
"Generali","Health insurance","eMedic Plus","New","29-May-2024","-"
"Generali","Health insurance","SmartCare Optimum Plus","New","29-May-2024","-"
"Generali","Health insurance","Multi Medic","New","29-May-2024","-"
"Generali","Health insurance","Multi Medi-Plus","New","29-May-2024","-"
"Generali","Health insurance","Multi Medical-Protector","New","29-May-2024","-"
"Generali","Health insurance","Medic 101","New","29-May-2024","-"
"Generali","Motor & home","Private Car Insurance & Available Add Ons","New","29-May-2024","-"
"Generali","Motor & home","Motorcycle","New","29-May-2024","-"
"Generali","Motor & home","SmartHome Optimum (Enhanced)","New","29-May-2024","-"
"Generali","Motor & home","Home Protector Enhanced","New","29-May-2024","-"
"Generali","SAVINGS & LIFE PROTECTION","Wealth Creator","New","29-May-2024","-"
"Generali","SAVINGS & LIFE PROTECTION","Life 80","New","29-May-2024","-"
"Generali","SAVINGS & LIFE PROTECTION","Secure Shield","New","29-May-2024","-"
"Generali","SAVINGS & LIFE PROTECTION","Wealth Protect Assure 2","New","29-May-2024","-"
"Generali","SAVINGS & LIFE PROTECTION","eLife Protector+","New","29-May-2024","-"
"Generali","SAVINGS & LIFE PROTECTION","eSaver","New","29-May-2024","-"
"Generali","Travel & Personal Accident","Oversea Travel Insurance","New","29-May-2024","-"
"Generali","Travel & Personal Accident","Domestic Travel Insurance","New","29-May-2024","-"
"Generali","Travel & Personal Accident","SmartBusiness Traveller","New","29-May-2024","-"
"Generali","Travel & Personal Accident","SmartCare VIP","New","29-May-2024","-"
"Generali","Travel & Personal Accident","SmartPA Enhanced","New","29-May-2024","-"
"Generali","Travel & Personal Accident","The Gladiator Enhanced","New","29-May-2024","-"
"Generali","Travel & Personal Accident","Multi PA Protector","New","29-May-2024","-"
"Generali","Travel & Personal Accident","Multi Lucky","New","29-May-2024","-"
"Generali","Health insurance","110 CI Assure","New","29-May-2024","-"
"Generali","Health insurance","360 Cancer Assure","New","29-May-2024","-"
"Generali","Health insurance","CritiCover","New","29-May-2024","-"
"Generali","Health insurance","InternationalExclusive","New","29-May-2024","-"
"Generali","Health insurance","OneMedic Elite","New","29-May-2024","-"
"Generali","Health insurance","OneMedic Lite","New","29-May-2024","-"
"Generali","Health insurance","SmartCancer Cash","New","29-May-2024","-"
"Generali","Health insurance","eCritical Early Care","New","29-May-2024","-"
"Hong Leong Assurance","Life Protection","HLA CompleteCover","New","29-May-2024","-"
"Hong Leong Assurance","Life Protection","HLA Asset Elite","New","29-May-2024","-"
"Hong Leong Assurance","Life Protection","HLA Asset Master","New","29-May-2024","-"
"Hong Leong Assurance","Savings & Wealth Planning","HLA Wealth Booster Plus","New","29-May-2024","-"
"Hong Leong Assurance","Savings & Wealth Planning","HLA Wealth Invest","New","29-May-2024","-"
"Hong Leong Assurance","Savings & Wealth Planning","HLA Wealth Gain Plus","New","29-May-2024","-"
"Hong Leong Assurance","Health & Medical Protection","HLA Premier HB","New","29-May-2024","-"
"Hong Leong Assurance","Health & Medical Protection","HLA FiT CI","New","29-May-2024","-"
"Hong Leong Assurance","Health & Medical Protection","CI Shield 5","New","29-May-2024","-"
"Hong Leong Assurance","Life Protection","HLA Life Essential","New","29-May-2024","-"
"Hong Leong Assurance","Life Protection","HLA Prime Asset","New","29-May-2024","-"
"Hong Leong Assurance","Life Protection","HLA Prime Protect","New","29-May-2024","-"
"Hong Leong Assurance","Life Protection","HLA Prime Protect Gold","New","29-May-2024","-"
"Hong Leong Assurance","Life Protection","HLA Prime Protect Plus","New","29-May-2024","-"
"Hong Leong Assurance","Life Protection","HLA Vital Secure","New","29-May-2024","-"
"Hong Leong Assurance","Life Protection","Secure100","New","29-May-2024","-"
"Hong Leong Assurance","Life Protection","HLA Stackable","New","29-May-2024","-"
"Hong Leong Assurance","Life Protection","HLA Stackable (Package Plans)","New","29-May-2024","-"
"Hong Leong Assurance","Life Protection","Term Cover 10","New","29-May-2024","-"
"Hong Leong Assurance","Life Protection","Total Cover Package","New","29-May-2024","-"
"Hong Leong Assurance","Life Protection","HLA Beyond Cancer Plan","New","29-May-2024","-"
"Hong Leong Assurance","Health & Medical Protection","HLA FiT 3 Medi‑Income","New","29-May-2024","-"
"Hong Leong Assurance","Health & Medical Protection","HLA MediShield III Rider","New","29-May-2024","-"
"Hong Leong Assurance","Health & Medical Protection","180 CI Care Rider","New","29-May-2024","-"
"Hong Leong Assurance","Health & Medical Protection","Junior CI Care","New","29-May-2024","-"
"Hong Leong Assurance","Health & Medical Protection","Cancer Shield Care","New","29-May-2024","-"
"Hong Leong Assurance","Health & Medical Protection","Hospital Shield Plus","New","29-May-2024","-"
"Hong Leong Assurance","Health & Medical Protection","Hospitalisation Income Shield","New","29-May-2024","-"
"Hong Leong Assurance","Health & Medical Protection","Congenital Care Rider","New","29-May-2024","-"
"Hong Leong Assurance","Health & Medical Protection","Lady Shield Rider","New","29-May-2024","-"
"Hong Leong Assurance","Savings & Wealth Planning","HLA Venture Invest II","New","29-May-2024","-"
"Hong Leong Assurance","Savings & Wealth Planning","HLA Wealth Grow Plus","New","29-May-2024","-"
"Hong Leong Assurance","Accident Protection","HLA Festive Protect","New","29-May-2024","-"
"Hong Leong Assurance","Accident Protection","Active Lifestyle Protector","New","29-May-2024","-"
"Hong Leong Assurance","Disability Income","HLA FiT 2 Protect","New","29-May-2024","-"
"Hong Leong Assurance","Disability Income","Disability Lump Sum Rider","New","29-May-2024","-"
"Hong Leong Assurance","Savings & Wealth Planning","HLA Prime Secure","New","29-May-2024","-"
"Manulife","Critical Illness","Advance Beyond Critical Cover *
","New","29-May-2024","-"
"Manulife","Critical Illness","Beyond Critical Cover (BCC) Series + BCC Booster *
","New","29-May-2024","-"
"Manulife","Wealth Building, Education, Retirement","Elite Income 88 **
","New","29-May-2024","-"
