"bank_name","product_type","product_name","product_description","insurance_type"
"-","Critical Illness","PRUHealth Critical Illness First Protect II","Affordable in-depth critical illness cover for your everyday life with protection against 74 disease conditions","Life Insurance"
"-","Critical Illness","PRUHealth Critical Illness Term II","Highly affordable, substantial life and critical illness protection in one plan","Life Insurance"
"-","Medical","PRUHealth FlexiChoice Medical Plan","Offer enhanced benefits and flexible options on top of VHIS Standard Plan, tax deductible premiums and guaranteed renewal for life.","Life Insurance"
"-","Critical Illness","PRUHealth Guardian Critical Illness Plan Series","Safeguard every stage of life with up to 1100% comprehensive multiple critical illness and life cover – plus all-rounded protection for your unborn child","Life Insurance"
"-","Medical","PRUHealth VHIS EasyChoice Plan","Stay in control of your plans for life with affordable private medical care and qualifying tax-deductible premiums","Life Insurance"
"-","Medical","PRUHealth VHIS VIP Plan","Provide no itemised benefit limit for key medical expenses up to HK$56,000,000 per life, tax deductible premiums and guaranteed renewal for life.","Life Insurance"
"-","Life, Legacy","PRULife Protector II","Whole life protection, retirement savings & legacy planning – for every stage of life","Life Insurance"
"-","Investment","PRULink Opal Investment Plan","","Life Insurance"
"-","Life","PRUTerm Family Protector","Flexibly safeguard your family’s finances with substantial cover at affordable premiums","Life Insurance"
"-","Savings, Legacy","PRUWealth Dream Saver","The secure way to achieve guaranteed returns in 15 years","Life Insurance"
"-","Medical","PRUhealth Secure Top-Up Plan","We supplement & reimburse 90% of eligible expenses that exceed your existing coverage.","Life Insurance"
"-","Medical","PRUhealth essential critical care","Get in-depth medical cost cover for cancer, heart attack and stroke.","Life Insurance"
"-","Medical","PRUmed lifelong care plan","Get comprehensive coverage for your medical treatment costs that lasts a lifetime.","Life Insurance"
"-","Medical","PRUmyhealth prestige medical plan","By your side with comprehensive, prestige private healthcare from prevention through to diagnosis, treatment and recovery – covering you in extensive regions","Life Insurance"
"-","Medical","PremierFlex Medical Plan","Experience medical freedom beyond boundaries with PremierFlex Medical Plan. Travel between Hong Kong, Macau, mainland China or worldwide and enjoy borderless medical support and options. The Plan takes care of your needs throughout your healthcare journey, from prevention and diagnosis to treatment and recovery.","Life Insurance"
"-","Life, Legacy","Prime Vantage Protector","Flexible whole life protection; a way to build and secure your wealth and pass it on to your loved ones – all from a single premium","Life Insurance"
"Scraped at",":","2024-08-22 16:36 +08","",""
