"Zurich","H&P","Personal Sentinel V3 Plus Takaful","General Takaful","Insurer"
"Zurich","Life","Protect All 110 EVO","Life Insurance","Insurer"
"Zurich","TBD","School Personal Accident","TBD (Conventional)","Insurer"
"Zurich","Savings","Super Wealth Plan","Life Insurance","Insurer"
"Zurich","Life","Takaful Al-Shams","Family Takaful","Insurer"
"Zurich","Life","Takaful Family Hero","Family Takaful","Insurer"
"Zurich","Savings","Takaful Mumtaz","Family Takaful","Insurer"
"Zurich","Life","Takaful ProEssential","Family Takaful","Insurer"
"Zurich","Investment","Takaful ProInvest","Family Takaful","Insurer"
"Zurich","Life","Takaful ProSecure","Family Takaful","Insurer"
"Zurich","Life","Takaful SureCover","Family Takaful","Insurer"
"Zurich","Life","Takaful Term 80","Family Takaful","Insurer"
"Zurich","Investment","Takafulink Single Invest","Family Takaful","Insurer"
"Zurich","Savings, Life","Teras Perdana","Life Insurance","Insurer"
"Zurich","Motor","Z-Drive Assist","General Insurance","Insurer"
"Zurich","Motor","Z-Drive Assist Takaful","General Takaful","Insurer"
"Zurich","Motor","Z-Driver","General Insurance","Insurer"
"Zurich","Motor","Z-Driver Takaful – Car Takaful Plan","General Takaful","Insurer"
"Zurich","TBD","Z-HomeProtect","General Insurance","Insurer"
"Zurich","TBD","Z-HomeProtect Takaful","General Takaful","Insurer"
"Zurich","TBD (H&P/CI/Medical)","Z-MedProtect","Life Insurance","Insurer"
"Zurich","Motor","Z-Rider","General Insurance","Insurer"
"Zurich","Motor","Z-Rider Takaful – Motorcycle Takaful Plan","General Takaful","Insurer"
"Zurich","Travel","Z-Travel Insurance (Domestic)","General Insurance","Insurer"
"Zurich","Travel","Z-Travel Insurance (International)","General Insurance","Insurer"
"Zurich","Life","Zurich Essential Cover","Life Insurance","Insurer"
"Zurich","Life","Zurich Everlasting Cover","Life Insurance","Insurer"
"Zurich","Savings","Zurich Favour8","Life Insurance","Insurer"
"Zurich","Savings","Zurich Favour8 Guaranteed Acceptance","Life Insurance","Insurer"
"Zurich","TBD (H&P/CI/Medical)","Zurich Infinite Care","Life Insurance","Insurer"
"Zurich","Investment","Zurich Max1nvest","Life Insurance","Insurer"
"Zurich","Life, TBD","Zurich Multi Shield","Life Insurance, TBD (Conventional)","Insurer"
"Zurich","Savings, Life, TBD","Zurich Prestige Cover","Life Insurance, TBD (Conventional)","Insurer"
"Zurich","Life","Zurich SureCover","Life Insurance","Insurer"
"Zurich","Life","Zurich TermLife","Life Insurance","Insurer"
"Zurich","Investment, Life","Zurich ValueLife","Life Insurance","Insurer"
"Zurich","Investment, Life, TBD","Zurich ValueLife Junior","Life Insurance, TBD (Conventional)","Insurer"
"Zurich","Investment, Life","Zurich ValueLife Pluz","Life Insurance","Insurer"
"Zurich","Investment, Life, TBD","Zurich ValueLife Premier","Life Insurance, TBD (Conventional)","Insurer"
"Zurich","TBD (H&P/CI/Medical)","Zurich iCare Essential","Life Insurance","Insurer"
"Zurich","TBD (H&P/CI/Medical)","Zurich iCare Medic","Life Insurance","Insurer"
