"Comparison between Results_05_2024_Week_4 and Results_05_2024_Week_5",""
"Date Produced:","29-May-2024"
"Number of New Products:","535"
"Number of Retired Products:","0"

New Products:
"company","product_type","product_name"
"FWD","Critical Illness","i-Protect & i-Protect Plus"
"Great Eastern","Life Insurance","Great Early VantageCare 2"
"Great Eastern","Life Insurance","Great Generation Care"
"Great Eastern","Life Insurance","Great MaxiProtector"
"Great Eastern","Life Insurance","GREAT Term Direct"
"Great Eastern","Life Insurance","GREAT Treasure Gift"
"Great Eastern","Life Insurance","Great VantageCare 2"
"Great Eastern","Life Insurance","SmartProtect Junior"
"Great Eastern","Life Insurance","SmartProtect Sure"
"Great Eastern","Life Insurance","SmartProtect Wealth Max"
"Great Eastern","Life Insurance","SmartProtect Wealth Plus"
"Great Eastern","Life Insurance","SmartProtect You"
"Great Eastern","Health Insurance","GREAT Critical Care Direct"
"Great Eastern","Health Insurance","GREAT Critical Care Relief"
"Great Eastern","Health Insurance","GREAT Health Direct"
"Great Eastern","Health Insurance","GREAT Medic Shield 2 + GREAT Medic Million Extender 2"
"Great Eastern","Health Insurance","GREAT Multi Cancer Care"
"Great Eastern","Health Insurance","Smart Baby Shield Plus"
"Great Eastern","Health Insurance","Smart Critical Relief "
"Great Eastern","Health Insurance","Smart Early Payout CriticalCare"
"Great Eastern","Health Insurance","SmartMedic Shield + SmartMedic Shield Plus"
"Great Eastern","Health Insurance","Smart Multi Critical Care"
"Great Eastern","Wealth Accumulation","Great Flexi Plus"
"Great Eastern","Wealth Accumulation","Great Flexi Wealth"
"Great Eastern","Wealth Accumulation","GREAT Multi-Gen Wealth 2"
"Great Eastern","Wealth Accumulation","GREAT Wealth Enhancer"
"Great Eastern","Wealth Accumulation","SmartInvest Growth"
"Great Eastern","Wealth Accumulation","SmartInvest Premier"
"Great Eastern","Personal Accident Insurance","GreatShield Active"
"Great Eastern","Personal Accident Insurance","Platinum PA"
"Great Eastern","Personal Accident Insurance","Lady Protector"
"Great Eastern","Personal Accident Insurance","MOS Shield"
"Great Eastern","Personal Accident Insurance","Easi Shield"
"Great Eastern","Personal Accident Insurance","Easi-Protector"
"Great Eastern","Personal Accident Insurance","Junior Protector"
"Great Eastern","Personal Accident Insurance","Classic PA"
"Great Eastern","Personal Accident Insurance","Great Shield Special"
"Great Eastern","Travel Insurance","Travel For More"
"Great Eastern","Travel Insurance","Great Voyager"
"Great Eastern","Motor Insurance","Motor Insurance"
"Great Eastern","Home Insurance","Great Shield Home"
"Great Eastern","Home Insurance","Easi-Home"
"Great Eastern","Home Insurance","Houseowner / Household Insurance"
"Great Eastern","Hospital & Surgical Insurance","EasiMed Major"
"Great Eastern","Hospital & Surgical Insurance","Easi HealthCare"
"Great Eastern","Hospital & Surgical Insurance","EasiMed Active"
"Great Eastern","Sports Insurance","Easi-Golf"
"Great Eastern","Other Insurance","Food Stall Insurance"
"Generali","Health insurance","Medic Essential Rider"
"Generali","Health insurance","eMedic Plus"
"Generali","Health insurance","SmartCare Optimum Plus"
"Generali","Health insurance","Multi Medic"
"Generali","Health insurance","Multi Medi-Plus"
"Generali","Health insurance","Multi Medical-Protector"
"Generali","Health insurance","Medic 101"
"Generali","Motor & home","Private Car Insurance & Available Add Ons"
"Generali","Motor & home","Motorcycle"
"Generali","Motor & home","SmartHome Optimum (Enhanced)"
"Generali","Motor & home","Home Protector Enhanced"
"Generali","SAVINGS & LIFE PROTECTION","Wealth Creator"
"Generali","SAVINGS & LIFE PROTECTION","Life 80"
"Generali","SAVINGS & LIFE PROTECTION","Secure Shield"
"Generali","SAVINGS & LIFE PROTECTION","Wealth Protect Assure 2"
"Generali","SAVINGS & LIFE PROTECTION","eLife Protector+"
"Generali","SAVINGS & LIFE PROTECTION","eSaver"
"Generali","Travel & Personal Accident","Oversea Travel Insurance"
"Generali","Travel & Personal Accident","Domestic Travel Insurance"
"Generali","Travel & Personal Accident","SmartBusiness Traveller"
"Generali","Travel & Personal Accident","SmartCare VIP"
"Generali","Travel & Personal Accident","SmartPA Enhanced"
"Generali","Travel & Personal Accident","The Gladiator Enhanced"
"Generali","Travel & Personal Accident","Multi PA Protector"
"Generali","Travel & Personal Accident","Multi Lucky"
"Generali","Health insurance","110 CI Assure"
"Generali","Health insurance","360 Cancer Assure"
"Generali","Health insurance","CritiCover"
"Generali","Health insurance","InternationalExclusive"
"Generali","Health insurance","OneMedic Elite"
"Generali","Health insurance","OneMedic Lite"
"Generali","Health insurance","SmartCancer Cash"
"Generali","Health insurance","eCritical Early Care"
"Hong Leong Assurance","Life Protection","HLA CompleteCover"
"Hong Leong Assurance","Life Protection","HLA Asset Elite"
"Hong Leong Assurance","Life Protection","HLA Asset Master"
"Hong Leong Assurance","Savings & Wealth Planning","HLA Wealth Booster Plus"
"Hong Leong Assurance","Savings & Wealth Planning","HLA Wealth Invest"
"Hong Leong Assurance","Savings & Wealth Planning","HLA Wealth Gain Plus"
"Hong Leong Assurance","Health & Medical Protection","HLA Premier HB"
"Hong Leong Assurance","Health & Medical Protection","HLA FiT CI"
"Hong Leong Assurance","Health & Medical Protection","CI Shield 5"
"Hong Leong Assurance","Life Protection","HLA Life Essential"
"Hong Leong Assurance","Life Protection","HLA Prime Asset"
"Hong Leong Assurance","Life Protection","HLA Prime Protect"
"Hong Leong Assurance","Life Protection","HLA Prime Protect Gold"
"Hong Leong Assurance","Life Protection","HLA Prime Protect Plus"
"Hong Leong Assurance","Life Protection","HLA Vital Secure"
"Hong Leong Assurance","Life Protection","Secure100"
"Hong Leong Assurance","Life Protection","HLA Stackable"
"Hong Leong Assurance","Life Protection","HLA Stackable (Package Plans)"
"Hong Leong Assurance","Life Protection","Term Cover 10"
"Hong Leong Assurance","Life Protection","Total Cover Package"
"Hong Leong Assurance","Life Protection","HLA Beyond Cancer Plan"
"Hong Leong Assurance","Health & Medical Protection","HLA FiT 3 Medi‑Income"
"Hong Leong Assurance","Health & Medical Protection","HLA MediShield III Rider"
"Hong Leong Assurance","Health & Medical Protection","180 CI Care Rider"
"Hong Leong Assurance","Health & Medical Protection","Junior CI Care"
"Hong Leong Assurance","Health & Medical Protection","Cancer Shield Care"
"Hong Leong Assurance","Health & Medical Protection","Hospital Shield Plus"
"Hong Leong Assurance","Health & Medical Protection","Hospitalisation Income Shield"
"Hong Leong Assurance","Health & Medical Protection","Congenital Care Rider"
"Hong Leong Assurance","Health & Medical Protection","Lady Shield Rider"
"Hong Leong Assurance","Savings & Wealth Planning","HLA Venture Invest II"
"Hong Leong Assurance","Savings & Wealth Planning","HLA Wealth Grow Plus"
"Hong Leong Assurance","Accident Protection","HLA Festive Protect"
"Hong Leong Assurance","Accident Protection","Active Lifestyle Protector"
"Hong Leong Assurance","Disability Income","HLA FiT 2 Protect"
"Hong Leong Assurance","Disability Income","Disability Lump Sum Rider"
"Hong Leong Assurance","Savings & Wealth Planning","HLA Prime Secure"
"Manulife","Critical Illness","Advance Beyond Critical Cover *
"
"Manulife","Critical Illness","Beyond Critical Cover (BCC) Series + BCC Booster *
"
"Manulife","Wealth Building, Education, Retirement","Elite Income 88 **
"
"Manulife","Elite Series","Elite Life Guard 2 *
"
"Manulife","Wealth Building, Education, Retirement","Elite Max 88 **
"
"Manulife","Wealth Building","Elite Smart Invest *
"
"Manulife","Legacy","EliteLife Signature Legacy *
"
"Manulife","Wealth Building, Education, Retirement","EliteLife Signature Saver **
"
"Manulife","Critical Illness","ManuEZ-CI **
"
"Manulife","Medical & Hospitalisation","ManuEZ-Med **
"
"Manulife","Investment-Linked Plan","ManuLink Essential/ManuLink Essential Plus *
"
"Manulife","Investment-Linked Plan","ManuLink Premier&nbsp;*
"
"Manulife","Investment-Linked Plan","ManuLink Wealth&nbsp;*
"
"Manulife","Life Insurance for Protection, Term Life","ManuProtect **
"
"Manulife","Savings, Retirement","ManuSecure Series **
"
"Manulife","Life Insurance for Protection, Term Life","ManuTerm **
"
"Manulife","Life Insurance for Protection, Whole life","ManuWhole Life **
"
"Manulife","Investment-Linked Plan","Manulife Asset Shield<strong>&nbsp;*</strong>
"
"Manulife","Critical Illness","Manulife Easy 5 **
"
"Manulife","Medical & Hospitalisation","Manulife Health Saver Benefit + MHSB Booster *
"
"Manulife","Medical & Hospitalisation","Manulife MediShield *
"
"Manulife","Critical Illness","Manulife Precious Gift *
"
"Manulife","Savings, Retirement","Manulife Universal Saver **
"
"Manulife","Investment-Linked Plan","Manulife Value Enhancer *
"
"Manulife","Heirloom","Signature Heirloom (VII)"
"MCIS","Life Protection","EzyProtect
"
"MCIS","Life Protection","SuperSeries
"
"MCIS","Health and Medical Protection","LadyCare
"
"MCIS","Health and Medical Protection","MaxHealth Plan
"
"MCIS","Health and Medical Protection","MYEarly CriticalAid
"
"MCIS","Savings","EduSecure
"
"MCIS","Savings","Growth Saver
"
"MCIS","Savings","MaxSaver
"
"MCIS","Savings","Wealth Multiplier
"
"MCIS","Savings","EzySaver
"
"MCIS","Investment-Linked","M-Fortune Link
"
"MCIS","Investment-Linked","PeopleLink
"
"MCIS","Investment-Linked","PrimeLink
"
"MCIS","Investment-Linked","SecureInvest
"
"MCIS","Group Insurance","Group Term Life (GTL)
"
"MCIS","Group Insurance","SME Care+
"
"MCIS","Buy Online","MyCritical Cover"
"MCIS","Buy Online","MyHospital Benefit"
"MCIS","Buy Online","MyLife Protect"
"MCIS","Buy Online","MyLifeStyle Protect"
"Prudential","Medical Insurance","PRUMillion Med"
"Prudential","Medical Insurance","PRUValue Med"
"Prudential","Critical Illness Insurance","PRUMy Critical Care"
"Prudential","Critical Illness Insurance","PRUMan & PRULady"
"Prudential","Life Insurance","PRUWith You"
"Prudential","Infant & Child Insurance","PRUMy Child Plus"
"Prudential","My First Insurance","PRUFirst"
"Prudential","Wealth Insurance","Legacy Plans"
"Prudential","Wealth Insurance","Savings & Investment Plans"
"Prudential","Wealth Insurance","Investment-linked Funds Information"
"Prudential","EPF i-Lindung","PRUCare Life"
"Prudential","EPF i-Lindung","PRUGuard Life"
"Prudential","EPF i-Lindung","PRUCare Family"
"Prudential","EPF i-Lindung","PRUGuard Family"
"Sun Life","Life Insurance, Protection","Cash Plus Assurance"
"Sun Life","Life Insurance, Protection","Credit Protector Plus"
"Sun Life","Life Insurance, Protection","GoLife"
"Sun Life","Life Insurance, Protection","GoLife Plus"
"Sun Life","Life Insurance, Protection","Group Amanah Saham Assurance"
"Sun Life","Life Insurance, Protection","Group Mortgage Level Term Assurance"
"Sun Life","Life Insurance, Protection","Group Mortgage Reducing Term Assurance"
"Sun Life","Life Insurance, Protection","Sun AutoLife"
"Sun Life","Life Insurance, Protection, Savings, Education","Sun EduSmart"
"Sun Life","Life Insurance, Protection, Investment, Retirement","Sun Income Secure Max"
"Sun Life","Life Insurance, Protection, Investment","Sun Prestige Life"
"Sun Life","Life Insurance, Savings, Investment","Sun Save Invest"
"Sun Life","Life Insurance, Savings, Retirement","Sun SaveAssured"
"Sun Life","Life Insurance, Protection, Savings, Investment, Retirement","Sun Shield Link"
"Sun Life","Life Insurance, Protection, Savings, Retirement","Sun Signature Life Plus"
"Sun Life","Life Insurance, Savings, Retirement","Sun Wealth Plus"
"Sun Life","Life Insurance, Health","Sun eCritical Shield"
"Sun Life","Life Insurance, Health","Sun eMediCare Income"
"Sun Life","Life Insurance, Protection","Sun eSsential Life"
"Sun Life","Life Insurance, Protection, Investment","SunInvest"
"Sun Life","Life Insurance, Protection, Investment","SunLink Max"
"Tokio Marine","Life","TokioMarine-iBig 2²"
"Tokio Marine","Life","TokioMarine-iMillion²"
"Tokio Marine","Life","TokioMarine-iLady²"
"Tokio Marine","Life","TokioMarine-iFlexSecure 2²"
"Tokio Marine","Life","Perlindungan Tenang TokioMarine E-ssential Tenang³"
"Tokio Marine","Life","TokioMarine-TermDefender¹"
"Tokio Marine","Life","TokioMarine-LifeTreasure¹"
"Tokio Marine","Life","Convertible Term Assurance¹"
"Tokio Marine","Life","TokioMarine-iLifeSecure 2²"
"Tokio Marine","Life","TokioMarine 360²"
"Tokio Marine","Health","iCareGuard and iCareGuard Plus³"
"Tokio Marine","Health","iMediCare³"
"Tokio Marine","Health","iComprehensive CI³"
"Tokio Marine","Health","TokioMarine-CriticalDefender¹"
"Tokio Marine","Health","TokioMarine-MedicDefender¹"
"Tokio Marine","Health","Cancer Shield Plus¹"
"Tokio Marine","Health","iHealth Advance³"
"Tokio Marine","Health","MedShield²"
"Tokio Marine","General Savings","TokioMarine-Optimizer¹"
"Tokio Marine","General Savings","TokioMarine-iRich Premier / TokioMarine-iRich²"
"Tokio Marine","For Your Retirement","Asia Income Master Plus¹"
"Tokio Marine","For Your Retirement","Asia Premier Endowment Plus¹"
"Tokio Marine","For Your Retirement","TokioMarine-XtraCash¹"
"Tokio Marine","For Education","TokioMarine-BrightFuture¹"
"Tokio Marine","Employee Benefits","Group Term Life"
"Tokio Marine","Employee Benefits","Group Dread Disease"
"Tokio Marine","Motor","Motor Insurance"
"Tokio Marine","Motor","Tokio Marine BikePro"
"Tokio Marine","Motor","Tokio Marine AutoPro"
"Tokio Marine","Motor","Auto Partner"
"Tokio Marine","Motor","DriveSafe PA Partner"
"Tokio Marine","Motor","Commercial Partner"
"Tokio Marine","Motor","Motorcyclist Partner"
"Tokio Marine","Personal Accident","Tokio Marine PremierUltra PA"
"Tokio Marine","Personal Accident","Flexi PA Partner"
"Tokio Marine","Personal Accident","UniqCare PA"
"Tokio Marine","Personal Accident","AEONCare Insurance"
"Tokio Marine","Travel and Sports","Tokio Marine Explorer"
"Tokio Marine","Travel and Sports","Tokio Marine Annual Explorer"
"Tokio Marine","Travel and Sports","Domestic Travel Partner Plus"
"Tokio Marine","Travel and Sports","Travel Personal Accident"
"Tokio Marine","Travel and Sports","Golfer Insurance"
"Tokio Marine","Health","Premier Medic Partner"
"Tokio Marine","Health","Medic Plus"
"Tokio Marine","Health","Mosbite"
"Tokio Marine","Home and Property","Home Partner Insurance"
"Tokio Marine","Home and Property","Houseowners/ Householders"
"Tokio Marine","Home and Property","Tokio Marine SecureHome"
"Tokio Marine","Promotions","Motor Campaign"
"Tokio Marine","Promotions","FlexiPay"
"Zurich","investment, family","Zurich ValueLife Pluz"
"Zurich","investment, family","Zurich ValueLife Junior"
"Zurich","investment, family","Zurich ValueLife"
"Zurich","investment, family","Zurich ValueLife Premier"
"Zurich","investment, future","Zurich Max1nvest"
"Zurich","savings, future","Zurich Prestige Cover"
"Zurich","savings, future","Zurich Favour8 Guaranteed Acceptance"
