Comparison between Results_May_2024_Week_4 and Results_May_2024_Week_5,,,,,,
Date Produced:,29-May-24,,,,,
AIA,LIFE PROTECTION,AIA One Plan,An affordable life insurance that covers death as well as total and permanent disability (TPD).,,,
AIA,LIFE PROTECTION,AIA i-One Plan,An affordable takaful life plan that covers death as well as total and permanent disability (TPD).,,,
AIA,LIFE PROTECTION,AIA Starter Plan,"An affordable insurance plan with death coverage, from RM0.09/day (*Depending on your gender, smoker status and health condition.)
Suitable if you are new to life insurance or looking for a basic insurance coverage.
This plan is only open to Malaysian citizens residing in Malaysia.",,,
AIA,LIFE PROTECTION,AIA i-Starter Plan,"Most affordable takaful plan.
An affordable takaful plan with death coverage, from RM0.11/day* (*Depending on your gender, smoker status and health condition.).
Suitable if you are new to takaful plans or looking for basic coverage.",,,
AIA,CRITICAL ILLNESS PROTECTION,Insure360 (Critical Illness),"Covers 5 critical illnesses in advanced stage.
Provides monthly cash allowance for home nursing care, hospice care, palliative care and home cleaning services upon diagnosis.",,,
AIA,MEDICAL PROTECTION,Insure360 (Medical),"Covers medical treatment and hospitalisation costs as an in-patient. No medical examinations required.
A selection of flexible deductible amounts to meet your personal needs and budget.",,,
AIA,CRITICAL ILLNESS PROTECTION,A-Plus Beyond Critical Shield & A-Plus Beyond Early Critical Shield,Covers up to 180 critical illness conditions.,,,
AIA,CRITICAL ILLNESS PROTECTION,A-Plus Beyond Critical Shield-i & A-Plus Beyond Early Critical Shield-i,Covers up to 180 conditions from early to advanced stages of critical illnesses.,,,
AIA,CRITICAL ILLNESS PROTECTION,A-Plus CriticalCare,Provides financial support during your recovery from a critical illness.,,,
AIA,CRITICAL ILLNESS PROTECTION,A-Plus CriticalCare-i,Provides a lump sum payment in the event the Person Covered is diagnosed to be suffering from any one of the specified critical illnesses.,,,
AIA,MEDICAL PROTECTION,A-Plus Recover,Pays out coverage amount in the event of prolonged hospitalisations.,,,
AIA,CRITICAL ILLNESS PROTECTION,A-Plus Multi CriticalCare,Covers up to 3 critical illnesses.,,,
AIA,MEDICAL PROTECTION,A-Plus Recover-i,A plan that provides coverage for severe illnesses that results in prolonged hospitalization.,,,
AIA,LIFE PROTECTION,A-Plus ParentCare Xtra,Covers death and total and permanent disability on parent.,,,
AIA,LIFE PROTECTION,A-Plus ParentCare Xtra-i,Provides coverage for death and total and permanent disability of the parent.,,,
AIA,MEDICAL PROTECTION,A-Plus BabyCare Xtra,Covers pregnancy and child care benefits.,,,
AIA,MEDICAL PROTECTION,A-Plus BabyCare Xtra-i,"Offers enhanced coverage during your initial months of pregnancy.
Provides best-in-class protection for your child during those crucial years of infancy.",,,
AIA,CRITICAL ILLNESS PROTECTION,A-Plus Critical Shield-i,Provides a lump sump payment if you are diagnosed with a critical illness.,,,
AIA,MEDICAL PROTECTION,A-Plus MedCare,Provides you with a Personal Medical Case Management (PMCM) benefit.,,,
AIA,CRITICAL ILLNESS PROTECTION,A-Plus Beyond Advance Care,Provides coverage for 75 advance stage critical illness.,,,
AIA,WEALTH & LEGACY PLANNING,A-Life Wealth Builder,Provides high coverage amount and rewards you up to 6 times with Wealth Rewards and Wealth Booster.,,,
AIA,WEALTH & LEGACY PLANNING,A-Life Legasi Beyond,A regular contribution investment-linked takaful plan that provides up to 6 times the protection amount.,,,
AIA,WEALTH & LEGACY PLANNING,A-Life Wealth Venture,A non-participating high protection plan with an eased onboarding journey to protect your venture and secure your legacy.,,,
AIA,CHILD'S SAVINGS PLANNING,A-Life Wealth Treasure,Supports you in nurturing a better financial future for your little one.,,,
AIA,WEALTH & LEGACY PLANNING,A-Life Sejuta Makna,A family takaful plan that provides a meaningful protection for every precious moment.,,,
AIA,WEALTH & LEGACY PLANNING,A-Life Wealth Premier,Helps you build a strong financial safety net to safeguard your loved ones when you are no longer around.,,,
AIA,INVESTMENT & SAVINGS,A-Enrich Rezeki,"A savings plan that offers Takaful coverage as well as potential investment growth
Maximise the return on your investment (ROI).",,,
AIA,INVESTMENT & SAVINGS,A-EnrichGold,A short-pay savings plan that offers guaranteed cash payments and potential investment gains.,,,
AIA,INVESTMENT & SAVINGS,A-EnrichGold-i,"A short-pay savings plan that provides takaful coverage and potential growth in investments.
Allow you to maximise the return on your money.",,,
AIA,INVESTMENT & SAVINGS,A-Enrich Wealth,"A short-pay savings plan to maximise returns with protection and investment.
Up to 16 AIA Investment Funds (local and foreign) of varying risk profiles are available for your selection.",,,
AIA,INVESTMENT & SAVINGS,A-InvestLink,A flexible plan that helps you maximise your investment returns.,,,
AIA,WEALTH & LEGACY PLANNING,A-Life Infinite,"A premier investment-linked plan with a minimum coverage amount of RM5 million, one of the highest available in the market.",,,
AIA,INVESTMENT & SAVINGS,A-Enrich20,A savings plan that guarantees cash payments and increases your insurance cover.,,,
AIA,CHILD'S SAVINGS PLANNING,A-EduAchieve 2,"Combines savings, protection and investment to boost your child's education fund.",,,
AIA,WEALTH & LEGACY PLANNING,A-Plus Infaq,A term plan that donates to charity on your behalf if you pass away or suffer from TPD.,,,
AIA,COMPREHENSIVE PERSONAL ACCIDENT,AIA Travel PA Plus,"AIA Travel PA Plus is a travel protection plan that provides comprehensive coverage.
Covers against injury, disability or death caused by an accident that occur during an insured's journey.
Covers medical expenses incurred due to an accident or illness and travel difficulties that occur during the insured trip.",,,
AIA,COMPREHENSIVE PERSONAL ACCIDENT,Xtra Guard PA,"Xtra Guard PA is a personal accident plan that takes care of your family.
Provides a financial safety net in the event of a serious injury, disability, or death due to accident.",,,
AIA,COMPREHENSIVE PERSONAL ACCIDENT,Xtra Guard Booster,It boosts your medical coverage in the event of an accident and provides death coverage due to Dengue viral fever.,,,
AIA,COMPREHENSIVE PERSONAL ACCIDENT,Flex PA,"A complete personal accident plan.
Customisable to your needs.
Comes with 5 optional riders.",,,
AIA,COMPREHENSIVE PERSONAL ACCIDENT,Medical Enhancer,"Medical Enhancer boosts your medical coverage.
It provides an array of medical coverage.
Better treatments for faster recovery.",,,
AIA,COMPREHENSIVE PERSONAL ACCIDENT,Living Protector,"Living Protector provides financial support after an accident.
It provides 25% of the weekly benefit for up to a year.
You will receive an annual allowance for up to 10 years.",,,
AIA,COMPREHENSIVE PERSONAL ACCIDENT,Crime Guard,"Crime Guard protects you against losses and injuries from acts of crime.
It provides financial assitance during difficult times.
You are also reimbursed for the ransom payment if ransom demand is made.",,,
AIA,COMPREHENSIVE PERSONAL ACCIDENT,Family Shield,"Family Shield provides financial safety.
It also provides a yearly income to help ease your family's financial burden.",,,
AIA,COMPREHENSIVE PERSONAL ACCIDENT,Child Plus,"Child Plus protects your children and their education.
Ransom payment will be reimbursed if the ransom demand is made.
You will be rewarded for information leading to your child's recovery, while alive.",,,
AIA,COMPREHENSIVE PERSONAL ACCIDENT,Easy Cover PA,"Easy Cover Personal Accident provides a simple plan with amazing living benefits.
Ensuring continuous income flow after experiencing serious accidental loss.",,,
AIA,GROUP PERSONAL ACCIDENT,AIA Student Accident Shield,"Personal accident plan for students.
For medical, accidental death, disabilities.
24-hour worldwide protection.",,,
AIA,GROUP PERSONAL ACCIDENT,Group Flexible Personal Accident,"Group Flexible Accidental plan.
Wide range of protection options.
For calamities, diseases and dengue.",,,
AIA,ACCIDENT PROTECTION,SafeTrip,"Offers compensation in the event of travel inconvenience, sickness, injury, accidental disability or death during your trip.
Optional benefits available for International Plan to cover adventurous & winter sports, home contents and pet.
Available for both international and domestic trips, with coverage of up to 90 consecutive days.",,,
AIA,ACCIDENT PROTECTION,WalletSafe,"Covers unauthorised transactions from TNG eWallet & death due to accident (additional payout for road traffic accident or in public conveyance).
Covers loss of personal belongings and unauthorised debit or credit card spending as a result of theft.",,,
AIA,ACCIDENT PROTECTION,A-Plus Total AccidentShield,Provides benefits for death or injuries resulting from an accident.,,,
AIA,ACCIDENT PROTECTION,A-Life Pelindung,A regular contribution family takaful plan that provides accidental coverage for 20 years or up to age 85.,,,
AIA,ACCIDENT PROTECTION,A-Plus Accident ShieldExtra-i,Provide protection against any unfortunate events as a result of an accident up to age 70.,,,
AIA,HOME PROTECTION,SafeHome,"Basic fire insurance to protect your home and/or its contents against losses or damages caused by fire and lightning. Add-on coverages are available.
Provides cash relief and medical coverage in the event of mishaps resulting from insured perils.",,,
AIA,HOME PROTECTION,A-Essential Home,Covers your home and its contents against losses or damages.,,,
AIA,HOME PROTECTION,AIA Fixed Rate Mortgage,A fixed-rate home financing solution for new purchases and refinancing of existing properties.,,,
AIA,MOTOR INSURANCE,Family Drive,"Provides protection to not only you and your car, but also your family who is travelling with you.",,,
AIA,MOTOR INSURANCE,Comprehensive Private Car Insurance,"Offers coverage for your car as well as coverage for others that includes loss, damage, injury and death.",,,
AIA,MOTOR INSURANCE,Comprehensive Commercial Vehicle Insurance,"Provides protection against damages to other vehicles and injuries that the drivers or passengers may sustain.
Covers you and other named drivers for any loss or damage to your vehicle, including any injury caused by an accident.",,,
Allianz,Life Protection,Allianz UltimateLink,"Protection and investment in one plan
Insurance protection up to age 100
Comprehensive range of optional benefits",,,
Allianz,Life Protection,Allianz EverLink Signature,"High coverage with short commitment period & flexible coverage terms
Boost your investment with a Loyalty Bonus
Personalise your coverage with additional riders",,,
Allianz,Life Protection,Allianz EverLink Plus,"A plan with high coverage
Death or Total and Permanent Disability (TPD)* benefits
Ensure financial stability with flexible coverage terms",,,
Allianz,Life Protection,Power Shield,"Affordable term life insurance coverage
Flexible coverage term
Option to purchase a permanent plan",,,
Allianz,Life Protection,Allianz Ability Life,"Premium from as low as RM50
Guaranteed renewal
Lump sum payment upon death",,,
Allianz,Life Protection,Allianz Kasih4All,"Coverage for Death Due to Accidental or Non-Accidental Causes, up to RM30,000
Affordable premiums to suit your financial situation
Coverage term up to the Life Assured attaining 71 years old nearest birthday",,,
Allianz,Life Protection,Allianz Legacy Plus,"Increasing Insured Amount to protect your legacy against inflation
Guaranteed Maturity Benefit to preserve your wealth for your future generation
High Non-Medical Limit of up to RM 4,000,000",,,
Allianz,Life Protection,Allianz i-EssentialCover,"Coverage up to RM500,000
Guaranteed yearly premium
Fast, hassle free enrolment",,,
Allianz,Medical & Hospitalisation,Allianz Diabetic Essential,"A choice of 4 medical plans
Annual health screening benefits
Enjoy annual premium discount",,,
Allianz,Medical & Hospitalisation,HealthInsured,"No Overall Lifetime Limit
High Overall Annual Limit
Flexible deductible option",,,
Allianz,Medical & Hospitalisation,MediAdvantage,"Overseas Medical Treatment Benefit
Second medical opinion
Seamless experience",,,
Allianz,Medical & Hospitalisation,Allianz i-HospitalCash,"Daily cash benefit upon hospitalisation
Double cash benefit for overseas hospitalisation
No Claims Bonus at maturity",,,
Allianz,Medical & Hospitalisation,Allianz MediCure,"A choice of 5 medical plans
5 optional deductible plans
Coverage available to both individual and multiple insured persons",,,
Allianz,Critical Illness,HealthCover,"Coverage on 36 critical illnesses
Coverage up to age 100
 


",,,
Allianz,Critical Illness,HealthCover Plus,"Coverage on 70 critical illnesses
Protection against 7 additional critical illnesses for those below the age of 19
Coverage up to age 100
 ",,,
Allianz,Critical Illness,HealthCover Enhancer,"Provides additional medical insurance coverage upon the first diagnosis of Carcinoma-in-Situ / pre-cancerous lesions
Provides financial protection upon the first diagnosis of Carcinoma-in-Situ / pre-cancerous lesions",,,
Allianz,Critical Illness,Allianz i-Cancer Care,"Early or advanced stage cancer coverage
3 plans to suit different levels of cancer protection needs
Lump sum health care allowance",,,
Allianz,Critical Illness,"Prime Care+
","Coverage on more than 150 critical illnesses
Diabetes and Cancer Recovery Benefit
 ",,,
Allianz,Critical Illness,PreciousCover and BabyCover,"Mental Health Coverage for mothers
Child Development Disorder Benefit
Prenatal and Postnatal Benefit
 ",,,
Allianz,Critical Illness,Lady Guard,"Coverage for female-related cancers
Coverage for female-related illnesses",,,
Allianz,Personal Accident,Allianz Lifestyle Protect,"Smart device protection
Online purchase protection
Credit card and loan indemnity

 ",,,
Allianz,Personal Accident,ATM Shield,"Covers loss of cash withdrawn from ATM
Covers loss of or damage to personal effects
Covers death and permanent disablement
 ",,,
Allianz,Personal Accident,Premier PA Plus,"Coverage includes locally and abroad
Additional 300% payout of sum assured in the event of accidental death
Up to additional 400% payout of sum assured",,,
Allianz,Personal Accident,"Allianz Shield Plus
 ","Renewal bonus up to 100%
Double indemnity in the event of death or permanent disablement
Cashless hospital admission and discharge
 ",,,
Allianz,Personal Accident,Allianz Motorcyclist Personal Accident,"Covers accidental death
Covers permanent disablement
 
Bereavement allowance


",,,
Allianz,Personal Accident,Allianz Student Personal Accident,"Covers accidental death and permanent disablement
Medical expenses
Government or private hospital cash allowance",,,
Allianz,Personal Accident,"Personal Accident
 ","Covers accidental death and permanent disablement
Medical and surgical treatment
 ",,,
Allianz,Personal Accident,Special Occupation Personal Accident,"Covers accidental death
Covers permanent disablement
Medical expenses
 ",,,
Allianz,Personal Accident,"Drive Smart Shield
 ","Covers death or permanent disablement
Covers medical expenses benefit
Renewal bonus up to 50%
 ",,,
Allianz,Personal Accident,PerlindunganKu Allianz4All,"An affordable insurance plan based on the Universal Values that are in line with Islamic Financial principles to meet your needs
 
Death or permanent disablement due to Accident up to RM50,000 coverage",,,
Allianz,"Savings, Investments & Waivers",Allianz PayorCover,"Diagnosis with any of the specified 36 critical illnesses
 
 ",,,
Allianz,"Savings, Investments & Waivers","WealthCover
 ","Maximise your savings and investment
Affordable payments from as low as RM20 
Attachment of WealthCover with no additional charge",,,
Allianz,"Savings, Investments & Waivers",Allianz SecureCover / SecureCover Plus,"Covers your child premium
Pays an amount equivalent to the premium amount in the event of the death, total and permanent disability or diagnosis of the 36 critical illnesses",,,
Allianz,"Savings, Investments & Waivers","Prime Income
 ","Short premium payment term of 8 years
Guaranteed Cash Payment starting from the 8th policy year
Enjoy extra payout",,,
Allianz,Home,"Smart Home Cover
 ","Freedom to choose and customise
Consisting of five components namely HouseOwner (Building), HouseHolder (Content), Mortgage Loan Installment Protection, HomeFix and Landlord Insurance
Potential help save more on premiums",,,
Allianz,Home,HouseOwner & HouseHolder Insurance,"Covers fire, lightning and domestic explosion
Covers damages caused by aircraft and impact by vehicles or animals
Covers bursting or overflowing of water tanks or pipes
 ",,,
Allianz,Home,"Allianz KampungKu
 ","Covers building and / or household contents against fire and lightning
Pays Emergency Relief Benefit 
Covers personal accident for death, permanent disablement and funeral expenses of the insured or one immediate family member",,,
Allianz,Home,Homeguard,"Full Theft Coverage
Covers Accidental Death & Permanent Disablement
Domestic Medical Assistance Programme",,,
Allianz,Car & Motorcycle,Car & Motor Comprehensive Cover,"Covers losses or damages to your car due to accident, fire and theft
Covers Third Party death and bodily injuries
Covers Third Party property losses or damages",,,
Allianz,Car & Motorcycle,"Car & Motor Third Party
Cover
","Covers Third Party death and bodily injuries
Covers Third Party property losses or damages
 
 ",,,
Allianz,Car & Motorcycle,"Car & Motor Third Party, Fire & Theft Cover","Covers losses or damages to your car due to fire or theft
Covers Third Party death and bodily injuries
Covers Third Party property losses or damages",,,
Allianz,Car & Motorcycle,Allianz Motorcycle Plus,"Covers against liabilities to other parties for death or bodily injuries
Covers against loss or damage to other parties' property
Only applicable for motorcycles 250cc and below",,,
Allianz,Car & Motorcycle,e-Hailing Add On,"Covers legal liability to fare paying passengers
Covers legal liability of fare paying passenger for negligent act
Covers losses or damages to your car due to fire or theft",,,
Allianz,Roadside Assistance,Road Warrior ,"Covers personal accident for you and your passengers
Covers accidental death and permanent disablement
Allianz 24-Hour Car Assistance Program including towing service, minor roadside repair etc",,,
Allianz,Roadside Assistance,Bike Warrior ,"Covers personal accident for you and your pillion rider
24-hour Bike Assistance Program
Compassionate Care in the event of total loss or theft of your superbike
 ",,,
Allianz,Travel Insurance,Allianz Travel Insurance,"Covers you and your family when you travel domestically or overseas
Covers accidental death and permanent disablement
Medical expenses
 ",,,
Allianz,Living,Domestic Servant Insurance Scheme,"Covers Accidental Death and Permanent Disablement
Covers medical expenses
Covers repatriation expenses
 ",,,
Allianz,Living,"Golf Master
 ","Covers public liability
Covers Personal Accident up to RM25,000
Covers losses and damages to golf clubs, equipment and personal belongings due to fire and theft",,,
Allianz,Living,"Allianz Lifestyle Protect
 ","Smart device protection
Online purchase protection
Credit card and loan indemnity

 ",,,
Allianz,Living,Device Protection,We'll take care of your appliances in event of breakdowns or accidents - our experts are one call away and ready to help,,,
AmMetLife,"Family, Protection",ProtectEase,Introducing the easiest plan for you to live in total ease.,,,
AmMetLife,"Family, Protection",ProtectElite II,Enjoy better coverage for a secure future.,,,
AmMetLife,"Family, Protection",ProtectSecure,Secure your future with a plan designed to bring together the best of protection and investment benefits.,,,
AmMetLife,"Family, Protection",ProtectLink,A plan that safeguards you and your future.,,,
AmMetLife,"Family, Protection",ProtectPlus,A simple protection plan that fits seamlessly to give you even more security.,,,
AmMetLife,"Family, Protection",Protect20,Protect the best years of your life with a traditional non-participating Regular Premium Term Plan.,,,
AmMetLife,"Family, Protection",ProtectSecure Prime,Protect your family financially during your prime years should the unfortunate happen.,,,
AmMetLife,"Family, Credit-related",Level Term Assurance,Pays your outstanding business loan based on level sum insured in the event of death or disability.,,,
AmMetLife,"Family, Credit-related",Reducing Term Assurance,Pays your outstanding business loan based on reducing sum insured in the event of death or disability.,,,
AmMetLife,"Family, Credit-related",Reducing Term Assurance Plus,Get a financial protection plan to offset against the outstanding balances that you may have on you business loan in the event of death or TPD.,,,
AmMetLife,"Family, Credit-related",Mortgage Level Term Assurance,Give your family a peace of mind with a home complete with protection.,,,
AmMetLife,"Family, Credit-related",AmMetLife AutoLife,Ensure your car always remains yours in the event of Death or Total and Permanent Disability.,,,
AmMetLife,"Family, Credit-related",Mortgage Reducing Term Assurance,Protect your home in the event of death or Total and Permanent Disability.,,,
AmMetLife,"Health, Hospitalisation (Agency)",Health Smart Rider,A holistic health solution that rewards you for staying healthy no matter where you are in life to extend your healthspan.,,,
AmMetLife,"Health, Hospitalisation (Agency)",HCC BoostUp + HealthCare Choice (Stand-Alone Medical Plan),Comprehensive medical protection plan.,,,
AmMetLife,"Health, Hospitalisation (Agency)",ProtectIncome,Ease your financial burden with our hospital income plan.,,,
AmMetLife,"Health, Hospitalisation (Agency)",HCC BoostUp Rider + HealthCare Choice Rider,Two power-packed riders in one ultimate protection plan.,,,
AmMetLife,"Health, Hospitalisation (Banca)",HealthCare Choice + HCC BoostUp,Let HealthCare Choice + HCC BoostUp help you live assured against unforeseen medical expenses,,,
AmMetLife,"Health, Hospitalisation (Banca)",HealthCare Choice II Rider + HCC BoostUp II Rider,Let HealthCare Choice II Rider + HCC BoostUp II Rider protect you from unanticipated medical costs,,,
AmMetLife,"Health, Hospitalisation (Banca)",HealthCare Daily Cash,*No description found,,,
AmMetLife,"Health, Critical Illness",CriticalEase,Total protection for critical times.,,,
AmMetLife,"Health, Critical Illness",ProtectPrime39,Get a financial support during treatments with this critical illness plan.,,,
AmMetLife,"Health, Critical Illness",HealthCare Secure,Providing up to double payout & multiple claims for added protection.,,,
AmMetLife,"Future, Wealth",i.Am Wealth Achiever,A 5-year short premium payment term savings plan that empowers you to fulfill your life aspirations while securing exceptional 20 years of protection and reaping fantastic rewards.,,,
AmMetLife,"Future, Wealth",i.Am Wealth Builder,"i.Am Wealth Builder can assist you to build wealth, leaving a financial legacy for your loved one and protect what matters most.",,,
AmMetLife,"Future, Wealth",WealthInspire,Save easily towards your goals and enjoy Guaranteed Cash Payment of up to 12% p.a. of Initial Sum Assured --- available limited time only.,,,
AmMetLife,"Future, Wealth",WealthEnrich,WealthEnrich is designed to give you a head start in crafting your personalised legacy plan.,,,
AmMetLife,"Future, Wealth",AmCapital,Building nest egg for a brighter future.,,,
AmMetLife,"Future, Wealth",WealthSecure Smart,Build your wealth while protecting yourself from financial hardship in unforeseen events with this limited premium payment endowment plan.,,,
AmMetLife,"Future, Wealth",WealthSecure Max,Secure your future and be protected with an endowment plan designed with guaranteed cash payment.,,,
AmMetLife,"Future, Others",Flexi TermLife,Flexible protection for your lifestyle.,,,
Etiqa,Car,Motor Insurance,"Get covered for loss, theft or damage to your car, and more, with optional add-ons for total peace of mind.

Enjoy up to 30% cash rebates with the Drive Less Save More add-on

10% rebate on top of your NCD when you renew online

Get reimbursed with a value you agree with

All authorised drivers automatically covered

24/7 emergency hotline

#1 Motor Insurance as awarded by iBanding

",,,
Etiqa,Motorcycle,Motorcycle Insurance,"New Get comprehensive coverage for loss, theft or damage to your motorcycle, and more.

10% rebate on top of your NCD when you renew online

Coverage for accidents, fire & theft

3rd party coverage

",,,
Etiqa,Car EV,FREE EV Home Charger Coverage Campaign,"FREE EV Home Charger Coverage exclusively for newly registered Electric Vehicles (EV).


Enjoy reimbursements of up to RM12,000 to replace or repair your new EV home charger in the event of loss or damage due to unfortunate events

Sign up for your FREE EV Home Charger Coverage by 31 December 2024

Sign up for EV Home Charger Coverage via Etiqa or Maybank branches, our General Insurance agents or Etiqa Oneline at 1300 139139

",,,
Etiqa,Car EV,EV Home Charger Coverage,"Get coverage for your EV home charger when you sign up for a comprehensive Etiqa Motor Insurance plan.


Applicable for EV older than 1 year

Enjoy reimbursements of up to RM12,000 to replace or repair your EV home charger in the event of loss or damage.

Sign up for EV Home Charger Coverage via Etiqa or Maybank branches, our General Insurance agents or Etiqa Oneline at 1300 139139

",,,
Etiqa,Travel,TripCare 360 Insurance,"Get coverage for travel delays, loss of baggage, medical emergencies and other travel inconveniences.

25% rebate when you apply online

Cashless medical care

Coverage for loss of valuables and travel delays

Add-on options for adventurous activities

New COVID-19 coverage for your overseas travels

",,,
Etiqa,Travel,Travel Ezy Insurance,"Get compensated for domestic flight delays

Get paid RM60 when your flight is delayed by 30 minutes or more

",,,
Etiqa,Home,Houseowner and Householder Insurance,"Insure the building of your home and its contents, so that you don’t have to pay for damage and losses.

15% rebate when you buy online

Coverage against damages caused by fire, lightning, and domestic explosions

Coverage against damage caused by floods and landslides

Coverage for landlords

",,,
Etiqa,Home,MyRumah Insurance,"Protect your home, its contents and more.

Get 15% off when you purchase online.

Coverage against damages caused by fire, lightning, and domestic explosion.

Coverage against damages caused by flood, storm and more

",,,
Etiqa,Home,Etiqa Home Secure Insurance,"New Covers loss or damage to your building and/or contents caused by any of the following:

Flood

Fire

Lightning

Theft and many other unfortunate events

",,,
Etiqa,Pets,PAWer Insurance,"


Cashless admission to panel veterinary clinics & pet wellness centres

Veterinary and surgical coverage

Burial or cremation coverage

Third party liability coverage

",,,
Etiqa,Life and Family,Etiqa Term Plus,"New Exclusive plan for EPF Member

Direct withdrawal from EPF Account

Guaranteed Approval

Flexible Coverage

Coverage for death & disability and much more.

",,,
Etiqa,Life and Family,i-Care OKU,"New A takaful plan designed for disabled persons (OKU)

Guaranteed approval

Affordable contribution

Provides cover for individuals with more than 1 disability

Get payout upon diagnosis and hospitalisation due to Dengue, COVID-19 and more

",,,
Etiqa,Life and Family,Etiqa Term Secure Insurance,"New An insurance term plan you can purchase via direct online withdrawals from your EPF Account.

Direct from EPF Account

Guaranteed Approval

Affordable Premium

Coverage for Death & Disability

",,,
Etiqa,Life and Family,Ezy-Life Secure Insurance,"The plan that gives you the flexibility to choose the benefit amount, tenure and the frequency of payments per year

Premiums remain unchanged

Death and disability benefit

Flexible frequency of payments

Flexible tenure of benefit

",,,
Etiqa,Life and Family,Ezy-Secure Insurance,"The plan that gives a lump sum payment to the beneficiary in the event of death during the period of cover

No medical examination

Flexible plans to suit your need

Coverage from 21 to 80 years old

Death & Total Permanent Disability benefit

",,,
Etiqa,Life and Family,Etiqa Life Secure Insurance,"The plan that helps your business survive the financial consequences of losing a key person

Death and disability benefit

Premiums remain unchanged over the tenure

Benefit tenure flexibility

",,,
Etiqa,Life and Family,Enrich Life Plan Insurance,"The versatile plan that lets you customise your and your family’s insurance coverage.

Choose from 13 riders to customise your coverage

Rider for female illnesses

Rider for critical illnesses

Rider for junior critical illnesses

Maternity rider

",,,
Etiqa,Savings,Aatifa,"A flexible and affordable Takaful Savings plan from just RM100 a month 

Maturity Cash Benefit

Regular Cash Payouts

Guaranteed Approval

Death Coverage

Accidental Death Benefit

",,,
Etiqa,Savings,Triple Growth Insurance,"A short term commitment plan help your savings work harder to maximise your yearly returns

Short Premium Payment Term

Guaranteed Interim Cash Payment (ICP)

Death and total permanent disability benefits

Maturity benefit

",,,
Etiqa,Savings,Aspire Insurance,"Save for your child’s future tertiary education and get them covered with death and permanent disability (TPD) benefits

Cash reward for academic excellence

Insurance coverage for death and permanent disability (TPD)

Maturity benefit

",,,
Etiqa,Investment,SecureLink Insurance,"A flexible protection plan with an investment-linked feature.

Comprehensive add-ons

Continuous cover after TPD

Loyalty bonus every 3 years

Death & TPD benefit

",,,
Etiqa,Investment,MaxiPro Insurance,"A plan that yields more savings.

Guaranteed approval

Guaranteed annual cash payout

Maturity payout benefit

Guaranteed insurance charge rates

Flexible premium payment and policy terms

",,,
