"product_type","product_name","product_description","insurance_type"
"Life, H&P","Sun eMediCare Income","Comprehensive hospital income coverage

Long coverage term

No medical check-up","Life Insurance"
"Life, H&P","Sun eMediCare Income-i","Comprehensive hospital income coverage

Long coverage term

No medical check-up","Family Takaful"
"Life, H&P","Sun eSsential Life","High coverage

Death/TPD benefit

Long coverage term

No medical check-up","Life Insurance"
"Life, H&P","Sun eSsential-i","High coverage

Death/TPD benefit

Long coverage term

No medical check-up","Family Takaful"
"Life, H&P, Investment","SunInvest","Hassle-free enrolment 

Diversified investment portfolio

Insurance coverage","Life Insurance"
"Life, Investment","SunInvest-i","Takaful coverage with protection booster

Simple enrolment

Maturity benefit","Family Takaful"
"Life, H&P, Investment","SunLink Istismar Plus","Takaful coverage with protection booster

Comprehensive & customised takaful coverage with optional riders

Final benefit","Family Takaful"
"Life, H&P, Investment","SunLink Max","Full premium allocation 

Comprehensive & customised insurance coverage with optional riders","Life Insurance"
"Life, H&P","Takaful Mulia","Double indemnity for accidental death/total and permanent disability (TPD) benefit

Waqf benefit

Zakat benefit

Fidyah/Sadaqah benefit","Family Takaful"
"Life, H&P, Savings","Takaful Suria Plus","Takaful coverage 

RM1,500 special payout

Badal Hajj benefit

Dependent allowance","Family Takaful"
"Life","Xpress Cash Protector-i","Death/Total and permanent disability (TPD) benefit","Family Takaful"
"Scraped at",":","2024-07-04 17:32 +08",""
