insurer,bank_name,product_type,product_name,product_description,insurance_type,discovered_place
AIA,-,Savings/Investment,A-EduAchieve 2,"Combines savings, protection and investment to boost your child's education fund.",Life Insurance,Insurer
AIA,-,Savings/Investment,A-Plus Infaq,A term plan that donates to charity on your behalf if you pass away or suffer from TPD.,Family Takaful,Insurer
AIA,-,H&P,AIA Travel PA Plus,"AIA Travel PA Plus is a travel protection plan that provides comprehensive coverage.
Covers against injury, disability or death caused by an accident that occur during an insured's journey.
Covers medical expenses incurred due to an accident or illness and travel difficulties that occur during the insured trip.",General Insurance,Insurer
AIA,-,H&P,Xtra Guard PA,"Xtra Guard PA is a personal accident plan that takes care of your family.
Provides a financial safety net in the event of a serious injury, disability, or death due to accident.",General Insurance,Insurer
AIA,-,H&P,Xtra Guard Booster,It boosts your medical coverage in the event of an accident and provides death coverage due to Dengue viral fever.,General Insurance,Insurer
AIA,-,H&P,Flex PA,"A complete personal accident plan.
Customisable to your needs.
Comes with 6 optional riders.",General Insurance,Insurer
AIA,-,H&P,Senior Care,Provide medical and recovery support to you during your recovery journey after an accident.,General Insurance,Insurer
AIA,-,H&P,Medi Guard,"Medi Guard boosts your medical coverage.
It provides an array of medical coverage.
Better treatments for faster recovery.",General Insurance,Insurer
AIA,-,H&P,Living Care,"Living Care provides financial support after an accident.
It provides 25% of the weekly benefit for up to a year.
You will receive an annual allowance for up to 10 years.",General Insurance,Insurer
AIA,-,H&P,Crime Guard,"Crime Guard protects you against losses and injuries from acts of crime.
It provides financial assitance during difficult times.
You are also reimbursed for the ransom payment if ransom demand is made.",General Insurance,Insurer
AIA,-,H&P,Family Shield,"Family Shield provides financial safety.
It also provides a yearly income to help ease your family's financial burden.",General Insurance,Insurer
AIA,-,H&P,Child Plus,"Child Plus protects your children and their education.
Ransom payment will be reimbursed if the ransom demand is made.
You will be rewarded for information leading to your child's recovery, while alive.",General Insurance,Insurer
AIA,-,H&P,Easy Cover PA,"Easy Cover Personal Accident provides a simple plan with amazing living benefits.
Ensuring continuous income flow after experiencing serious accidental loss.",General Insurance,Insurer
AIA,-,H&P,AIA Student Accident Shield,"Personal accident plan for students.
For medical, accidental death, disabilities.
24-hour worldwide protection.",General Insurance,Insurer
AIA,-,H&P,Group Flexible Personal Accident,"Group Flexible Accidental plan.
Wide range of protection options.
For calamities, diseases and dengue.",General Insurance,Insurer
AIA,-,H&P,SafeTrip,"Offers compensation in the event of travel inconvenience, sickness, injury, accidental disability or death during your trip.
Optional benefits available for International Plan to cover adventurous & winter sports, home contents and pet.
Available for both international and domestic trips, with coverage of up to 90 consecutive days.",General Insurance,Insurer
AIA,-,H&P,WalletSafe,"Covers unauthorised transactions from TNG eWallet & death due to accident (additional payout for road traffic accident or in public conveyance).
Covers loss of personal belongings and unauthorised debit or credit card spending as a result of theft.",General Insurance,Insurer
AIA,-,H&P,A-Plus Total AccidentShield,Provides benefits for death or injuries resulting from an accident.,Life Insurance,Insurer
AIA,-,H&P,A-Life Pelindung,A regular contribution family takaful plan that provides accidental coverage for 20 years or up to age 85.,Family Takaful,Insurer
AIA,-,H&P,A-Plus Accident ShieldExtra-i,Provide protection against any unfortunate events as a result of an accident up to age 70.,Family Takaful,Insurer
AIA,-,Home,A-Essential Home,Covers your home and its contents against losses or damages.,General Insurance,Insurer
AIA,-,Home,SafeHome,"Basic fire insurance to protect your home and/or its contents against losses or damages caused by fire and lightning. Add-on coverages are available.
Provides cash relief and medical coverage in the event of mishaps resulting from insured perils.",General Insurance,Insurer
AIA,-,Home,AIA Fixed Rate Mortgage,A fixed-rate home financing solution for new purchases and refinancing of existing properties.,General Insurance,Insurer
AIA,-,Motor,Family Drive,"Provides protection to not only you and your car, but also your family who is travelling with you.",General Insurance,Insurer
AIA,-,Motor,Comprehensive Private Car Insurance,"Offers coverage for your car as well as coverage for others that includes loss, damage, injury and death.",General Insurance,Insurer
AIA,-,Motor,Comprehensive Commercial Vehicle Insurance,"Provides protection against damages to other vehicles and injuries that the drivers or passengers may sustain.
Covers you and other named drivers for any loss or damage to your vehicle, including any injury caused by an accident.",General Insurance,Insurer
Allianz,-,Life,Allianz UltimateLink,"Protection and investment in one plan
Insurance protection up to age 100
Comprehensive range of optional benefits",Life Insurance,Insurer
Allianz,-,Life,Allianz EverLink Signature,"High coverage with short commitment period & flexible coverage terms
Boost your investment with a Loyalty Bonus
Personalise your coverage with additional riders",Life Insurance,Insurer
Allianz,-,Life,Allianz EverLink Plus,"A plan with high coverage
Death or Total and Permanent Disability (TPD)* benefits
Ensure financial stability with flexible coverage terms",Life Insurance,Insurer
Allianz,-,Life,Power Shield,"Affordable term life insurance coverage
Flexible coverage term
Option to purchase a permanent plan",Life Insurance,Insurer
Allianz,-,Life,Allianz Ability Life,"Premium from as low as RM50
Guaranteed renewal
Lump sum payment upon death",Life Insurance,Insurer
Allianz,-,Life,Allianz Kasih4All,"Coverage for Death Due to Accidental or Non-Accidental Causes, up to RM30,000
Affordable premiums to suit your financial situation
Coverage term up to the Life Assured attaining 71 years old nearest birthday",Life Insurance,Insurer
Allianz,-,Life,Allianz Legacy Plus,"Increasing Insured Amount to protect your legacy against inflation
Guaranteed Maturity Benefit to preserve your wealth for your future generation
High Non-Medical Limit of up to RM 4,000,000",Life Insurance,Insurer
Allianz,-,Life,Allianz i-EssentialCover,"Coverage up to RM500,000
Guaranteed yearly premium
Fast, hassle free enrolment",Life Insurance,Insurer
Allianz,-,Medical,Allianz Diabetic Essential,"A choice of 4 medical plans
Annual health screening benefits
Enjoy annual premium discount",Life Insurance,Insurer
Allianz,-,Medical,HealthInsured,"No Overall Lifetime Limit
High Overall Annual Limit
Flexible deductible option",Life Insurance,Insurer
Allianz,-,Medical,MediAdvantage,"Overseas Medical Treatment Benefit
Second medical opinion
Seamless experience",Life Insurance,Insurer
Allianz,-,Medical,Allianz i-HospitalCash,"Daily cash benefit upon hospitalisation
Double cash benefit for overseas hospitalisation
No Claims Bonus at maturity",Life Insurance,Insurer
Allianz,-,Medical,Allianz MediCure,"A choice of 5 medical plans
5 optional deductible plans
Coverage available to both individual and multiple insured persons",Life Insurance,Insurer
Allianz,-,Critical Illness,HealthCover,"Coverage on 36 critical illnesses
Coverage up to age 100
 


",Life Insurance,Insurer
Allianz,-,Critical Illness,HealthCover Plus,"Coverage on 70 critical illnesses
Protection against 7 additional critical illnesses for those below the age of 19
Coverage up to age 100
 ",Life Insurance,Insurer
Allianz,-,Critical Illness,HealthCover Enhancer,"Provides additional medical insurance coverage upon the first diagnosis of Carcinoma-in-Situ / pre-cancerous lesions
Provides financial protection upon the first diagnosis of Carcinoma-in-Situ / pre-cancerous lesions",Life Insurance,Insurer
Allianz,-,Critical Illness,Allianz i-Cancer Care,"Early or advanced stage cancer coverage
3 plans to suit different levels of cancer protection needs
Lump sum health care allowance",Life Insurance,Insurer
Allianz,-,Critical Illness,Prime Care+,"Coverage on more than 150 critical illnesses
Diabetes and Cancer Recovery Benefit
 ",Life Insurance,Insurer
Allianz,-,Critical Illness,PreciousCover and BabyCover,"Mental Health Coverage for mothers
Child Development Disorder Benefit
Prenatal and Postnatal Benefit
 ",Life Insurance,Insurer
Allianz,-,Critical Illness,Lady Guard,"Coverage for female-related cancers
Coverage for female-related illnesses",Life Insurance,Insurer
Allianz,-,H&P,Allianz Lifestyle Protect,"Smart device protection
Online purchase protection
Credit card and loan indemnity

 ",Life Insurance,Insurer
Allianz,-,H&P,ATM Shield,"Covers loss of cash withdrawn from ATM
Covers loss of or damage to personal effects
Covers death and permanent disablement
 ",Life Insurance,Insurer
Allianz,-,H&P,Premier PA Plus,"Coverage includes locally and abroad
Additional 300% payout of sum assured in the event of accidental death
Up to additional 400% payout of sum assured",Life Insurance,Insurer
Allianz,-,H&P,Allianz Shield Plus,"Renewal bonus up to 100%
Double indemnity in the event of death or permanent disablement
Cashless hospital admission and discharge
 ",Life Insurance,Insurer
Allianz,-,H&P,Allianz Motorcyclist Personal Accident,"Covers accidental death
Covers permanent disablement
 
Bereavement allowance


",Life Insurance,Insurer
Allianz,-,H&P,Allianz Student Personal Accident,"Covers accidental death and permanent disablement
Medical expenses
Government or private hospital cash allowance",Life Insurance,Insurer
Allianz,-,H&P,Personal Accident,"Covers accidental death and permanent disablement
Medical and surgical treatment
 ",Life Insurance,Insurer
Allianz,-,H&P,Special Occupation Personal Accident,"Covers accidental death
Covers permanent disablement
Medical expenses
 ",Life Insurance,Insurer
Allianz,-,H&P,Drive Smart Shield,"Covers death or permanent disablement
Covers medical expenses benefit
Renewal bonus up to 50%
 ",Life Insurance,Insurer
Allianz,-,H&P,PerlindunganKu Allianz4All,"An affordable insurance plan based on the Universal Values that are in line with Islamic Financial principles to meet your needs
 
Death or permanent disablement due to Accident up to RM50,000 coverage",Life Insurance,Insurer
Allianz,-,Savings/Investment,Allianz PayorCover,"Diagnosis with any of the specified 36 critical illnesses
 
 ",Life Insurance,Insurer
Allianz,-,Savings/Investment,WealthCover,"Maximise your savings and investment
Affordable payments from as low as RM20 
Attachment of WealthCover with no additional charge",Life Insurance,Insurer
Allianz,-,Savings/Investment,Allianz SecureCover / SecureCover Plus,"Covers your child premium
Pays an amount equivalent to the premium amount in the event of the death, total and permanent disability or diagnosis of the 36 critical illnesses",Life Insurance,Insurer
Allianz,-,Savings/Investment,Prime Income,"Short premium payment term of 8 years
Guaranteed Cash Payment starting from the 8th policy year
Enjoy extra payout",Life Insurance,Insurer
Allianz,-,Home,Smart Home Cover,"Freedom to choose and customise
Consisting of five components namely HouseOwner (Building), HouseHolder (Content), Mortgage Loan Installment Protection, HomeFix and Landlord Insurance
Potential help save more on premiums",General Insurance,Insurer
Allianz,-,Home,HouseOwner & HouseHolder Insurance,"Covers fire, lightning and domestic explosion
Covers damages caused by aircraft and impact by vehicles or animals
Covers bursting or overflowing of water tanks or pipes
 ",General Insurance,Insurer
Allianz,-,Home,Allianz KampungKu,"Covers building and / or household contents against fire and lightning
Pays Emergency Relief Benefit 
Covers personal accident for death, permanent disablement and funeral expenses of the insured or one immediate family member",General Insurance,Insurer
Allianz,-,Home,Homeguard,"Full Theft Coverage
Covers Accidental Death & Permanent Disablement
Domestic Medical Assistance Programme",General Insurance,Insurer
Allianz,-,Motor,Car & Motor Comprehensive Cover,"Covers losses or damages to your car due to accident, fire and theft
Covers Third Party death and bodily injuries
Covers Third Party property losses or damages",General Insurance,Insurer
Allianz,-,Motor,Car & Motor Third PartyCover,"Covers Third Party death and bodily injuries
Covers Third Party property losses or damages
 
 ",General Insurance,Insurer
Allianz,-,Motor,"Car & Motor Third Party, Fire & Theft Cover","Covers losses or damages to your car due to fire or theft
Covers Third Party death and bodily injuries
Covers Third Party property losses or damages",General Insurance,Insurer
Allianz,-,Motor,Allianz Motorcycle Plus,"Covers against liabilities to other parties for death or bodily injuries
Covers against loss or damage to other parties' property
Only applicable for motorcycles 250cc and below",General Insurance,Insurer
Allianz,-,Motor,e-Hailing Add On,"Covers legal liability to fare paying passengers
Covers legal liability of fare paying passenger for negligent act
Covers losses or damages to your car due to fire or theft",General Insurance,Insurer
Allianz,-,Motor,Road Warrior,"Covers personal accident for you and your passengers
Covers accidental death and permanent disablement
Allianz 24-Hour Car Assistance Program including towing service, minor roadside repair etc",General Insurance,Insurer
Allianz,-,Motor,Bike Warrior,"Covers personal accident for you and your pillion rider
24-hour Bike Assistance Program
Compassionate Care in the event of total loss or theft of your superbike
 ",General Insurance,Insurer
Allianz,-,Travel,Allianz Travel Insurance,"Covers you and your family when you travel domestically or overseas
Covers accidental death and permanent disablement
Medical expenses
 ",General Insurance,Insurer
Allianz,-,Misc.,Domestic Servant Insurance Scheme,"Covers Accidental Death and Permanent Disablement
Covers medical expenses
Covers repatriation expenses
 ",General Insurance,Insurer
Allianz,-,Misc.,Golf Master,"Covers public liability
Covers Personal Accident up to RM25,000
Covers losses and damages to golf clubs, equipment and personal belongings due to fire and theft",General Insurance,Insurer
Allianz,-,Misc.,Device Protection,We'll take care of your appliances in event of breakdowns or accidents - our experts are one call away and ready to help,General Insurance,Insurer
AmMetLife,-,Savings/Investment,AmCapital,Building nest egg for a brighter future.,Life Insurance,Insurer
AmMetLife,-,Life (credit-related),AmMetLife AutoLife,Ensure your car always remains yours in the event of Death or Total and Permanent Disability.,Life Insurance,Insurer
AmMetLife,-,TBD,AutoSecure-i,"Helps to settles outstanding hire purchase financing in the unfortunate event

Coverage up to age 65

Protects you wherever you go

Ensures your car will remain yours

",Family Takaful,Insurer
AmMetLife,-,Life,Cahaya-i Care,"Guaranteed Acceptance with No Medical Underwriting.

Additional Coverage due to Accidental Death.

Additional RM3,000 to ease the funeral expenses.

Waqaf/Charitable Service as your lasting rewards.

",Family Takaful,Insurer
AmMetLife,-,Critical Illness,CriticalEase,Total protection for critical times.,Life Insurance,Insurer
AmMetLife,-,Savings/Investment,EduCare-i Link,"A dynamic investment-linked child education plan

Offers support with the enormous education cost

Helps to achieve your child’s dream

Gives you peace of mind

",Family Takaful,Insurer
AmMetLife,-,TBD,FinanceSecure-i,"A single contribution reducing term takaful plan

Helps to settle the outstanding personal financing debt in the event of eventualities

Gives you peace of mind

One-off payment for maximum coverage

",Family Takaful,Insurer
AmMetLife,-,TBD,Flexi TermLife,Flexible protection for your lifestyle.,Life Insurance,Insurer
AmMetLife,-,"Life, Savings/Investment, H&P/Medical",FlexiCare-i Plus,"A regular contribution investment-linked plan

Provide protection and potential investment returns

Choice of investment funds

Protection and investment covers from RM5/daily

",Family Takaful,Insurer
AmMetLife,-,"Life, Savings/Investment, H&P/Medical",FlexiSecure-i Link,"A regular contribution investment-linked plan

Choice of investment funds

Certificate term up to age 99

Protection and investment covers from RM5/daily

",Family Takaful,Insurer
AmMetLife,-,Savings/Investment,GoldenCare-i Style,"A single contribution investment-linked plan

Satisfy your risk appetite

Investment-linked funds to match your needs

Access your money at any time

 

",Family Takaful,Insurer
AmMetLife,-,Savings/Investment,GoldenSecure-i Style,"A single contribution investment-linked plan 

Maximise your investment potentials

Satisfy your risk appetite 

Access your money at any time

",Family Takaful,Insurer
AmMetLife,-,TBD,Group Secure-i,"A group takaful plan for employees against unfortunate events

24/7 protection coverage

Increases productivity with best package

Show them you care

",Family Takaful,Insurer
AmMetLife,-,H&P,Health Smart Rider,A holistic health solution that rewards you for staying healthy no matter where you are in life to extend your healthspan.,Life Insurance,Insurer
AmMetLife,-,H&P,HealthCare Daily Cash,*No description found,Life Insurance,Insurer
AmMetLife,-,Critical Illness,HealthCare Secure,Providing up to double payout & multiple claims for added protection.,Life Insurance,Insurer
AmMetLife,-,TBD,HomeSecure-i,"A single contribution reducing term takaful financing for your home loan.

Coverage up to age 60

Protects your family from eviction

Ensures your family has a home forever

",Family Takaful,Insurer
AmMetLife,-,"Life, Savings/Investment",LegacySecure-i Link,"A regular contribution investment-linked plan

Greater protection with additional coverage for accidental death

Gain loyalty bonus to boost coverage

No medical check-up is required up to RM 4 mil

Planning your legacy through Hibah

",Family Takaful,Insurer
AmMetLife,-,Life (credit-related),Level Term Assurance,Pays your outstanding business loan based on level sum insured in the event of death or disability.,Life Insurance,Insurer
AmMetLife,-,Life (credit-related),Mortgage Level Term Assurance,Give your family a peace of mind with a home complete with protection.,Life Insurance,Insurer
AmMetLife,-,Life (credit-related),Mortgage Reducing Term Assurance,Protect your home in the event of death or Total and Permanent Disability.,Life Insurance,Insurer
AmMetLife,-,"Life, Savings/Investment",Protect-i Budi,"A regular family takaful plan 

Customised based on your needs

Great way to save for Hajj or Umrah needs

Perform good deeds through Waqaf

Opportunity to nominate your beneficiary through Hibah

Flexibility to make partial withdrawal

",Family Takaful,Insurer
AmMetLife,-,Life,Protect20,Protect the best years of your life with a traditional non-participating Regular Premium Term Plan.,Life Insurance,Insurer
AmMetLife,-,Life,ProtectEase,Introducing the easiest plan for you to live in total ease.,Life Insurance,Insurer
AmMetLife,-,Life,ProtectElite II,Enjoy better coverage for a secure future.,Life Insurance,Insurer
AmMetLife,-,H&P,ProtectIncome,Ease your financial burden with our hospital income plan.,Life Insurance,Insurer
AmMetLife,-,Life,ProtectLink,A plan that safeguards you and your future.,Life Insurance,Insurer
AmMetLife,-,Life,ProtectPlus,A simple protection plan that fits seamlessly to give you even more security.,Life Insurance,Insurer
AmMetLife,-,Critical Illness,ProtectPrime39,Get a financial support during treatments with this critical illness plan.,Life Insurance,Insurer
AmMetLife,-,Life,ProtectSecure,Secure your future with a plan designed to bring together the best of protection and investment benefits.,Life Insurance,Insurer
AmMetLife,-,Life,ProtectSecure Prime,Protect your family financially during your prime years should the unfortunate happen.,Life Insurance,Insurer
AmMetLife,-,"Life, Savings/Investment",ProtectSecure-i Murni,"A regular contribution family plan

Simplified underwriting

Great way to save for Hajj or Umrah financial needs

Perform good deeds through waqaf

Protection with financial savings

Flexibility to make partial withdrawal

",Family Takaful,Insurer
AmMetLife,-,Life (credit-related),Reducing Term Assurance,Pays your outstanding business loan based on reducing sum insured in the event of death or disability.,Life Insurance,Insurer
AmMetLife,-,Life (credit-related),Reducing Term Assurance Plus,Get a financial protection plan to offset against the outstanding balances that you may have on you business loan in the event of death or TPD.,Life Insurance,Insurer
AmMetLife,-,Savings/Investment,WealthEnrich,WealthEnrich is designed to give you a head start in crafting your personalised legacy plan.,Life Insurance,Insurer
AmMetLife,-,Savings/Investment,WealthInspire,Save easily towards your goals and enjoy Guaranteed Cash Payment of up to 12% p.a. of Initial Sum Assured --- available limited time only.,Life Insurance,Insurer
AmMetLife,-,Savings/Investment,WealthSecure Max,Secure your future and be protected with an endowment plan designed with guaranteed cash payment.,Life Insurance,Insurer
AmMetLife,-,Savings/Investment,WealthSecure Smart,Build your wealth while protecting yourself from financial hardship in unforeseen events with this limited premium payment endowment plan.,Life Insurance,Insurer
AmMetLife,-,Life,i-Am Protect,"A pure protection term family takaful plan

Simplified underwriting

Affordable contribution

One year coverage

",Family Takaful,Insurer
AmMetLife,-,Life,i-Am Shield,"A pure protection critical illness plan.

Provide protection against any one of 36 critical illnesses.

Simplified underwriting.

No medical underwriting.

Coverage up to age 55 years old.

",Family Takaful,Insurer
AmMetLife,-,H&P,i.Am Health Smart,A holistic health solution that rewards you for staying healthy no matter where you are in life to extend your healthspan.,Life Insurance,Insurer
AmMetLife,-,Savings/Investment,i.Am Wealth Achiever,A 5-year short premium payment term savings plan that empowers you to fulfill your life aspirations while securing exceptional 20 years of protection and reaping fantastic rewards.,Life Insurance,Insurer
AmMetLife,-,Savings/Investment,i.Am Wealth Builder,"i.Am Wealth Builder can assist you to build wealth, leaving a financial legacy for your loved one and protect what matters most.",Life Insurance,Insurer
AmMetLife,-,Savings/Investment,i.Am Wealth Creator,"Tailored to create a lasting legacy for generations to come, this plan offers high protection to ensure financial security for your loved ones. ",Life Insurance,Insurer
Etiqa,-,Motor,Motor Takaful,"Get covered (with Shariah-compliant plan) for loss, theft or damage to your car, and more, with optional add-ons for total peace of mind.

Enjoy up to 30% cash rebates with the Drive Less Save More add-on

10% rebate on top of your NCD when you renew online

Get reimbursed with a value you agree with

All authorised drivers automatically covered

24/7 emergency hotline

Cash back when you make no claims

",General Takaful,Insurer
Etiqa,-,Motor,Motor Insurance,"Get covered for loss, theft or damage to your car, and more, with optional add-ons for total peace of mind.

Enjoy up to 30% cash rebates with the Drive Less Save More add-on

10% rebate on top of your NCD when you renew online

Get reimbursed with a value you agree with

All authorised drivers automatically covered

24/7 emergency hotline

#1 Motor Insurance as awarded by iBanding

",General Insurance,Insurer
Etiqa,-,Motor,Motorcycle Takaful,"New Get comprehensive Shariah compliant coverage for loss, theft or damage to your motorcycle, and more.

10% rebate on top of your NCD when you renew online

Coverage for accidents, fire & theft

3rd party coverage

",General Takaful,Insurer
Etiqa,-,Motor,Motorcycle Insurance,"New Get comprehensive coverage for loss, theft or damage to your motorcycle, and more.

10% rebate on top of your NCD when you renew online

Coverage for accidents, fire & theft

3rd party coverage

",General Insurance,Insurer
