"insurer","bank_name","product_type","product_name","product_description","insurance_type"
"Income","-","H&P","Managed Healthcare System - Outpatient Plan","Covers outpatient visits to our panel of general practitioners and specialists, as well as emergency treatment expenses.","Life Insurance"
"Income","-","Life","Maternity 360","Get three years of comprehensive maternity insurance for you and your baby with just a single premium.","Life Insurance"
"Income","-","To be filled","Medical Indemnity Insurance","An insurance plan designed for doctors to cover legal liabilities arising from medical negligence.","To be filled"
"Income","-","Life","Mortgage Term","Protect your loved ones from having to bear any outstanding mortgage loans in unexpected events.","Life Insurance"
"Income","-","Motor","Motorcycle Insurance","Safeguard your ride with affordable and comprehensive coverage, plus exclusive value-added services.","General Insurance"
"Income","-","Life","OCBC Protect","For just 52 cents[1] a day, OCBC cardholders can get affordable insurance coverage.","Life Insurance"
"Income","-","H&P","PA Assurance","Buy comprehensive personal accident coverage against unexpected injuries. Get up to 250,000^ STAR$® now!","Life Insurance"
"Income","-","H&P","PA Fitness Protect","Accident protection for fitness fanatics, plus third-party liability and sports equipment coverage.","Life Insurance"
"Income","-","H&P","PA Guard","Protect yourself against injuries from accidents and enjoy flexible coverage to suit your lifestyle.","Life Insurance"
"Income","-","H&P","PA Secure","Enjoy affordable personal accident coverage for you and your family.","Life Insurance"
"Income","-","H&P","PrimeShield","Complement your Basic ElderShield protection with enhanced long-term coverage against severe disability.","Life Insurance"
"Income","-","Life","Provenance Solitaire","Preserve your family’s heritage and safeguard your loved ones, with just a single premium.","Life Insurance"
"Income","-","Life","SAFRA Essential Term and SAFRA Living Care","Affordable insurance for SAFRA members that provides coverage for death, permanent disability and more.","Life Insurance"
"Income","-","H&P","SilverCare Insurance","Enjoy your silver years with coverage against medical, home-care services, rehabilitation and caregiver training expenses incurred due to an accident.","Life Insurance"
"Income","-","H&P","SpecialCare (Autism) Insurance","Get coverage for medical expenses due to accidents and infectious diseases for individuals with autism.","Life Insurance"
"Income","-","H&P","SpecialCare (Down Syndrome) Insurance","Get coverage for medical expenses due to accidents and infectious diseases for individuals with Down Syndrome.","Life Insurance"
"Income","-","Life","Star Secure Pro","Get protection against death, total and permanent disability, and terminal illness, plus mental conditions, with the Early Life Accelerator rider add-on.","Life Insurance"
"Income","-","Life","Star Term Protect","Term coverage against death, terminal illness, and total and permanent disability at affordable premiums.","Life Insurance"
"Income","-","Life","TermLife Solitaire","Protect your financial legacy with a coverage of at least $500,000.","Life Insurance"
"Income","-","Travel","Travel Insurance","Our travel insurance plans protect you for travel delay, trip cancellations and more.","General Insurance"
"Income","-","Savings","Wealth Plus Solitaire","Receive lifetime monthly cash payouts and insurance coverage with just a single premium.","Life Insurance"
"Income","-","Investment","WealthLink","Achieve your investment goals through our fund range while receiving the protection you need.","Life Insurance"
"Income","-","To be filled","WorkMedic","Protecting your foreign worker employees with 24-hour coverage against death and accidents.","To be filled"
"Income","-","To be filled","i-MediCare","Customised your employee’s coverage to suit their protection needs.","To be filled"
"","","Scraped at",":","2024-09-05 23:47 +08",""
