"insurer","bank_name","product_type","product_name","product_description","insurance_type","discovered_place"
"Etiqa","-","Savings","Esteem income (USD)","Secure your financial dreams with a lifetime of income and pass on the fruits of your labour to the next generation seamlessly with this whole life insurance plan.

Savings, retirement and guaranteed issuance
Reliable lifetime income
Offers flexibility
Guaranteed and immediate liquidity

 

Product Brochure

Policy Contract","Life Insurance","Insurer"
"Etiqa","-","Savings","Esteem income II","Secure a steady stream of income for retirement, or seamlessly pass it on from one generation to the next with this whole life insurance plan.

Savings, retirement and guaranteed issuance
Reliable lifetime income
Offers flexibility
Guaranteed and immediate liquidity

 

Product Brochure

Policy Contract","Life Insurance","Insurer"
"Etiqa","-","Savings","Esteem legacy II","Grow your wealth and maintain the lifestyle you’ve become accustomed to, while preserving a lasting legacy for your loved ones with this whole life insurance plan.

High protection coverage of up to 383% of sum insured
Single premium, lifetime protection
Assurance with immediate liquidity
Flexibility of changing life insured

 

Product Brochure

Policy Contract","Life Insurance","Insurer"
"Etiqa","-","H&P","Etiqa Solitaire Protect","Credit relief up to S$30,000
Receive a lump sum of $3,000 in the event of accidental death due to COVID-19
Medical expenses reimbursement up to $8,000","Life Insurance","Insurer"
"Etiqa","-","Investment","Invest achiever","A regular premium investment-linked plan with multiple bonuses, and the option to receive a monthly cash payout.

Key benefits

Multiple bonuses to boost your investment
Flexible premium term of 3, 5 or 10 years
Option to receive monthly income
Free and unlimited fund switching","Life Insurance","Insurer"
"Etiqa","-","Investment","Invest builder","A regular premium investment-linked plan with multiple bonuses to boost your investment.

Key benefits

Multiple bonuses to boost your investment
Flexible premium term of 3, 5, 10 to 20 years
Free and unlimited fund switching
No medical check required","Life Insurance","Insurer"
"Etiqa","-","Investment","Invest flex wealth","A regular premium investment-linked plan that unlocks a world of possibilities, offering you unmatched flexibility and control over your wealth accumulation goals, starting from as low as S$200 per month.

Key benefits

Multiple bonuses to boost your investment
Flexible premium term of 10, 15 or 20 years
Free and unlimited fund switching
No medical check required","Life Insurance","Insurer"
"Etiqa","-","Investment","Invest plus SP","A single premium investment-linked plan with power-up bonuses to boost your investment.

Bonus units to boost your investment
Start with just S$10,000
Free and unlimited fund switching
No medical check required","Life Insurance","Insurer"
"Etiqa","-","Investment","Invest smart flex","A regular premium investment-linked plan that offers you the flexibility to pursue your investment goals. Starting from just S$200 per month, this plan allows you to diversify your portfolio by investing in reputable funds and provides you with opportunities for potentially higher returns.

Key benefits

Multiple bonuses to boost your investment
Flexible premium term of 10, 15 or 20 years
Free and unlimited fund switching
No medical check required","Life Insurance","Insurer"
"Etiqa","-","Investment","Invest starter","A regular premium investment-linked plan with entry premiums from as low as S$100 a month and low charges to boost your investment.

Key benefits

Multiple rewards to boost your investment
4 packaged funds with diversified risks
Free and unlimited fund switching
No medical check required","Life Insurance","Insurer"
"Etiqa","-","Misc.","Personal Cyber Insurance","Protection against cyber fraud
Protection against extortion
Coverage for restoration of data
Coverage for identity theft","General Insurance","Insurer"
"Etiqa","-","Misc.","Pet Insurance","Clinical and surgical illness coverage of up to $15,000
Third party liability coverage of up to $500,000
Complimentary congenital and hereditary disease coverage
Multi-pet discount if you insure more than one pet","General Insurance","Insurer"
"Etiqa","-","Motor","Private Car Insurance","Free Add-on: Get up to 30% cash rebate when you Drive Less Save More
Choose from comprehensive, third-party fire and theft, or third-party only coverage
Repair your vehicle at 25 authorised workshops located conveniently across the island
Unlimited windscreen cover (with S$100 excess)","General Insurance","Insurer"
"Etiqa","-","Life","Term Life Insurance","Affordable, fixed term protection against 111 critical illness (CI) and mental health conditions of multiple stages
Monthly cash payout upon a severe stage CI claim
Premium Waiver Benefit for early and intermediate-stage CI","Life Insurance","Insurer"
"Etiqa","-","Savings","Tiq CashSaver","A capital guaranteed endowment plan that will help you achieve your savings goals at the end of 12 years.

Key benefits

Flexible policy term of 12, 21 or 26 years
Short premium term of 7 years
Capital guaranteed at end of 12 years
No medical check required","Life Insurance","Insurer"
"Etiqa","-","Home","Tiq Home Insurance","Comprehensive protection for your building, renovation, home contents and more
Includes 24/7 emergency assistance for locksmith, plumbing, electrical and pest control services
Emergency cash of up to S$5,000 if your home becomes uninhabitable
Tailored for HDB, condo, landed property owners and tenants","General Insurance","Insurer"
"Etiqa","-","Investment","Tiq Invest","A single premium investment-linked plan with a low management fee.

Key benefits

 Low management charge fee at 0.75% p.a
4 packaged funds with diversified risks
No lock-in period
Start with just $1,000","Life Insurance","Insurer"
"Etiqa","-","Misc.","Tiq Maid","Personal accident cover for your maid from $60,000
Hospitalisation & surgical expenses for your maid with COVID-19 cover add-on
Repatriation expenses of $10,000","General Insurance","Insurer"
"Etiqa","-","H&P","Tiq Personal Accident","Covers you against unexpected slips and falls, COVID-19, dengue fever, hand, foot and mouth disease and 20 other infectious diseases
Accidental death and permanent disablement coverage up to $500,000
Medical expenses reimbursement up to $2,000","Life Insurance","Insurer"
"Etiqa","-","Travel","Tiq Travel Insurance","Key Benefits

Coverage for pre-existing medical conditions
Overseas medical expenses coverage up to S$1 million
Automatic payout should your flight be delayed for more than 3 hours
24-hour worldwide emergency travel support services","General Insurance","Insurer"
"Etiqa","-","Travel","Travel Infinite","Key Benefits

Overseas medical expenses coverage up to S$2.5 million
Trip cancellation benefit up to S$15,000 for your tour packages
Unlimited coverage for emergency medical evacuation
24-hour worldwide emergency travel support services","General Insurance","Insurer"
"Etiqa","-","Life","Whole Life Insurance","Lifelong coverage of up to S$200,000 for death, terminal illness and total and permanent disability
Fixed premium till age 70 or 85
Option to add on rider for protection against 30 critical illnesses 3
Pay as little as $6.31 per day, up to age 70 or 85 (at your next birthday)

 

3 Applicable to Etiqa Direct whole life plans.","Life Insurance","Insurer"
"Etiqa","-","Home","ePROTECT mortgage","Takes care of your remaining mortgage payments should untimely events happen to you
Flexible policy term of 6 to 40 years, or up to 75 years old
Pay only 90% and get covered for 100% of your policy term","General Insurance","Insurer"
"Etiqa","-","Motor","ePROTECT motorcycle","Affordable premium for comprehensive, third-party fire and theft, or third-party only coverage
Protects against loss, damage, theft and more
Covers up to $500,000 for loss or damage to third party property","General Insurance","Insurer"
"Great Eastern","-","H&P","AccidentCare Plus II ","Protect your golden years with financial assurance, Your guardian in life’s unpredictable moments","Life Insurance","Insurer"
"Great Eastern","-","Life","DIRECT - GREAT Life II ","Grow the value of your legacy beyond the ordinary, Key benefits
Affordable term protection from 33 cents* per day
Your choice on insurance coverage and duration of term
Get preferred term protection – specially for you","Life Insurance","Insurer"
"Great Eastern","-","Life","DIRECT - GREAT Term ","Key benefits
Affordable and customisable coverage, up to a lifetime
Flexibility to convert your policy
Secure your coverage in 10 minutes, Protect your dependants’ future care and well-being","Life Insurance","Insurer"
"Great Eastern","-","Life","Dependants' Protection Scheme ","Key benefits
Basic lifetime coverage
Affordable premiums for essential coverage
Option to add-on critical illness coverage, Protection for a lifetime, a legacy for generations, Your family deserves the greatest protection, Key benefits
Affordable yearly premiums
Protection up to age 65
Automatic renewal","Life Insurance","Insurer"
"Great Eastern","-","Motor","Drive and Save Plus ","Safeguard your drive with enhanced protection and greater premium savings, Protect your drive with comprehensive coverage for your electric vehicle","General Insurance","Insurer"
"Great Eastern","-","H&P","Essential Protector ","Key benefits
Up to 3 times payout upon Accidental Death and Permanent Disablement
Receive daily hospital cash benefit
Reimbursement of up to S$9,000 for Accidental Medical Expenses, Key benefits
24-hour protection and evacuation and repatriation cover1
Medical expenses reimbursement and hospitalisation payout
Get the support for recovery","Life Insurance","Insurer"
"Great Eastern","-","H&P","Essential Protector Plus ","Key benefits
Get up to S$3 million in coverage against accidents
Boost coverage by up to 1.5 times with Benefit Booster4
High medical expenses reimbursement, Key benefits
High payout in an unfortunate event
Financial support for a swift recovery
Assurance of emergency support that counts","Life Insurance","Insurer"
"Great Eastern","-","Investment","Funds available under investment-linked plans","Key benefits
Attractive monthly crediting rate1 with no lock-in period2
100% capital guaranteed throughout the policy term
Financial protection with death coverage, Key benefits
Fund management by established fund managers
Access to a wide range of investment strategies
Funds curated to meet your investment needs","Life Insurance","Insurer"
"Great Eastern","-","H&P","GREAT CareShield ","Key benefits
Assurance of hospital cash payouts after 12 hours^
Enjoy up to a lifetime of hospitalisation coverage
Enjoy more discounts on your premiums
Sign up online and start your coverage with ease, Key benefits
Comprehensive coverage that begins before your child’s birth
Financial coverage for mother and child’s medical needs
Safeguard you and your child’s future for life","Life Insurance","Insurer"
"Great Eastern","-","H&P","GREAT Critical Cover Series ","Key benefits
Disability financial support starts from the inability to perform any ADL
Get up to 90% more in monthly benefits for caregiver's and children's expenses
Utilise your MediSave funds4 for enhanced coverage, Key benefits
Affordable premiums
Out-of-school disability benefit1
Payback benefit upon a successful claim2","Life Insurance","Insurer"
"Great Eastern","-","Motor","GREAT EV Protect ","Key benefits
Choice of workshop and waiver of excess
24/7 accident assistance
High coverage and medical expense reimbursement
Additional premium savings for safe drivers, Key benefits
Coverage for private charging station and home contents due to fire
Up to S$2,000 medical expense reimbursement
Your choice of any preferred workshop and 24/7 roadside assistance","General Insurance","Insurer"
"Great Eastern","-","Investment","GREAT Flexi Cashback ","Build a lasting legacy of generational wealth, Secure your investment potential with versatility on fund choices","Life Insurance","Insurer"
"Great Eastern","-","Investment","GREAT Flexi Goal ","Enjoy a lifetime income stream of guaranteed monthly payouts, Reach your investment goals with greater flexibility","Life Insurance","Insurer"
"Great Eastern","-","Life","GREAT Flexi Protect Series 3 ","Plan your essential protection at affordable premiums, Key benefits
100% critical illness coverage continues over and over again, even after the first claim
Flexible coverage adjustable at life’s milestones
Free Child Cover Benefit of S$20,000","Life Insurance","Insurer"
"Great Eastern","-","Investment","GREAT Flexi Saver ","Key benefits
Receive regular income stream to suit your retirement needs
Boost your annual payouts by up to 1.82X†
Your capital is guaranteed1
Maximise retirement planning with SRS, Key benefits
Up to 3% p.a.* potential returns upon maturity
Different premium payment terms, whatever suits you from S$100 per month
Be assured with capital guaranteed3","Life Insurance","Insurer"
"Great Eastern","-","H&P","GREAT Golden Protector ","Key benefits
Reimbursement of up to S$15,000 for medical expenses
Get daily income upon hospitalisation
Extra payout of up to S$8,000 for accidental injuries
Additional 20% coverage for ladies, Key benefits
Up to three times coverage against Accidental Death or Permanent Disablement
Free coverage for your children
Guaranteed acceptance","Life Insurance","Insurer"
"Great Eastern","-","Home","GREAT Home Protect ","Safeguard your home with our all-rounded protection, Key benefits
Enhanced coverage with first loss protection
Up to S$25,000 additional coverage with green home benefit
24/7 Emergency Home Assistance","General Insurance","Insurer"
"Great Eastern","-","H&P","GREAT Hospital Cash ",", Comprehensive coverage from as early as 13 weeks into your pregnancy","Life Insurance","Insurer"
"Great Eastern","-","Investment","GREAT Invest Advantage ","Exclusively for selected customers with maturity proceeds, you can now enjoy returns every month on your savings*, Invest in professionally managed investment-linked funds to maximise your investment returns","Life Insurance","Insurer"
"Great Eastern","-","H&P","GREAT Junior Protector ","Peace of mind with global protection against accidents, Safeguard yourself and your family against accidents","Life Insurance","Insurer"
"Great Eastern","-","Life","GREAT Life Advantage 3 ","Enjoy lifetime coverage at affordable premiums, Key benefits
Affordable yearly premiums
Protection up to age 65
Automatic renewal","Life Insurance","Insurer"
"Great Eastern","-","Savings","GREAT Lifetime Payout 2 Special ","Key benefits
Receive regular income stream to suit your retirement needs
Boost your annual payouts by up to 1.82X†
Your capital is guaranteed1
Maximise retirement planning with SRS, Safeguard your financial freedom, not just your retirement, Live out your retirement dream with a guaranteed income stream, Future-proof your family’s financial future with certainty","Life Insurance","Insurer"
"Great Eastern","-","Misc.","GREAT Maid Protect ",", Key benefits
Enjoy up to S$90,000 comprehensive medical reimbursement worldwide
Get 24/7 Financial Protection for accidents, big or small
Repatriate her home with up to S$10,000 in financial support
Safeguard your finances against unexpected liabilities","General Insurance","Insurer"
"Great Eastern","-","H&P","GREAT Maternity Care 2 ","Cover up to 95% of your total hospitalisation bill, Ensure income continuity with the assurance of monthly benefits","Life Insurance","Insurer"
"Great Eastern","-","Savings","GREAT Prime Rewards 3 ","Live out your retirement dream with a guaranteed income stream, Key benefits
Enjoy lifetime monthly payouts up to 3.28% per annum 1
Assurance of a 100% capital guarantee
Inheritance for the next generation, Power up your investment portfolio on your terms, Build your financial future with multiplied returns","Life Insurance","Insurer"
"Great Eastern","-","H&P","GREAT Protector Active ","All the protection you need to enjoy a more active lifestyle, ","Life Insurance","Insurer"
"Great Eastern","-","Savings","GREAT Retire Income ","Enjoy a lifetime income stream of guaranteed monthly payouts, Key benefits
Monthly stream of cash payouts of up to 5.4X your total premium paid 5
Flexibility to suit your budget and retirement needs
Additional payouts upon disability","Life Insurance","Insurer"
"Great Eastern","-","Investment","GREAT SP ","Enjoy guaranteed returns of 2.60% p.a.* upon maturity, Build your dreams while enjoying yearly cash payouts","Life Insurance","Insurer"
"Great Eastern","-","H&P","GREAT SupremeHealth ","All it takes is one. Get up to a lifetime of disability payouts., Secure your future with comprehensive disability coverage","Life Insurance","Insurer"
"Great Eastern","-","Life","GREAT Term ","Key benefits
Complete your protection needs from just S$0.21* a day
All-round protection till age 65
Hassle-free application, Secure lifelong multiplied coverage to protect you and your loved ones","Life Insurance","Insurer"
"Great Eastern","-","Investment","GREAT Wealth Advantage 4 ","Key benefits
Guaranteed returns of 2.60% p.a.* and 100% capital guaranteed upon maturity
Short-term commitment of 24 months
Added protection against Death and Total and Permanent Disability with no medical assessment needed, Key benefits
Enjoy Guaranteed Yearly Cash Payouts 1
Save towards your aspirations on your terms
Reward yourself with extra payouts at maturity","Life Insurance","Insurer"
"Great Eastern","-","Investment","GREAT Wealth Multiplier 3 ","Key benefits
One-time commitment for a lifetime of payouts and a lasting legacy
Enjoy early payouts in your choice of currency
Your choice for a potentially higher inheritance amount
Support your changing financial needs, Key benefits
Achieve wealth accumulation goals with a versatile plan
Adjust your portfolio according to your changing needs
Invest in a future of potentially greater returns","Life Insurance","Insurer"
"Great Eastern","-","Life","GoGreat Term Life ",", Key benefits
Enhance your wealth
Distribute your wealth according to your wishes
Protect your business
Flexibility to meet your needs","Life Insurance","Insurer"
"Great Eastern","-","Life","Great Eastern Cares Term Plan","Key benefits
Essential coverage at affordable premiums
Choice of premium payment term to meet your needs
Option to add-on critical illness coverage, Your family deserves the greatest protection","Life Insurance","Insurer"
"Great Eastern","-","H&P","LifeSecure ","Key benefits
Choices of plan types that suit your medical needs and budget
Cover up to 95% † of your hospitalisation bills for life
Minimise financial outlay for your recovery with post-hospitalisation treatment coverage
Be protected with comprehensive cancer coverage across our plans
Enjoy Health Connect benefits as a GREAT SupremeHealth customer, Key benefits
Supplement up to 75% of your income with monthly benefits1
Receive partial monthly benefits5upon returning to work
Peace of mind with additional rehabilitation expenses6 support","Life Insurance","Insurer"
"Great Eastern","-","H&P","PA Supreme ","Safeguard your child against accidents wherever they are, Tailor-made personal accident protection","Life Insurance","Insurer"
"Great Eastern","-","H&P","Pay Assure ","Critical illness coverage that continues over and over again, Prestige Global Health Options","Life Insurance","Insurer"
"Great Eastern","-","H&P","Prestige Global Health Options ","Key benefits
100% payout for every critical illness claim
Coverage continues over and over again, even after the first critical illness claim
Flexibility in choice of coverage, Key benefits
Global access for your medical needs
Create your plan in 4 easy steps
Rely on our experience to deliver quality, Secure your investment potential with versatility on fund choices, Key benefits
Enjoy up to S$3.5 million coverage against accidents
Medical Expense Reimbursement up to S$20,000 for each & every Accident
Assurance of 24-hour emergency assistance1, worldwide
Worldwide protection that covers terrorism3
Enjoy guaranteed renewability and 5% renewal discount","Life Insurance","Insurer"
"Great Eastern","-","Life","Prestige Harvest ","Key benefits
High lifetime protection of up to 20 times2
Flexibility to enjoy potential returns of your investment
Luxury of customisable solution
Non-lapse privilege4, Be covered over and over against critical illness, Key benefits
One-time commitment for a lifetime of payouts and a lasting legacy
Enjoy early payouts in your choice of currency
Your choice for a potentially higher inheritance amount
Support your changing financial needs, Your guardian in life’s unpredictable moments","Life Insurance","Insurer"
"Great Eastern","-","Life","Prestige Legacy Advantage ","Secure your future with up to a lifetime of coverage, Key benefits
Lifetime coverage that increases as you age
Multiply your coverage to suit your protection needs
Choice of premium terms to align to your financial needs
Receive more cash payouts for critical illnesses and medical conditions, Grow the value of your legacy beyond the ordinary, Key benefits
Enhance your wealth
Distribute your wealth according to your wishes
Protect your business
Flexibility to meet your needs","Life Insurance","Insurer"
"Great Eastern","-","Life","Prestige Life Gold (SGD/USD) ","Leave a lasting legacy. Enjoy your golden years., Key benefits
Enjoy high protection with certainty
Make the best choices at the right time
Maintain liquidity and financial flexibility","Life Insurance","Insurer"
